Mom ID,i25,i1,i25,i11,i67,i3,i90,i14,i102,i82,i34,i28,i68,i77,i10,i82,i16,i102,i22,i4,i23,i8,i12,i21,i3,i17,i90,i35,i11,i36,i5,i102,i104,i12,i36,i1,i37,I2283,i1683,i1666,i2292,i1649,i2291,i86,i2293,i2294,i2280,i31,i2290,i1656,i48,i2295,i2283,i2296,i2288,i2283,i2283
Birth date,38501,38505,38517,38547,38569,38505,38575,38505,38545,38551,38573,38505,38537,38527,38507,38579,38507,38545,38507,38509,38523,38509,38511,38521,38547,38511,38567,38577,38519,38519,38523,38527,38539,38523,38523,38527,38571,38621,38637,38675,38627,38639,38597,38605,38651,38603,38657,38595,38631,38661,38601,38661,38601,38601,38603,38601,38601
ID,i110,i111,i112,i113,i114,i115,i116,i117,i118,i119,i120,i121,i122,i123,i124,i125,i126,i127,i128,i129,i130,i131,i132,i133,i134,i135,i136,i137,i138,i139,i140,i141,i142,i143,i144,i145,i1684,i1685,i1686,i1687,i1688,i1689,i1690,i1691,i1692,i1693,i1694,i1695,i1696,i1697,i1698,i1699,i1700,i1701,i1702,i1703,i1704
Vial,b1,b2,b2,b2 (part of b15),b2,b3,b3,b4,b4,b4 (part of b20),b4,b5,b5 (part of b19),b5 (b13),b6,b6,b7,b7,b8,b9,b9 (b18),b10,b11,b11,b11 (part of b16),b12,b12,b12,b14,b15,b16,b16,b16,b17,b19,b20,b1,b1,b1,b1,b2,b2,b3,b4,b4,b5,b5,b6,b6,b6,b7,b7,b8,b9,b10,b11,b12
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
1.000,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0,0,,,,,0,,0,,,,,,,,,,0,,,0
3.000,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0,0,,,,,0,,0,,,,,,,,,,0,,,0
5.000,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0,0,,,,,0,,0,,,,,,,,,,0,,,0
7.000,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0,0,,,,,0,,0,,,,,,,,,,0,,,0
9.000,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,0,0,,,,,0,,0,,,,,,,,,,0,,,0
11.000,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,1,0,,,,,0,,0,,,,,,,,,,0,,,0
