Mom ID,i25,i1,i25,i11,i67,i3,i90,i14,i102,i82,i34,i28,i68,i77,i10,i82,i16,i102,i22,i4,i23,i8,i12,i21,i3,i17,i90,i35,i11,i36,i5,i102,i104,i12,i36,i1,i37,I2283,i1683,i1666,i2292,i1649,i2291,i86,i2293,i2294,i2280,i31,i2290,i1656,i48,i2295,i2283,i2296,i2288,i2283,i2283
Birth date,38501,38505,38517,38547,38569,38505,38575,38505,38545,38551,38573,38505,38537,38527,38507,38579,38507,38545,38507,38509,38523,38509,38511,38521,38547,38511,38567,38577,38519,38519,38523,38527,38539,38523,38523,38527,38571,38621,38637,38675,38627,38639,38597,38605,38651,38603,38657,38595,38631,38661,38601,38661,38601,38601,38603,38601,38601
ID,i110,i111,i112,i113,i114,i115,i116,i117,i118,i119,i120,i121,i122,i123,i124,i125,i126,i127,i128,i129,i130,i131,i132,i133,i134,i135,i136,i137,i138,i139,i140,i141,i142,i143,i144,i145,i1684,i1685,i1686,i1687,i1688,i1689,i1690,i1691,i1692,i1693,i1694,i1695,i1696,i1697,i1698,i1699,i1700,i1701,i1702,i1703,i1704
Vial,b1,b2,b2,b2 (part of b15),b2,b3,b3,b4,b4,b4 (part of b20),b4,b5,b5 (part of b19),b5 (b13),b6,b6,b7,b7,b8,b9,b9 (b18),b10,b11,b11,b11 (part of b16),b12,b12,b12,b14,b15,b16,b16,b16,b17,b19,b20,b1,b1,b1,b1,b2,b2,b3,b4,b4,b5,b5,b6,b6,b6,b7,b7,b8,b9,b10,b11,b12
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
1,0.95,0.8,0.795,0.84,0.765,0.825,0.79,0.775,0.776,0.809,0.864,0.825,0.757,0.833,0.825,0.765,0.825,0.802,0.8,0.8,0.841,0.85,0.882,0.795,0.807,0.842,0.815,0.815,0.758,0.872,0.761,0.72,na,0.846,0.836,0.776,0.84,0.84,0.84,0.79,0.79,0.864,0.84,0.864,0.864,0.864,0.864,0.864,0.864,0.84,0.889,0.815,0.741,0.889,0.815,0.765,0.79
3,1.025,1.125,1.257,1.053,0.963,1.35,0.963,1.325,0.891,1.026,1.037,1.225,na,1.333,1.375,1.259,1.25,1.031,1.025,1.272,1.319,1.279,0.872,1.32,1.023,1.051,1.062,1.086,1.026,1.051,1.087,1.051,0.904,1.389,1.225,1.282,1.012,1.012,1.037,1.136,0.864,1.037,1.111,1.086,1.185,1.16,1.136,1.086,1.145,1.037,1.136,1.062,0.864,0.963,1.037,NA,NA
5,1.325,1.325,1.641,1.506,1.432,1.875,1.358,1.7,1.357,1.407,1.086,1.8,1.346,1.632,1.706,1.235,1.523,1.594,1.562,1.59,1.624,1.513,-1,1.702,1.643,1.637,-1,1.407,1.6,1.693,-1,1.275,-1,1.568,1.527,1.632,1.58,1.21,1.185,1.235,0.914,1.25,1.235,1.284,1.3,1.383,1.457,1.407,1.333,1.432,1.309,1.457,1.037,1.062,1.21,1.062,1.062
7,1.5,1.692,1.853,1.786,1.654,1.964,1.605,1.851,1.57,1.63,1.358,2.048,1.745,1.841,1.8,1.259,1.744,1.744,1.821,1.84,1.795,1.818,-1,1.981,1.908,1.846,-1,1.605,1.893,1.898,-1,1.454,-1,1.846,1.795,1.837,1.852,1.432,1.505,1.358,NA,1.481,1.383,1.506,1.531,1.679,1.704,1.728,1.457,1.63,1.556,1.63,1.333,1.728,1.481,1.358,1.309
9,1.575,1.718,1.998,1.901,1.852,1.923,1.877,1.9,1.831,1.827,1.531,2.103,1.954,2.049,2.095,1.58,1.885,1.896,2.021,2.051,1.968,1.974,-1,1.897,1.877,1.989,-1,1.852,2.031,1.864,-1,1.821,-1,1.812,1.795,1.816,2.099,1.63,1.728,1.58,-1,1.753,1.605,1.728,1.778,1.802,1.877,1.753,1.753,1.867,1.852,-1,1.63,1.975,1.728,1.58,1.531
11,1.71,-1,2.026,1.901,2.099,2.078,1.877,2.234,1.951,1.852,1.704,2.095,2.123,1.991,2,1.778,1.974,1.827,2.128,2.068,1.93,2.037,-1,1.961,1.975,2.205,-1,2.074,1.949,1.897,-1,1.849,-1,1.956,1.919,1.877,2,1.852,1.827,1.778,-1,1.963,1.852,1.926,1.901,1.975,2,1.877,1.975,2.049,2.025,-1,1.827,1.975,1.852,1.827,1.728
