Mom ID,i22,i60,i34,i2,i90,i1,i10,i1,i99,i29,i5,i26,i99,i2,i7,i1,i98,i67,i10,i2,i21,i22,i2,i27,i102,i82,i37,i4,i4,i38,i21,i16,i39,i65,i14,i102,i103,i8,i83,i3,i90,i24,i40,i36,i83,i4,i90,i21,i37,i2283,i1660,i2285,i41,i1668,i48,i1674,i2280,i46,i2284,i2283,i2297,i86,i2289,i45,i2285,i2290,i2288,i31,i2288,i2298
Birth date,38503,38539,38573,38505,38533,38537,38505,38515,38529,38505,38511,38517,38529,38507,38515,38527,38565,38569,38507,38513,38527,38507,38527,38507,38545,38551,38577,38509,38531,38551,38527,38509,38549,38535,38511,38539,38547,38515,38517,38527,38533,38519,38531,38519,38519,38527,38533,38521,38593,38647,38671,38597,38613,38665,38587,38635,38681,38587,38607,38635,38671,38595,38639,38595,38607,38639,38589,38595,38603,38591
ID,i146,i147,i148,i149,i150,i151,i152,i153,i154,i155,i156,i157,i158,i159,i160,i161,i162,i163,i164,i165,i166,i167,i168,i169,i170,i171,i172,i173,i174,i175,i176,i177,i178,i179,i180,i181,i182,i183,i184,i185,i186,i187,i188,i189,i190,i191,i192,i193,i1705,i1899,i1706,i1707,i1708,i1709,i1710,i1711,i1712,i1713,i1714,i1715,i1716,i1717,i1718,i1719,i1720,i1721,i1722,i1723,i1724,i1725
Vial,c1,c1,c1,c2,c2,c2,c3,c3,c3,c4,c4,c4,c4 (c20),c5,c5,c5,c5,c5,c6,c6,c6 (c19),c7,c7,c8,c8,c8,c8,c9,c9,c9,c9 (c18),c10,c10,c10 (part of c14),c11,c11,c11,c12,c13,c13,c13,c14,c14,c15,c16,c16,c16,c17,c1,c1,c1,c2,c2,c2,c3,c3,c3,c4,c4,c4,c4,c6,c6,c7,c7,c7,c8,c9,c10,c11
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,0.725,na,0.84,0.8,0.83,0.802,0.825,0.822,0.769,0.775,0.845,0.769,0.744,0.825,0.836,0.809,0.84,0.765,0.85,0.872,0.861,0.825,0.754,0.9,0.811,0.828,0.84,0.85,0.894,0.733,0.891,0.875,0.856,0.774,0.83,na,0.762,0.818,0.744,0.803,0.85,0.742,0.78,0.809,0.849,0.872,0.81,0.821,0.815,0.84,0.815,0.84,0.79,0.79,0.864,0.864,0.79,0.889,0.864,0.864,0.84,0.864,0.84,0.84,0.864,0.84,0.864,0.84,0.815,0.864
3,0.725,1.255,1.037,1.075,1.103,na,1.275,1.179,0.976,1.225,1.026,1.212,0.97,1.05,1.282,1.026,1.012,1.012,1.1,1.303,1.026,1.275,0.846,1.45,0.898,0.925,1.037,1.286,1.447,0.982,1,1.283,1.145,1.299,1.231,1.003,0.916,1.103,1.08,1.231,1.123,1.026,0.961,1.051,1.179,1.179,1.122,1.41,0.963,1.019,0.988,1.086,0.988,1.185,0.988,0.988,1.086,1.086,1.037,1.086,0.988,1.136,0.988,1.111,1.086,1.012,1.037,1.037,0.938,1.16
5,1.2,1.539,1.309,1.3,-1,1.469,1.575,-1,1.447,-1,-1,1.513,1.552,1.143,-1,1.416,-1,1.383,-1,1.641,1.373,1.645,1.139,1.689,-1,0.864,1.457,1.59,1.319,1.481,1.095,1.615,1.373,na,1.526,1.415,1.466,1.421,-1,1.209,1.415,1.641,-1,1.59,-1,1.211,1.587,1.719,1.16,1.531,1.333,1.235,1.136,1.41,1.086,1.16,1.333,1.235,1.284,1.259,1.037,1.432,1.346,1.383,1.21,1.343,1.333,1.407,1.185,1.407
7,1.625,1.744,1.704,1.542,-1,1.631,1.757,-1,1.633,-1,-1,1.769,1.744,-1,-1,1.628,-1,1.605,-1,1.771,1.846,1.769,1.354,1.949,-1,0.889,1.605,1.779,1.51,1.679,1.452,1.834,1.753,1.917,1.718,-1,1.726,1.718,-1,-1,na,1.873,-1,1.767,-1,-1,1.282,1.901,1.481,1.679,1.481,1.259,1.457,1.654,1.309,1.333,,1.457,1.457,1.457,1.457,1.63,1.654,1.531,1.284,1.605,1.506,1.556,1.407,1.58
9,1.9,1.915,1.827,1.59,-1,1.675,-1,-1,1.82,-1,-1,1.859,1.853,-1,-1,1.783,-1,1.827,-1,1.821,1.879,1.904,1.535,2.012,-1,1.086,1.778,2.026,na,1.728,1.648,1.974,1.753,2.064,1.899,-1,1.926,1.949,-1,-1,1.906,2.061,-1,1.844,-1,-1,1.864,1.949,1.605,1.726,1.605,1.654,1.481,1.852,1.481,1.482,,1.704,1.531,1.64,1.654,1.753,1.827,1.654,1.383,1.827,1.679,1.728,1.679,1.728
11,2.044,2.064,1.827,1.811,-1,1.764,-1,-1,na,-1,-1,1.885,na,-1,-1,1.833,-1,1.827,-1,2.077,1.918,2.154,1.673,2.205,-1,1.259,-1,2.047,1.924,1.679,1.855,1.981,1.951,2.072,1.923,-1,1.926,1.937,-1,-1,1.956,2.051,-1,1.872,-1,-1,1.983,2.002,1.728,2.025,1.877,1.704,1.63,1.951,1.63,1.704,,1.877,1.827,1.852,1.679,1.852,1.863,1.802,1.605,1.986,1.778,1.728,1.728,1.778
13,2.026,2.103,2.049,2.026,-1,1.947,-1,-1,1.923,-1,-1,1.949,1.984,-1,-1,na,-1,1.901,-1,1.992,na,2.127,na,2.14,-1,1.457,-1,2.051,2.047,-1,na,2.128,2.074,2.076,1.974,-1,2.025,1.967,-1,-1,2.017,-1,-1,1.954,-1,-1,2.032,2.127,1.753,1.975,1.951,1.827,1.63,2.123,1.728,1.852,,1.951,2,1.852,1.852,1.975,1.877,-1,1.654,1.975,1.778,-1,1.852,1.852
15,2.123,2.09,2.074,1.969,-1,1.915,-1,-1,2.079,-1,-1,2.035,2.117,-1,-1,2.025,-1,2.025,-1,2.125,2.049,2.103,1.962,2.128,-1,1.502,-1,2.077,2.055,-1,1.972,2.051,2.074,2.195,2.019,-1,2.049,2.103,-1,-1,1.919,-1,-1,2.064,-1,-1,na,2.046,1.975,2.074,1.975,1.852,1.667,2.025,1.778,1.969,,2,2.049,1.901,2.074,2.025,2.074,-1,1.827,2.099,1.778,-1,1.951,1.951
17,2.179,2.099,2.148,2.051,-1,2.017,-1,-1,2.145,-1,-1,2.133,2.167,-1,-1,2.183,-1,2.025,-1,2.179,2.22,2.256,2.086,2.179,-1,1.877,-1,2.266,-1,-1,2.145,2.054,-1,2.237,2.019,-1,2.123,2.13,-1,-1,2.048,-1,-1,2.118,-1,-1,2.082,2.131,2.123,2.074,,-1,2,2.099,1.852,2.148,,2,2.099,2.025,,2.099,2.076,-1,1.827,2.179,1.877,-1,1.975,2.099
19,2.212,2.247,2.025,2.103,-1,2.148,-1,-1,2.287,-1,-1,2.103,2.13,-1,-1,2.15,-1,2.099,-1,2.253,2.202,-1,2.082,2.127,-1,1.951,-1,2.254,-1,-1,2.211,2.228,-1,2.24,2.051,-1,2.148,2.178,-1,-1,2.126,-1,-1,2.159,-1,-1,2.08,na,2.123,2.123,,-1,1.975,2.198,1.901,2.148,,2,2.148,2.099,,2.099,2.123,-1,-1,2.198,2.099,-1,1.975,2.099
21,2.205,2.321,-1,2.162,-1,2.173,-1,-1,2.241,-1,-1,2.188,2.162,-1,-1,2.122,-1,2.099,-1,2.29,2.206,-1,2.146,2.256,-1,-1,-1,2.308,-1,-1,2.185,2.154,-1,2.37,2.13,-1,2.198,2.16,-1,-1,2.144,-1,-1,na,-1,-1,2.166,2.274,2.123,-1,,-1,1.965,2.272,2.099,2.151,,-1,2.099,2.07,,2.148,2.173,-1,-1,2.247,2.099,-1,1.975,2.099
23,2.308,2.321,-1,2.198,-1,2.198,-1,-1,2.275,-1,-1,na,2.266,-1,-1,2.19,-1,2.099,-1,2.339,2.317,-1,2.209,2.231,-1,-1,-1,-1,-1,-1,2.206,2.074,-1,2.37,2.118,-1,2.198,2.224,-1,-1,2.222,-1,-1,2.3,-1,-1,2.247,2.298,2.173,-1,,-1,2.123,,2.148,2.148,,-1,-1,2.148,,2.247,2.272,-1,-1,2.247,2.099,-1,1.975,2.099
25,2.196,2.37,-1,2.128,-1,2.321,-1,-1,2.297,-1,-1,2.339,2.225,-1,-1,2.213,-1,2.173,-1,2.302,2.277,-1,2.167,2.246,-1,-1,-1,-1,-1,-1,2.19,2.219,-1,2.444,2.046,-1,2.173,na,-1,-1,2.222,-1,-1,2.381,-1,-1,2.272,2.303,2.272,-1,,-1,2.099,,2.148,2.222,,-1,-1,2.222,,2.247,2.148,-1,-1,2.247,2.148,-1,2.049,2.198
27,2.256,2.37,-1,-1,-1,2.272,-1,-1,2.296,-1,-1,2.306,2.222,-1,-1,2.263,-1,2.198,-1,na,2.314,-1,2.191,2.266,-1,-1,-1,-1,-1,-1,2.164,2.168,-1,2.37,2.061,-1,2.222,2.267,-1,-1,2.247,-1,-1,2.421,-1,-1,2.272,2.351,2.198,-1,,-1,2.148,,2.198,2.222,,-1,-1,2.272,,2.198,2.321,-1,-1,2.321,2.173,-1,2.074,2.198
29,2.359,2.37,-1,-1,-1,2.296,-1,-1,2.37,-1,-1,2.382,2.222,-1,-1,2.346,-1,2.222,-1,2.415,2.321,-1,2.247,2.277,-1,-1,-1,-1,-1,-1,2.222,2.21,-1,2.444,-1,-1,2.222,2.325,-1,-1,2.346,-1,-1,2.391,-1,-1,2.346,2.379,2.198,-1,,-1,2.198,,2.173,2.247,,-1,-1,2.272,,2.247,2.272,-1,-1,2.37,2.173,-1,2.074,2.272
31,2.406,2.37,-1,-1,-1,2.296,-1,-1,2.365,-1,-1,2.479,2.272,-1,-1,2.346,-1,2.296,-1,2.437,2.37,-1,2.247,2.263,-1,-1,-1,-1,-1,-1,2.222,na,-1,2.444,-1,-1,2.346,2.295,-1,-1,2.346,-1,-1,2.387,-1,-1,-1,-1,2.222,-1,,-1,2.1,,2.173,2.321,,-1,-1,2.321,,2.321,2.302,-1,-1,2.331,2.198,-1,-1,2.272
