Mom ID,i25,i2,i8,i2,i5,i1,i65,i8,i8,i10,i2,i99,i3,i29,i68,i40,i90,i103,i2,i4,i5,i83,i11,i82,i2,i4,i24,i22,i26,i40,i41,i37,i27,i10,i103,i7,i39,i16,i65,i90,i14,i103,i88,i30,i1,i35,i97,i12,i11,i23,i1,i107,i8,i4,i102,i48,i1649,i2299,i1651,i2285,i1661,i1666,i2291,i47,i2289,i2295,i1670,i1656,i1655,i2295,i48,i2296,i2288,i45,i1678,i2281
Birth Date,38501,38507,38515,38505,38511,38537,38541,38551,38551,38505,38513,38527,38527,38505,38531,38531,38567,38573,38507,38515,38523,38519,38573,38579,38507,38531,38519,38507,38517,38531,38561,38577,38507,38521,38563,38509,38561,38509,38539,38563,38511,38547,38583,38511,38537,38577,38539,38523,38547,38523,38527,38535,38551,38527,38539,38587,38617,38647,38675,38607,38615,38675,38587,38611,38651,38675,38621,38661,38623,38671,38601,38601,38625,38595,38615,38605
ID,i194,i195,i196,i197,i198,i199,i200,i201,i202,i203,i204,i205,i206,i207,i208,i209,i210,i211,i212,i213,i214,i215,i216,i217,i218,i219,i220,i221,i222,i223,i224,i225,i226,i227,i228,i229,i230,i231,i232,i233,i234,i235,i236,i237,i238,i239,i241,i242,i243,i244,i245,i246,i247,i248,i249,i1726,i1727,i1728,i1729,i1730,i1731,i1732,i1733,i1734,i1735,i1736,i1737,i1738,i1739,i1740,i1741,i1742,i1743,i1744,i1745,i1746
Vial,d1,d1,d1,d2,d2,d2,d2,d2,d2 (part  of d20),d3,d3,d3,d3 (d19),d4,d4,d4 (part of d17),d4,d4,d5,d5,d5,d5 (d16),d5,d5,d6,d6,d6 (d14),d7,d7,d7,d7,d7,d8,d8,d8,d9,d9,d10,d10,d10,d11,d11,d11,d12,d12,d12,d13,d15,d15,d17,d18,d18,d18,d20,d20,d1,d1,d1,d1,d2,d2,d2,d3,d3,d3,d3,d4,d4,d5,d5,d6,d7,d8,d9,d10,d11
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
1,0.625,0.825,0.791,0.8,0.834,0.834,0.823,0.794,0.78,0.8,0.897,0.781,0.822,0.8,0.784,0.763,0.84,0.741,0.825,0.839,0.806,0.769,0.815,0.79,0.825,0.896,0.759,0.85,0.821,0.772,0.864,0.84,0.875,0.769,0.84,0.825,0.864,0.85,na,0.84,0.813,0.799,0.864,0.794,0.811,0.84,na,0.865,0.849,0.85,0.754,0.775,0.775,0.826,na,0.864,0.84,0.84,0.84,0.864,0.84,0.79,0.889,0.864,0.864,0.84,0.79,0.84,0.84,0.84,0.864,0.864,0.79,0.889,0.79,0.84
3,0.975,0.975,1.154,0.875,1.205,na,1.051,1.059,1.036,0.975,1.29,1.026,1.333,1,1.179,0.847,1.062,0.914,1.2,1.308,1.177,0.923,1.086,1.333,1.275,1.443,1.333,0.9,1.301,0.945,1.111,1.012,1.475,0.988,1.086,1.23,1.136,1.278,1.273,1.012,1.179,0.973,1.062,0.923,na,1.111,1.022,1.21,0.894,1.257,1.077,0.929,0.992,1.103,0.989,1.037,0.988,1.003,1.16,1.012,1.037,1.086,1.037,0.963,1.086,1.037,1.086,1.062,1.062,1.086,1.062,1.062,1.111,1.086,1.037,1.086
5,-1,1.306,1.574,-1,1.605,-1,1.461,-1,1.259,1.15,1.59,1.313,1.552,1.225,1.392,1.218,-1,1.333,1.335,1.538,1.422,1.513,1.111,1.531,1.652,1.628,1.581,-1,1.625,1.264,1.333,1.012,1.41,1.554,1.358,1.487,1.383,1.436,1.673,1.136,1.399,1.117,1.506,1.295,1.163,1.506,1.373,1.498,0.894,1.553,1.789,na,1.383,1.657,1.556,1.235,1.111,1.136,1.235,1.136,1.235,1.16,1.111,1.012,1.284,1.21,1.259,1.358,1.284,1.284,1.333,1.259,1.235,1.185,1.284,1.235
7,-1,-1,1.564,-1,1.667,-1,1.553,-1,1.654,-1,-1,1.505,1.697,1.447,1.665,1.362,-1,1.58,-1,-1,1.615,1.727,-1,1.728,1.744,1.83,1.789,-1,1.789,1.468,1.333,-1,1.846,1.546,1.704,1.756,1.481,1.668,1.68,1.309,1.615,1.508,1.728,1.487,1.49,1.704,1.515,1.641,-1,1.769,1.865,1.498,1.383,1.793,1.747,1.704,1.259,1.333,1.358,1.333,1.457,1.309,1.481,1.185,1.457,1.309,1.309,1.605,1.58,1.457,1.679,1.58,1.457,1.284,1.383,1.506
9,-1,-1,1.754,-1,1.731,-1,-1,-1,1.827,-1,-1,1.68,1.899,1.538,na,na,-1,1.802,-1,-1,1.643,1.906,-1,1.827,1.967,na,1.784,-1,1.917,na,-1,-1,1.987,1.513,1.827,1.949,1.605,1.846,1.772,1.506,1.411,1.654,1.926,1.633,1.628,1.704,1.638,1.797,-1,-1,-1,1.76,-1,1.868,1.928,1.704,1.531,1.394,1.58,-1,1.58,1.58,1.63,1.284,1.58,1.481,1.605,1.67,1.679,1.63,1.827,1.728,1.475,1.358,1.481,1.704
11,-1,-1,1.854,-1,1.821,-1,-1,-1,1.827,-1,-1,1.814,1.917,1.632,1.923,1.694,-1,1.901,-1,-1,1.724,1.949,-1,1.877,2.128,1.93,1.821,-1,1.992,1.868,-1,-1,2.026,1.609,1.951,1.981,1.778,1.85,1.897,1.654,1.872,1.654,1.951,1.795,1.769,-1,1.795,1.832,-1,-1,-1,1.813,-1,1.871,1.908,1.728,1.728,1.605,1.827,-1,1.827,1.679,1.63,1.457,1.704,1.605,1.605,1.728,1.581,1.728,1.827,1.852,1.753,1.481,1.58,1.728
