Mom ID,i25,i65,i60,i85,i98,i65,i2,i40,i65,i3,i103,i16,i14,i68,i8,i103,i29,i11,i40,i97,i98,i2,i41,i10,i65,i90,i22,i27,i7,i104,i7,i99,i90,i11,i16,i16,i1,i3,i11,i34,i14,i65,i30,i26,i40,i11,i65,i107,i35,i24,i25,i99,i29,i83,i5,i23,i103,i25,i2285,i86,i2281,i2281,i2295,i41,i2300,i2286,i48,i2283,i1656,i2283,i2295,i45,i2302,i2296,i1678,i31,i2284,i2281,i2291
Birth date,38501,38539,38547,38561,38565,38573,38505,38537,38541,38527,38563,38569,38505,38531,38547,38573,38505,38519,38537,38533,38565,38507,38561,38507,38541,38567,38507,38507,38515,38539,38509,38527,38567,38573,38509,38521,38527,38531,38537,38573,38511,38541,38511,38517,38531,38537,38547,38547,38577,38519,38519,38529,38519,38519,38523,38523,38547,38523,38587,38623,38633,38653,38675,38605,38653,38683,38601,38635,38661,38601,38671,38621,38661,38601,38615,38579,38601,38615,38615
ID,i250,i251,i252,i253,i254,i255,i256,i257,i258,i259,i260,i261,i262,i263,i264,i265,i266,i267,i268,i269,i270,i271,i272,i273,i274,i275,i276,i277,i278,i279,i280,i281,i282,i283,i284,i285,i286,i287,i288,i289,i290,i291,i292,i293,i294,i295,i296,i297,i298,i299,i300,i301,i302,i303,i304,i305,i306,i307,i1747,i1748,i1749,i1750,i1751,i1752,i1753,i1754,i1755,i1756,i1757,i1758,i1759,i1760,i1761,i1762,i1763,i1764,i1765,i1766,i1767
Vial,e1,e1,e1,e1,e1,e1,e2,e2,e2,e2 (e20),e2,e2,e3,e3,e3 (part of e19),e3,e4,e4,e4,e4 (part of e17),e4,e5,e5,e6,e6,e6,e7,e8,e8,e8 (part of e16),e9,e9,e9,e9,e10,e10,e10,e10,e10 (part of e15),e10,e11,e11,e12,e12,e12,e12,e12,e12 (part of e14),e12,e13,e14,e14,e15,e16,e17,e18,e18,e19,e1,e1,e1,e1,e1,e2,e2,e2,e3,e3,e3,e4,e4,e5,e5,e6,e6,e7,e8,e10,e12
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1,0.825,na,0.691,0.765,0.84,0.84,0.8,0.801,0.856,0.81,0.815,0.84,0.775,0.828,0.823,0.765,0.975,0.763,0.83,0.823,0.815,0.825,0.864,0.825,0.871,0.79,0.85,0.875,0.835,0.667,0.825,0.791,0.84,0.815,0.85,0.769,0.823,0.797,0.821,0.864,0.847,0.817,0.755,0.821,0.771,0.848,0.747,0.87,0.84,0.745,0.803,0.872,0.812,0.737,0.813,0.83,0.811,0.797,0.84,0.84,0.832,0.84,0.84,0.79,0.864,0.815,0.864,0.864,0.84,0.765,0.84,0.84,0.84,0.84,0.815,0.864,0.864,0.79,0.84
3,1.075,1.25,0.825,0.963,1.086,0.988,1.075,na,1.019,1.231,1.012,1.086,1,1.108,1.013,0.963,1.075,0.923,na,1.056,1.012,1.375,1.086,1.35,1.039,1.012,1.05,1.375,1.256,1.054,1.395,0.949,1.037,1.012,1.319,0.832,0.949,0.96,0.865,1.086,0.923,1.033,0.949,1.254,0.952,na,0.945,1.119,1.086,0.897,1.051,0.901,1.333,0.949,0.946,1.269,1.04,1.223,1.086,1.037,1.037,0.966,1.062,0.963,1.005,1.037,1.037,0.963,0.963,0.988,0.988,0.938,0.938,0.864,0.988,1.037,0.988,1.037,1.037
5,1.5,-1,0.918,-1,1.16,-1,1.375,-1,1.274,1.44,1.012,1.333,1.15,1.209,1.084,1.136,1.315,1.264,1.305,1.35,1.21,1.513,1.309,1.558,1.23,1.136,1.562,-1,1.311,1.473,1.462,1.071,1.16,1.21,1.385,-1,-1,1.01,1.397,1.136,1.362,1.106,-1,1.538,1.218,0.868,1.144,1.36,1.259,1.11,1.553,1.201,1.543,1.477,1.17,1.565,1.237,1.512,1.111,1.16,1.136,1.136,1.284,0.963,1.21,,1.185,0.988,1.16,1.037,1.037,1.012,0.988,0.864,1.136,1.284,1.111,1.235,1.136
7,1.75,-1,1.003,-1,1.284,-1,1.512,-1,1.421,1.689,-1,1.407,1.285,1.271,1.138,1.333,1.385,1.395,1.676,na,1.358,1.744,1.309,1.744,1.63,1.259,1.692,-1,1.513,1.669,1.668,1.265,-1,1.235,1.563,-1,-1,1.07,1.62,1.432,1.59,1.389,-1,1.753,-1,-1,-1,1.531,1.457,1.266,1.728,1.296,1.764,1.679,1.487,1.692,1.238,1.769,1.111,1.284,1.136,1.333,1.457,1.012,1.358,,1.457,1.012,1.383,1.284,1.284,1.136,1.185,0.914,1.358,1.284,1.358,1.358,1.284
9,1.8,-1,1.185,-1,-1,-1,1.59,-1,1.58,1.825,-1,1.506,1.385,na,1.259,1.457,1.497,1.557,1.853,1.207,1.457,1.839,1.531,1.795,1.644,1.383,1.855,-1,1.64,1.681,1.846,1.354,-1,1.457,1.821,-1,-1,na,1.767,1.63,1.726,1.393,-1,1.894,-1,-1,-1,1.679,1.556,1.492,1.74,1.502,1.798,1.825,1.6,1.767,-1,1.907,1.136,1.309,1.136,1.531,1.63,1.086,1.481,,1.704,1.1,na,1.333,1.407,1.284,1.281,0.963,1.531,1.284,1.531,1.506,1.457
11,1.923,-1,1.432,-1,-1,-1,1.789,-1,1.627,1.828,-1,1.704,1.466,1.389,1.407,1.481,-1,1.59,1.828,1.208,1.605,1.897,1.531,2.026,1.731,1.556,2.077,-1,1.765,1.771,1.864,1.331,-1,1.506,-1,-1,-1,1.34,1.873,1.654,1.744,1.474,-1,1.865,-1,-1,-1,1.679,1.654,1.667,-1,na,1.923,1.923,-1,1.796,-1,1.831,1.259,-1,1.173,1.481,1.802,1.111,1.654,,1.802,-1,1.704,1.358,1.481,1.358,1.432,1.012,1.679,1.284,1.753,1.704,1.531
13,1.923,-1,1.556,-1,-1,-1,1.769,-1,1.648,na,-1,1.728,1.692,1.545,1.457,1.605,-1,1.617,1.928,1.422,1.778,1.899,1.63,1.865,1.8,1.58,1.971,-1,1.827,1.908,1.923,na,-1,1.605,-1,-1,-1,1.391,1.866,1.802,1.837,1.575,-1,1.974,-1,-1,-1,1.802,1.778,1.835,-1,1.68,1.974,1.944,-1,1.784,-1,1.862,1.383,-1,1.284,1.827,,1.16,1.827,,1.852,-1,1.704,1.383,1.63,1.389,1.481,-1,1.679,1.284,1.704,1.605,1.58
15,1.947,-1,-1,-1,-1,-1,1.828,-1,-1,2.073,-1,1.728,1.683,1.529,1.58,1.605,-1,1.597,2.019,1.64,1.802,1.974,1.63,2,1.802,1.753,1.974,-1,1.897,1.913,-1,1.229,-1,1.753,-1,-1,-1,1.48,1.898,1.877,1.947,1.728,-1,-1,-1,-1,-1,1.951,1.778,1.791,-1,1.743,1.983,2.054,-1,1.763,-1,na,1.358,-1,1.284,1.827,,1.16,1.852,,1.827,-1,1.753,1.457,1.531,1.432,1.481,-1,1.704,1.333,1.827,1.728,1.63
17,2.051,-1,-1,-1,-1,-1,1.821,-1,-1,2.097,-1,1.605,1.769,1.557,1.679,1.654,-1,1.574,1.981,1.67,1.827,2.065,1.728,2.083,1.802,1.704,1.96,-1,1.962,2,-1,1.414,-1,1.753,-1,-1,-1,1.626,1.981,1.926,1.929,1.728,-1,-1,-1,-1,-1,1.951,1.852,1.892,-1,-1,2.028,2.08,-1,-1,-1,1.961,1.358,-1,1.268,1.919,,1.16,-1,,1.877,-1,1.901,1.481,,1.457,-1,-1,1.704,1.358,1.852,1.827,1.827
19,2.008,-1,-1,-1,-1,-1,1.971,-1,-1,2.044,-1,1.605,1.759,1.561,1.654,1.654,-1,-1,2.049,1.803,1.901,2.098,1.827,2.083,1.827,1.679,2.052,-1,1.975,2.099,-1,1.484,-1,1.827,-1,-1,-1,1.575,2.049,1.926,2.051,1.877,-1,-1,-1,-1,-1,1.951,1.951,1.923,-1,-1,-1,2.092,-1,-1,-1,2.077,1.333,-1,1.457,1.926,,1.21,-1,,1.951,-1,2.025,1.481,,1.481,-1,-1,-1,1.457,1.951,1.854,-1
21,2.077,-1,-1,-1,-1,-1,1.997,-1,-1,2.118,-1,1.654,1.783,1.59,1.778,1.654,-1,-1,-1,1.897,1.975,2.144,1.852,2.118,1.852,1.728,2.046,-1,2.083,2.099,-1,1.473,-1,1.704,-1,-1,-1,1.642,2.099,1.951,1.964,1.926,-1,-1,-1,-1,-1,1.951,1.901,na,-1,-1,-1,-1,-1,-1,-1,-1,1.333,-1,-1,-1,,1.111,-1,,1.951,-1,2.025,1.506,,1.506,-1,-1,-1,1.506,1.951,1.877,-1
