Mom ID,i65,i90,i42,i98,i3,i65,i82,i32,i33,i90,i11,i103,i35,i82,i85,i78,i43,i74,i82,i74,i44,i42,i42,i39,i67,i92,i65,i65,I45,I98,i2288,i2301,i2281,i2293,i71,i45,i48,i1666,i2280,i98,i2299,i2297,i2303,i45,i2285,i1677,i2281,i1652,i31,i2291,i2285,i1682,i37,i2288,i2283,i2290,i35,i86,i2283,i2296,i2290,i34
Birth date,38547,38563,38547,38571,38547,38553,38563,38573,38549,38553,38551,38553,38553,38563,38555,38563,38555,38563,38557,38563,38555,38557,38557,38557,38563,38559,38563,38563,38575,38577,38607,38639,38657,38677,38585,38595,38609,38647,38659,38597,38641,38663,38685,38585,38597,38615,38633,38661,38585,38597,38607,38599,38621,38661,38621,38621,38591,38623,38611,38585,38611,38577
ID,i308,i309,i310,i311,i312,i313,i314,i315,i316,i317,i320,i321,i322,i323,i324,i325,i326,i327,i329,i330,i331,i332,i333,i334,i335,i336,i337,i338,i339,i343,i1768,i1769,i1770,i1771,i1772,i1773,i1774,i1775,i1776,i1777,i1778,i1779,i1780,i1781,i1782,i1783,i1784,i1785,i1786,i1787,i1788,i1789,i1790,i1791,i1792,i1793,i1794,i1795,i1796,i1797,i1798,i1799
Vial,f1,f1,f2,f2,f3,f3,f3,f3,f4,f4,f5,f6,f7,f7,f8,f8,f9,f9,f10,f10,f11,f12,f13,f14,f14,f15,f16,f17,f2,f10,f1,f1,f1,f1,f2,f2,f2,f2,f2,f3,f3,f3,f3,f4,f4,f4,f4,f4,f5,f5,f5,f6,f6,f6,f7,f8,f9,f9,f10,f11,f11,f15
Age ,1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
1,0.729,0.864,0.872,0.864,0.794,0.837,0.815,0.84,0.882,0.852,0.866,0.867,0.798,0.84,0.741,0.84,0.84,0.741,0.79,0.741,0.815,0.84,0.815,0.864,0.815,0.84,0.815,0.84,0.864,0.84,0.79,0.864,0.84,0.815,0.84,0.84,0.889,0.84,0.864,0.864,0.864,0.79,0.84,0.864,0.84,0.84,0.869,0.84,0.864,0.864,0.84,0.864,0.864,0.84,0.864,0.84,0.889,0.84,0.84,0.815,0.864,0.889
3,0.966,1.062,1.114,1.111,1.001,0.963,1.037,1.012,-1,1.012,1.133,0.963,0.889,1.062,0.914,0.963,1.012,1.111,0.988,1.136,0.889,1.062,1.012,1.086,1.012,0.889,0.938,1.062,1.086,0.988,0.963,1.111,1.062,0.963,1.086,1.062,1.111,0.961,0.988,0.963,0.801,0.963,,1.012,0.988,1.037,0.988,0.963,1.012,1.111,1.086,1.062,1.037,0.988,0.963,0.938,1.086,1.062,1.037,1.037,1.037,1.086
5,1.446,1.259,1.343,-1,-1,1.062,1.21,1.111,-1,1.111,1.333,1.185,1.086,1.481,1.432,1.21,1.432,1.136,1.21,1.21,0.914,1.284,1.259,1.284,1.21,0.938,-1,-1,1.16,1.012,1.086,1.189,1.185,1.111,1.21,1.16,1.309,1.062,1.086,1.111,0.889,1.086,,1.037,1.012,1.185,1.062,0.988,1.012,1.21,1.136,1.16,1.111,1.16,1.037,0.963,1.21,1.16,1.136,1.16,1.185,1.284
7,1.616,1.358,1.634,-1,-1,1.259,1.333,1.309,-1,1.259,1.407,1.383,1.506,1.728,-1,1.358,-1,-1,-1,1.407,1.136,1.506,1.481,-1,1.358,1.012,-1,-1,1.383,-1,1.111,1.358,1.333,1.185,1.358,1.358,1.457,1.21,1.284,1.111,0.889,1.178,,1.086,1.037,1.21,0.988,1.037,1.086,1.185,1.235,1.432,1.21,1.235,1.16,1.012,1.407,1.284,1.235,1.235,1.284,1.481
9,1.802,1.457,1.728,-1,-1,-1,1.284,1.309,-1,1.284,1.531,1.481,1.506,1.728,-1,1.432,-1,-1,-1,1.358,1.432,1.679,1.605,-1,1.556,1.136,-1,-1,-1,-1,1.16,1.383,1.457,1.235,-1,1.358,1.457,1.195,1.358,1.185,-1,1.111,,1.086,1.16,1.21,-1,-1,-1,-1,1.235,1.333,1.309,1.274,1.333,0.988,1.457,-1,1.358,1.358,-1,-1
11,1.728,1.457,1.802,-1,-1,-1,-1,1.383,-1,1.284,1.654,1.63,-1,1.802,-1,1.432,-1,-1,-1,1.457,1.531,1.753,1.778,-1,1.679,1.333,-1,-1,-1,-1,1.21,1.366,1.457,,-1,1.432,1.457,-1,1.459,1.333,-1,-1,,1.012,1.21,-1,-1,-1,-1,-1,1.21,-1,1.259,1.333,1.432,-1,1.432,-1,1.358,1.457,-1,-1
