Mom ID,i65,i74,i90,i103,i103,i98,i98,i85,i86,i92,i88,i98,i98,i88,i62,i1661,i1683,i62,i1652,i66,i1661,i66,i1678,i66,i1666,i1666,i1661,i1661
Birth date,38553,38553,38553,38557,38557,38559,38559,38561,38581,38587,38577,38577,38577,38583,38591,38605,38637,38591,38661,38607,38611,38607,38599,38607,38609,38609,38611,38615
ID,i392,i393,i394,i396,i398,i399,i400,i401,i402,i407,i408,i409,i410,i415,i1854,i1855,i1856,i1857,i1858,i1859,i1860,i1861,i1862,i1863,i1864,i1865,i1866,i1867
Vial,maa1,maa2,maa3,maa4,maa5,maa6,maa7,maa8,maa1,maa2,maa3,maa5,maa6,maa9,maa1,maa1,maa2,maa3,maa3,maa4,maa6,maa7,maa8,maa9,maa10,maa11,maa12,maa13
Age ,1,2,3,5,7,8,9,10,11,16,17,18,19,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,0.821,0.8,0.863,0.815,0.864,0.815,0.765,0.741,0.864,0.84,0.889,0.864,0.889,0.864,0.84,0.84,0.864,0.864,0.84,0.864,0.864,0.84,0.815,0.864,0.815,0.815,0.864,0.84
3,1.086,1.062,1.086,0.963,1.012,1.062,1.037,0.914,0.988,1.309,1.062,1.062,1.086,1.086,0.963,1.086,1.136,1.111,0.963,1.037,1.111,1.086,1.086,1.086,0.963,1.037,1.111,1.086
5,1.556,1.63,1.58,1.037,1.506,1.481,1.58,1.358,1.111,1.506,1.457,1.778,1.704,1.531,1.457,1.284,1.358,1.358,1.481,1.185,1.481,1.111,1.481,1.358,1.358,1.605,1.21,1.704
7,1.852,1.852,1.852,1.333,1.679,1.704,1.827,1.383,1.358,1.753,1.605,2.025,1.877,1.753,1.704,1.778,1.668,1.58,1.654,1.605,1.679,1.531,1.753,1.951,1.605,1.679,1.605,1.951
9,1.852,1.901,1.951,1.506,2.025,1.704,1.827,1.383,-1,2.025,1.605,2.025,1.951,1.926,1.704,1.778,1.827,1.877,1.903,1.827,1.951,1.531,1.753,1.975,1.852,1.704,1.852,2.123
11,1.975,2.025,2.074,1.704,2.025,1.802,1.951,1.383,-1,1.975,-1,2.099,1.951,2.198,-1,1.951,1.951,1.975,2.025,1.827,1.975,1.63,2.123,2.123,1.951,1.704,1.852,2.123
