Mom ID,i65,i74,i90,i103,i103,i98,i98,i85,i86,i92,i88,i98,i98,i88,i62,i1661,i1683,i62,i1652,i66,i1661,i66,i1678,i66,i1666,i1666,i1661,i1661
Birth date,38553,38553,38553,38557,38557,38559,38559,38561,38581,38587,38577,38577,38577,38583,38591,38605,38637,38591,38661,38607,38611,38607,38599,38607,38609,38609,38611,38615
ID,i392,i393,i394,i396,i398,i399,i400,i401,i402,i407,i408,i409,i410,i415,i1854,i1855,i1856,i1857,i1858,i1859,i1860,i1861,i1862,i1863,i1864,i1865,i1866,i1867
Vial,maa1,maa2,maa3,maa4,maa5,maa6,maa7,maa8,maa1,maa2,maa3,maa5,maa6,maa9,maa1,maa1,maa2,maa3,maa3,maa4,maa6,maa7,maa8,maa9,maa10,maa11,maa12,maa13
Age ,1,2,3,5,7,8,9,10,11,16,17,18,19,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1.000,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
3.000,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
5.000,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
7.000,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
9.000,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
11.000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
13.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
