Mom ID,i5002,i5001,i5000,i5019,i5000,i5019,i5018,i5005,i5004,i5010,i5019,i5020,i5018,i5012,i5007,i5014
Birth date,38509,38513,38509,38519,38509,38519,38527,38509,38523,38509,38519,38511,38523,38519,38525,38527
ID,i5148,i5149,i5150,i5151,i5152,i5153,i5154,i5155,i5156,i5157,i5158,i5159,i5160,i5161,i5162,i5163
Vial,c1,c1,c2,c2,c3,c3,c3,c4,c4,c5,c5,c6,c6,c7,c8,c9
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.000,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
7.000,,1,,0,,,0,0,0,,0,1,3,0,0,0
9.000,,1,,2,,,1,0,0,,0,1,5,2,0,
11.000,,5,,4,,,1,0,1,,0,,,4,0,
13.000,,5,,7,,,4,,4,,2,,,8,0,
15.000,,8,,7,,,6,,4,,2,,,8,1,
17.000,,8,,8,,,6,,6,,2,,,9,1,
19.000,,10,,8,,,6,,6,,,,,12,4,
21.000,,10,,10,,,9,,8,,,,,15,5,
23.000,,12,,10,,,,,,,,,,,7,
25.000,,12,,13,,,,,,,,,,,7,
27.000,,14,,13,,,,,,,,,,,9,
29.000,,,,16,,,,,,,,,,,9,
31.000,,,,16,,,,,,,,,,,11,
33.000,,,,,,,,,,,,,,,12,
35.000,,,,,,,,,,,,,,,12,
37.000,,,,,,,,,,,,,,,15,
39.000,,,,,,,,,,,,,,,15,
41.000,,,,,,,,,,,,,,,15,
43.000,,,,,,,,,,,,,,,,
45.000,,,,,,,,,,,,,,,,
47.000,,,,,,,,,,,,,,,,
49.000,,,,,,,,,,,,,,,,
51.000,,,,,,,,,,,,,,,,
53.000,,,,,,,,,,,,,,,,
55.000,,,,,,,,,,,,,,,,
57.000,,,,,,,,,,,,,,,,
59.000,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,
109.000,,,,,,,,,,,,,,,,
111.000,,,,,,,,,,,,,,,,
113.000,,,,,,,,,,,,,,,,
115.000,,,,,,,,,,,,,,,,
117.000,,,,,,,,,,,,,,,,
119.000,,,,,,,,,,,,,,,,
121.000,,,,,,,,,,,,,,,,
123.000,,,,,,,,,,,,,,,,
125.000,,,,,,,,,,,,,,,,
127.000,,,,,,,,,,,,,,,,
129.000,,,,,,,,,,,,,,,,
131.000,,,,,,,,,,,,,,,,
133.000,,,,,,,,,,,,,,,,
135.000,,,,,,,,,,,,,,,,
137.000,,,,,,,,,,,,,,,,
139.000,,,,,,,,,,,,,,,,
141.000,,,,,,,,,,,,,,,,
143.000,,,,,,,,,,,,,,,,
