Mom ID,i5002,i5008,i5000,i5007,i5004,i5007,i5008,i5003,i5007,i5010,i5008,i5000,i5008,i5020,i5014,i5013
Birth date,38509,38513,38509,38523,38529,38531,38509,38519,38525,38509,38519,38511,38519,38511,38521,38525
ID,i5184,i5185,i5186,i5187,i5188,i5189,i5190,i5191,i5192,i5193,i5194,i5195,i5196,i5197,i5198,i5199
Vial,e1,e1,e2,e2,e2,e2,e3,e3,e3,e4,e4,e5,e5,e6,e7,e8
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000,,0,0,0,,0,,,0,0,0,,0,0,0,0
5.000,,0,0,,,,,,0,0,0,,0,0,0,0
7.000,,0,0,,,,,,0,,0,,0,0,0,0
9.000,,0,0,,,,,,0,,1,,0,0,1,0
11.000,,0,0,,,,,,0,,1,,0,0,1,0
13.000,,0,,,,,,,0,,1,,0,0,1,0
15.000,,0,,,,,,,2,,1,,0,0,1,0
17.000,,1,,,,,,,2,,3,,0,0,2,
19.000,,1,,,,,,,2,,3,,0,0,2,
21.000,,,,,,,,,4,,3,,0,0,4,
23.000,,,,,,,,,5,,4,,0,0,4,
25.000,,,,,,,,,5,,6,,,,4,
27.000,,,,,,,,,6,,,,,,6,
29.000,,,,,,,,,6,,,,,,6,
31.000,,,,,,,,,6,,,,,,6,
33.000,,,,,,,,,,,,,,,6,
35.000,,,,,,,,,,,,,,,,
37.000,,,,,,,,,,,,,,,,
39.000,,,,,,,,,,,,,,,,
41.000,,,,,,,,,,,,,,,,
43.000,,,,,,,,,,,,,,,,
45.000,,,,,,,,,,,,,,,,
47.000,,,,,,,,,,,,,,,,
49.000,,,,,,,,,,,,,,,,
51.000,,,,,,,,,,,,,,,,
53.000,,,,,,,,,,,,,,,,
55.000,,,,,,,,,,,,,,,,
57.000,,,,,,,,,,,,,,,,
59.000,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,
109.000,,,,,,,,,,,,,,,,
111.000,,,,,,,,,,,,,,,,
113.000,,,,,,,,,,,,,,,,
115.000,,,,,,,,,,,,,,,,
117.000,,,,,,,,,,,,,,,,
119.000,,,,,,,,,,,,,,,,
121.000,,,,,,,,,,,,,,,,
123.000,,,,,,,,,,,,,,,,
125.000,,,,,,,,,,,,,,,,
127.000,,,,,,,,,,,,,,,,
129.000,,,,,,,,,,,,,,,,
131.000,,,,,,,,,,,,,,,,
133.000,,,,,,,,,,,,,,,,
135.000,,,,,,,,,,,,,,,,
137.000,,,,,,,,,,,,,,,,
139.000,,,,,,,,,,,,,,,,
141.000,,,,,,,,,,,,,,,,
143.000,,,,,,,,,,,,,,,,
