Mom Id,i1914,i560,i560,i571,i1914,i560,i1917,i1919,i544,i560,i1921,i1922,i1923,i1925,i547,i1914,i1926,i560,i1927,i1925,i556,i1933,i1932,i1935,i544,i1936,i1938,i1939,i1923,i1936,i1941,i1939,i1942,i1923,i1945,i553,i1946,i1942,i1947,i1936,i1948,i1942,i1949,i1950,i1951,i1952,i1949,i1927,i547,i1942,i1922,i1915,i1916,i1978,i1978,i1918,i2007,i1918,i1916,i1920,i1995,i1995,i1998,i1998,i1924,i1915,i1920,i2013,i1928,i1929,i1930,i1931,i1996,i1929,i1934,i2013,i579,i546,i1928,i1937,i569,i573,i1940,i1929,i1943,i1944,i2020,i589,i1928,i1930,i1916,i1916,i2020,i1940,i1937,i589,i1953,i1954
Birth Date,38505,38539,38545,38539,38505,38545,38533,38505,38521,38545,38549,38519,38575,38505,38529,38507,38517,38545,38519,38507,38527,38573,38577,38513,38521,38577,38515,38551,38555,38577,38515,38529,38565,38579,38517,38521,38545,38565,38533,38577,38517,38565,38577,38519,38563,38567,38577,38519,38529,38565,38519,38613,38615,38627,38661,38605,38681,38605,38615,38619,38657,38657,38679,38679,38681,38607,38619,38661,38607,38611,38617,38631,38633,38583,38647,38661,38591,38599,38607,38631,38593,38599,38607,38611,38661,38653,38593,38599,38607,38617,38619,38619,38593,38607,38631,38599,38565,38579
ID,i540,i541,i542,i543,i544,i545,i546,i547,i548,i549,i550,i551,i552,i553,i554,i555,i556,i557,i558,i559,i560,i561,i562,i563,i564,i565,i566,i567,i568,i569,i570,i571,i572,i573,i574,i575,i576,i577,i578,i579,i580,i581,i582,i583,i584,i585,i586,i587,i588,i589,i590,i1974,i1975,i1976,i1977,i1978,i1979,i1980,i1981,i1982,i1983,i1984,i1985,i1986,i1987,i1988,i1989,i1990,i1991,i1992,i1993,i1994,i1995,i1996,i1997,i1998,i1999,i2000,i2001,i2002,i2003,i2004,i2005,i2006,i2007,i2008,i2009,i2010,i2011,i2012,i2013,i2014,i2015,i2016,i2017,i2018,i2019,i2020
Vial,aa1,aa1,aa1,aa1 (from part of aa18),aa2,aa2,aa2 (aa17),aa3,aa4,aa4,aa4,aa4 (part of aa16),aa4,aa5,aa5,aa6,aa6,aa6,aa6 (part of aa15),aa7,aa7,aa7,aa7,aa8,aa8,aa8,aa9,aa9,aa9 (part of aa12),aa9,aa10,aa10,aa10,aa10,aa11,aa12,aa12,aa12,aa18,aa12,aa13,aa13,aa13,aa14,aa14,aa14,aa14,aa15,aa15,aa15,aa16,aa1,aa1,aa1,aa1,aa2,aa2,aa3,aa3,aa3,aa3,aa4,aa4,aa3,aa3,aa5,aa5,aa5,aa6,aa6,aa6,aa6,aa6,aa7,aa7,aa7,aa8,aa8,aa8,aa8,aa9,aa9,aa9,aa9,aa10,aa10,aa11,aa11,aa11,aa11,aa11,aa12,aa13,aa13,aa13,aa14,aa16,aa16
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
1,0.875,0.84,0.864,0.765,0.85,0.864,0.828,0.85,0.776,0.864,0.84,0.873,0.857,0.85,0.807,0.825,0.788,0.889,0.79,0.9,0.827,0.846,0.848,na,0.828,0.837,0.864,0.815,0.851,0.827,0.81,0.828,0.843,0.815,0.793,0.802,0.84,0.813,0.879,0.832,0.806,0.781,0.826,0.673,0.895,0.815,0.812,0.724,0.832,0.811,0.698,0.84,0.929,0.864,0.835,0.99,0,0.954,0.887,0.848,0.876,0.875,0.821,0.785,0.879,0.837,0.831,0.882,0.829,0.797,0.839,0.829,0.84,0.91,0.775,0.892,0.813,0.879,0.827,0.837,0.812,0.874,0.821,0.78,0.855,0.799,0.802,0.882,0.832,0.856,0.867,0.825,0.809,0.89,0.822,0.871,0.859,0.815
3,1.275,1.111,1.012,1.012,1.275,1.086,1.012,1.225,1.047,0.988,1.012,1.006,1.038,1.275,1.087,1.15,1.216,1.012,0.983,1.1,1.105,1.117,1.086,0.874,1.1,1.062,1.285,1.086,1.108,1.037,1.213,0.959,0.988,1.006,1.009,1.338,1.062,1.012,1.086,1.012,1.112,0.963,1.086,0.828,1.084,1.028,1.037,0.905,1.132,0.988,0.776,-1,1.124,1.133,0.988,1.131,1.333,1.13,NA,1.126,1.255,1.096,1.001,-1,1.136,1.019,0.96,1.111,1.067,0.963,1.025,-1,1.068,1.012,1.042,1.037,0.821,-1,1.033,1.037,-1,-1,0.967,0.988,1.037,-1,-1,1.133,1.002,-1,1.036,0.981,1.148,1.078,-1,0.882,1.21,0.981
5,1.6,-1,-1,1.58,1.625,-1,1.604,1.775,1.733,-1,-1,1.345,1.333,1.625,1.681,1.327,1.5,1.259,1.086,1.178,1.744,-1,-1,1.515,1.604,1.473,1.474,1.561,1.366,1.503,1.474,1.371,1.504,1.443,1.371,1.759,1.185,1.496,-1,1.343,1.397,1.15,1.137,1.009,-1,1.139,1.137,-1,-1,1.501,1.145,-1,1.206,1.277,1.384,1.352,1.575,1.35,-1,1.366,1.343,1.552,1.531,-1,1.287,1.463,1.195,1.451,-1,-1,1.215,-1,1.261,1.086,1.441,1.388,0.851,-1,1.129,1.396,-1,-1,-1,1.081,1.323,-1,-1,-1,-1,-1,1.383,1.376,1.251,-1,-1,0.911,1.252,1.536
7,1.802,-1,-1,1.679,1.846,-1,1.877,1.927,1.915,-1,-1,1.309,1.542,1.828,1.926,na,1.805,1.531,1.21,na,1.966,-1,-1,-1,1.806,1.845,1.759,1.566,1.472,1.772,1.655,1.704,1.741,1.753,1.829,1.974,1.679,1.692,-1,1.843,1.646,1.625,1.305,1.474,-1,1.688,1.61,-1,-1,1.796,1.552,-1,-1,1.457,1.549,1.532,-1,1.497,-1,1.619,1.654,1.827,1.7,-1,-1,1.284,1.439,1.806,-1,-1,-1,-1,1.33,1.504,1.596,1.635,-1,-1,1.63,1.578,-1,-1,-1,1.574,1.475,-1,-1,-1,-1,-1,1.697,1.513,1.351,-1,-1,-1,-1,1.802
9,na,-1,-1,1.877,na,-1,1.877,na,1.905,-1,-1,1.811,1.796,na,1.966,-1,2.069,-1,1.679,1.484,1.951,-1,-1,-1,2.011,1.951,2.039,-1,1.694,1.877,1.989,1.914,1.853,1.901,2.043,1.942,1.827,1.826,-1,1.704,1.733,-1,1.333,1.657,-1,1.839,1.852,-1,-1,1.945,-1,-1,-1,1.714,1.871,1.827,-1,1.605,-1,1.802,1.8,1.93,-1,-1,-1,1.474,1.778,2.023,-1,-1,-1,-1,1.432,1.649,2.149,1.87,-1,-1,1.949,1.729,-1,-1,-1,1.66,1.846,-1,-1,-1,-1,-1,1.951,1.802,-1,-1,-1,-1,-1,1.926
11,2.09,-1,-1,2.173,1.972,-1,2.099,2.159,2.019,-1,-1,1.975,1.877,1.904,2,-1,2.224,-1,1.852,1.683,2.121,-1,-1,-1,1.999,1.901,2.199,-1,1.66,1.975,2.147,1.926,1.863,1.95,2.066,2.109,-1,1.863,-1,1.827,1.926,-1,1.333,1.944,-1,-1,-1,-1,-1,1.927,-1,-1,-1,1.851,2.123,1.929,-1,-1,-1,1.88,1.914,1.837,-1,-1,-1,NA,1.969,2.099,-1,-1,-1,-1,1.679,1.879,-1,1.975,-1,-1,1.942,1.975,-1,-1,-1,1.756,1.951,-1,-1,-1,-1,-1,1.884,1.744,-1,-1,-1,-1,-1,2.041
