Mom ID,i1955,i556,i556,i1946,i1956,i1953,i1958,i1933,i1960,i548,i1962,i1919,i1963,i1946,i1933,i1964,i1965,i1947,i1968,i1952,i1923,i1925,i1963,i564,i1954,i1935,i548,i575,i1971,i1921,i1956,i1972,i575,i1939,i1973,i2042,i2043,i1946,i2044,i1945,i575,i1946,i2045,i2046,i2044,i2047,i547,i2046,i575,i570,i1946,i1956,i1917,i1915,i1957,i1959,i2007,i1961,i1934,i1998,i543,i1949,i1937,i1967,i1966,i2013,i1936,i1969,i2002,i1970,i1944,i1952,i1966,i1998,i1936,i1943,i1916,i1933
Birthdate,38497,38527,38533,38545,38545,38565,38501,38567,38497,38535,38497,38505,38547,38539,38573,38505,38519,38575,38505,38567,38579,38507,38547,38535,38575,38513,38535,38539,38543,38549,38545,38515,38539,38551,38563,38579,38523,38549,38555,38517,38539,38545,38581,38517,38561,38517,38529,38519,38539,38523,38539,38545,38533,38613,38675,38629,38681,38621,38653,38679,38583,38593,38631,38635,38659,38681,38583,38661,38665,38587,38663,38587,38665,38685,38589,38667,38589,38589
ID,i591,i592,i593,i594,i595,i596,i597,i598,i599,i600,i601,i602,i603,i604,i605,i606,i607,i608,i609,i610,i611,i612,i613,i614,i615,i616,i617,i618,i619,i620,i621,i622,i623,i624,i625,i626,i627,i628,i629,i630,i631,i632,i633,i634,i635,i636,i637,i638,i639,i640,i641,i642,i643,i2021,i2022,i2023,i2024,i2025,i2026,i2027,i2028,i2029,i2030,i2031,i2032,i2033,i2034,i2035,i2036,i2037,i2038,i2039,i2040,i2041,i2104,i2105,i2106,i2107
Vial,B1,b1,b1,b1,b1 (part of b18),b1,b2,b2,b3,b3,b4,b4,b4,b4 (b17),b4,b5,b5 (b15),b5,b6,b6,b6,b7,b7,b7 (prt of b13),b7,b8,b8,b8,b8,b8,b8 (part of b14),b9,b9,b9,b9,b9,b10,b10,b10,b11,b11,b11,b11,b12,b12,b13,b13,b14,b14,b16,b16,b16,b18,b1,b1,b2,b2,b3,b4,b4,b5,b5,b5,b5,b5,b5,b6,b6,b6,b7,b7,b8,b8,b8,b9,b9,b10,b12
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,0.775,0.846,0.854,0.79,0.864,0.821,0.85,0.84,0.95,0.815,1,0.775,0.741,0.765,0.806,0.825,0.776,0.86,0.95,0.79,0.815,0.875,0.765,0.79,0.878,na,0.84,0.815,0.864,0.79,0.815,0.764,0.815,0.864,0.826,0.84,0.855,0.815,0.833,0.821,0.84,0.815,0.824,0.802,0.845,0.81,0.791,0.802,0.84,0.702,0.765,0.864,0.828,0.84,0.821,0.888,0.818,0.802,0.825,0.799,0.821,0.867,0.877,0.845,0.879,0.709,0.827,0.792,0.8,0.84,0.84,0.84,0.9,0.798,0.886,0.822,0.949,0.856
3,1.4,1.017,1.136,1.012,1.086,1.21,1.025,1.056,1.15,1.138,1.225,1.15,0.889,1.037,1.072,1.14,1.164,1.183,1.1,1.075,1.018,1.4,0.988,1.009,1.098,1.175,1.009,1.086,0.963,1.086,1.037,1.078,1.012,1.062,1.012,1.067,1.164,1.086,1.039,1.267,1.037,1.062,1.059,1.164,1.114,1.061,0.943,0.957,1.037,1.112,0.988,1.062,1.062,1.143,1.284,1.03,1.284,1.021,1.047,1.032,1.037,1.066,-1,-1,1.047,1.037,0.988,0.963,1.08,-1,1.043,0.927,1.008,,1.027,-1,1.1,1.137
5,1.4,-1,-1,-1,1.333,1.498,1.625,1.619,1.425,1.778,-1,1.5,-1,1.481,1.53,1.725,1.441,1.309,1.425,1.187,-1,1.752,1.556,1.358,1.333,1.659,-1,-1,-1,1.284,1.284,1.578,1.728,1.645,1.605,1.198,1.373,-1,1.644,1.604,-1,1.21,1.457,1.371,1.259,1.526,1.345,1.286,-1,1.363,-1,1.556,1.604,1.58,1.375,1.284,1.431,1.591,1.436,1.506,1.16,1.589,-1,-1,1.457,1.389,1.506,-1,1.244,-1,1.355,0.899,1.064,,NA,-1,1.423,NA
7,1.8,-1,-1,-1,1.728,1.735,1.85,1.872,1.875,1.975,-1,1.678,-1,1.704,1.802,1.975,1.578,-1,1.672,1.174,-1,na,1.827,1.481,1.46,1.837,-1,-1,-1,-1,1.778,1.914,1.778,1.793,1.882,-1,1.635,-1,1.817,1.821,-1,1.432,1.556,1.59,-1,1.778,-1,1.63,-1,1.736,-1,1.877,1.556,1.563,1.53,1.444,,1.827,1.714,1.821,-1,1.852,-1,-1,1.601,,1.807,-1,1.457,-1,1.552,NA,-1,,1.707,-1,1.544,1.678
9,2.025,-1,-1,-1,1.852,1.962,2.075,1.994,2.175,2.123,-1,na,-1,1.926,1.952,2.098,1.693,-1,1.732,1.58,-1,2.031,1.878,1.852,-1,1.837,-1,-1,-1,-1,1.975,2.088,1.827,1.809,1.864,-1,1.823,-1,2.043,1.914,-1,1.605,1.871,1.733,-1,1.837,-1,1.721,-1,1.745,-1,1.827,-1,1.721,1.728,1.761,,1.932,1.948,,-1,1.829,-1,-1,1.693,,2.001,-1,1.728,-1,1.728,,-1,,1.741,-1,1.833,1.656
11,2.025,-1,-1,-1,1.93,1.968,2.028,2.031,2.1,2.123,-1,1.987,-1,1.975,1.957,2.044,1.853,-1,1.952,1.626,-1,2.212,1.808,2.049,-1,1.967,-1,-1,-1,-1,1.955,2.173,1.728,-1,2.01,-1,1.992,-1,1.75,1.88,-1,1.781,1.901,1.84,-1,-1,-1,1.832,-1,1.785,-1,1.94,-1,1.856,1.643,1.927,,1.953,1.852,,-1,2.105,-1,-1,-1,,1.976,-1,1.826,-1,1.852,,-1,,1.926,-1,1.975,1.852
13,2.1,-1,-1,-1,2.009,2.086,na,2.148,2.125,2.222,-1,2.134,-1,1.975,1.975,2.138,1.899,-1,2,-1,-1,2.25,-1,2.123,-1,2,-1,-1,-1,-1,1.993,2.117,-1,-1,-1,-1,2.173,-1,2.099,2.04,-1,1.748,NA,1.914,-1,-1,-1,2.013,-1,1.951,-1,-1,-1,2.052,,2.074,,1.975,1.601,,-1,2.107,-1,-1,-1,,2.056,-1,1.951,-1,1.966,,-1,,1.913,-1,2.028,1.843
15,2.13,-1,-1,-1,2.05,2.222,2.043,2.154,2.214,2.074,-1,2.095,-1,2.025,2.025,2.38,1.94,-1,2.147,-1,-1,2.069,-1,2.123,-1,2.137,-1,-1,-1,-1,2.096,2.113,-1,-1,-1,-1,2.121,-1,2.1,2.135,-1,-1,2.106,2.057,-1,-1,-1,2.069,-1,-1,-1,-1,-1,2.099,,2.074,,1.922,2.06,,-1,2.191,-1,-1,-1,,2.263,-1,1.988,-1,2.148,,-1,,2.019,-1,1.98,1.832
17,na,-1,-1,-1,2.131,2.117,2.193,2.206,na,2.222,-1,2.095,-1,2.108,2.214,2.38,1.951,-1,2.199,-1,-1,2.324,-1,2.123,-1,2.161,-1,-1,-1,-1,2.132,-1,-1,-1,-1,-1,-1,-1,2.1,2.121,-1,-1,2.014,2.095,-1,-1,-1,2.099,-1,-1,-1,-1,-1,2.035,,2.091,,2.015,-1,,-1,2.201,-1,-1,-1,,2.222,-1,1.899,-1,1.947,,-1,,2.118,-1,2.188,1.878
19,2.05,-1,-1,-1,2.089,2.29,2.302,2.173,2.21,2.296,-1,2.245,-1,2.118,2.1,2.44,2.121,-1,2.246,-1,-1,2.431,-1,2.222,-1,2.209,-1,-1,-1,-1,2.213,-1,-1,-1,-1,-1,-1,-1,2.182,2.198,-1,-1,2.099,2.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.021,,2.013,,2.028,-1,,-1,2.349,-1,-1,-1,,2.301,-1,2.025,-1,2.137,,-1,,2.109,-1,2.109,1.908
21,2.096,-1,-1,-1,-1,2.247,2.431,2.198,2.279,2.437,-1,2.38,-1,2.128,2.277,2.406,2.099,-1,2.302,-1,-1,2.413,-1,2.243,-1,2.431,-1,-1,-1,-1,2.337,-1,-1,-1,-1,-1,-1,-1,2.17,-1,-1,-1,2.032,2.302,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.156,,2.167,,2.148,-1,,-1,-1,-1,-1,-1,,2.222,-1,1.988,-1,2.247,,-1,,2.152,-1,2.109,1.897
