Mom ID,i1955,i2043,i2043,i1954,i546,i1925,i1946,i1923,i1925,i547,i556,i1946,i566,i564,i1923,i1958,i547,i583,i1923,i1970,i1914,i1923,i2044,i2046,i2043,i2046,i2043,i583,i583,i1923,i2052,i1950,i1972,i1939,i1941,i1939,i556,i1956,i1923,i1956,i2046,i2045,i1945,i1954,i2055,i2047,i575,i1954,i1956,i1954,i570,i1956,i583,i1986,i1949,i2048,i1959,i1957,i1934,i1937,NA,i2049,i1930,i2050,i1916,i1969,i1940,i2051,i1943,i1995,i1952,i1954,i2002,i2053,i2054,i1933
Birthdate,38497,38513,38523,38575,38579,38497,38533,38579,38497,38523,38533,38539,38543,38555,38579,38505,38529,38535,38539,38579,38507,38545,38561,38511,38517,38535,38517,38529,38535,38545,38513,38519,38515,38529,38515,38529,38533,38539,38545,38551,38519,38579,38517,38545,38517,38517,38533,38545,38529,38545,38523,38529,38535,38589,38593,38601,38643,38675,38653,38627,38589,38619,38613,38629,38601,38661,38621,38661,38681,38685,38567,38579,38665,38685,38631,38589
ID,i644,i645,i646,i647,i648,i649,i650,i651,i652,i653,i654,i655,i656,i657,i658,i659,i660,i661,i662,i663,i664,i665,i666,i667,i668,i669,i670,i671,i672,i673,i674,i675,i676,i677,i678,i679,i680,i681,i682,i683,i684,i685,i686,i687,i688,i689,i690,i691,i692,i693,i694,i695,i696,i2107,i2108,i2109,i2110,i2111,i2112,i2113,i2114,i2115,i2116,i2117,i2118,i2119,i2120,i2121,i2122,i2123,i2124,i2125,i2126,i2127,i2128,i2129
Vial,C1,c1,c1,c1,c1,c2,c2 (c17),c2,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4 (part of c16),c4,c5,c5,c5,c6,c6,c6 (c18),c7,c7,c7,c7,c8,c8,c9,c9,c10,c10,c10,c10,c10,c10,c10 (c14),c10,c11,c11,c12,c13,c13,c13,c15,c15,c16,c16,c16,c1,c1,c1,c1,c1,c2,c3,c4,c4,c5,c5,c6,c6,c7,c7,c7,c7,c8,c8,c8,c8,c9,c10
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
1,0.75,na,0.846,0.855,0.79,0.675,0.776,0.815,0.7,0.866,0.931,0.84,0.864,0.826,0.84,0.825,0.839,0.765,0.815,0.84,0.825,0.84,0.849,0.732,0.759,0.815,0.768,0.716,0.84,0.84,na,0.724,0.751,0.77,0.772,0.772,0.879,0.84,0.889,0.84,0.802,0.84,0.764,0.84,0.803,0.84,0.828,0.765,0.816,0.815,0.834,0.816,0.765,0.896,0.861,0.829,0.864,0.819,0.867,0.864,0.861,0.812,0.864,0.814,0.855,0.827,0.789,0.809,0.761,0.806,0.815,0.864,0.856,0.849,NA,0.905
3,1.125,1.193,1.138,0.997,0.979,1,1.21,1.047,1.15,1.112,1.062,1.012,1.185,0.961,1.022,1.175,0.988,1.319,0.938,1.231,1.15,1.086,1.085,na,1.061,0.938,1.061,1.03,1.166,1.086,1.241,0.905,1.158,0.927,1.171,0.832,1.037,1.062,1.062,0.988,1.009,0.842,1.216,1.062,1.164,1.371,1.071,1.062,1.07,1.062,0.957,0.993,1.309,-1,1.073,1.026,0.98,1.185,1.064,1.144,1.124,1.066,-1,0.973,1.052,0.864,0.973,1.062,-1,,1.05,1.07,0.862,,1.086,1.085
5,1.3,1.54,1.261,-1,1.04,1.6,1.552,1.23,1.475,1.542,1.371,-1,1.333,1.202,1.541,1.5,1.138,1.605,1.185,1.25,1.636,-1,1.383,-1,1.345,1.062,1.086,1.267,-1,1.358,-1,1.234,1.759,1.297,1.733,-1,1.449,-1,-1,-1,1.474,1.008,1.578,1.259,1.397,1.681,1.707,-1,1.345,-1,-1,1.086,-1,-1,1.268,1.149,1.331,1.333,1.469,1.337,1.405,1.321,-1,1.21,1.296,1.229,1.143,1.251,-1,,1.176,1.288,-1,,1.221,1.152
7,1.4,1.811,1.505,-1,-1,1.65,1.778,1.679,1.65,-1,-1,-1,1.506,1.427,1.753,1.746,-1,1.877,1.457,-1,na,-1,1.704,-1,1.348,1.432,-1,-1,-1,1.556,-1,1.5,2.018,1.852,1.992,-1,-1,-1,-1,-1,1.733,1.037,1.871,1.704,1.663,1.826,-1,-1,1.481,-1,-1,-1,-1,-1,-1,1.302,1.557,1.48,1.562,1.58,1.615,1.544,-1,1.31,1.496,1.431,1.284,-1,-1,,1.201,1.753,-1,,1.39,1.136
9,1.9,-1,1.714,-1,-1,1.875,1.926,1.704,1.825,-1,-1,-1,1.827,1.681,1.852,na,-1,1.877,1.556,-1,1.977,-1,1.749,-1,1.733,1.827,-1,-1,-1,1.802,-1,1.615,-1,1.837,2.07,-1,-1,-1,-1,-1,1.83,-1,2.043,1.877,1.785,1.862,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.693,1.553,1.58,1.838,1.798,1.852,1.778,-1,1.494,1.702,1.627,1.496,-1,-1,,-1,1.753,-1,,1.526,1.137
11,2.025,-1,1.837,-1,-1,2.1,1.926,1.839,2.05,-1,-1,-1,1.827,1.753,1.989,2.047,-1,1.901,1.679,-1,2.087,-1,1.761,-1,1.871,1.827,-1,-1,-1,2.047,-1,1.777,-1,1.926,2.147,-1,-1,-1,-1,-1,1.895,-1,1.965,1.92,1.833,1.975,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.679,1.63,1.802,1.901,1.671,2,1.803,-1,1.528,1.78,1.728,1.277,-1,-1,,-1,1.981,-1,,1.827,-1
