Mom ID,i1960,i2043,i2056,i2046,i1946,i1925,i1950,i2056,i2057,i1958,i1919,i2046,i2056,i575,i1971,i2059,i2046,i2060,i1964,i2056,i575,i1923,i1968,i2060,i1923,i2057,i2062,i2046,i1554,i2052,i2060,i1956,i1923,i2062,i1923,i566,i1935,i2063,i1922,i1945,i2063,i2055,i1954,i2047,i2063,i1927,i2064,i1922,i2064,i570,i1946,i654,i1923,i1963,i543,i1959,i1944,i1978,i1916,i1930,i2049,i1995,i1943,i1966,i1933,NA,i2058,i1959,i1959,i1977,i1977,i1933,i1982,i2051,i1916,i573,i2051,i2061,i1944,i1977,i1940,i1989,i2001,i2053,i1929
Birthdate,38497,38513,38529,38535,38551,38497,38519,38547,38547,38501,38505,38511,38547,38533,38581,38503,38511,38531,38505,38529,38533,38539,38505,38531,38539,38547,38509,38535,38581,38513,38531,38551,38561,38515,38539,38543,38517,38531,38535,38517,38531,38517,38535,38517,38531,38519,38531,38519,38531,38523,38533,38551,38533,38547,38583,38629,38633,42293,38601,38613,38619,38663,38671,38675,38593,38597,38613,38643,38649,38673,38679,38583,38645,38661,38601,38631,38661,38583,38663,38685,38597,38635,38665,38685,38589
ID,i697,i698,i699,i700,i701,i702,i703,i704,i705,i706,i707,i708,i709,i710,i711,i712,i713,i714,i715,i716,i717,i718,i719,i720,i721,i722,i723,i724,i725,i726,i727,i728,i729,i730,i731,i732,i733,i734,i735,i736,i737,i738,i739,i740,i741,i742,i743,i744,i745,i746,i747,i748,i749,i750,i2130,i2131,i2132,i2133,i2134,i2135,i2136,i2137,i2138,i2139,i2140,i2141,i2142,i2143,i2144,i2145,i2146,i2147,i2148,i2149,i2150,i2151,i2152,i2153,i2154,i2155,i2156,i2157,i2158,i2159,i2160
Vial,d1,d1,d1,d1,d1 (part of d15),d2,d2,d2,d2 (part of d13),d3,d3,d3,d3,d3 (part od d16),d3,d4,d4,d4,d5,d5,d5,d5,d6,d6,d6,d6,d7,d7,d7,d8,d8,d8,d8,d9,d9,d9,d10,d10,d10,d11,d11,d12,d12,d13,d13,d14,d14,d15,d15,d16,d17,d17,d18,d18,d1,d1,d1,d1,d2,d2,d2,d2,d2,d2,d3,d3,d3,d3,d3,d3,d3,d4,d4,d4,d5,d5,d5,d6,d6,d6,d7,d7,d7,d8,d9
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1,0.75,na,0.733,0.79,0.815,0.725,0.724,0.79,0.815,0.85,0.825,0.715,0.79,0.828,0.786,0.875,0.735,0.829,0.8,0.667,0.776,0.79,1,0.796,0.815,0.84,0.85,0.79,0.703,na,0.797,0.864,0.889,0.819,0.815,0.84,0.786,0.718,0.84,0.777,0.758,0.798,0.84,0.826,0.793,0.698,0.745,0.724,0.769,0.689,0.828,0.84,0.828,0.741,0.8,0.842,0.84,0.815,0.856,0.84,0.835,0.864,0.84,1.06,0.802,0.839,0.864,0.815,0.792,0.815,0.809,0.836,0.859,0.806,0.866,0.791,0.826,0.847,0.826,0.896,0.814,0.762,0.828,0.845,0.864
3,1.225,0.933,0.837,0.931,1.037,1.05,0.828,0.988,1.037,1.025,1.15,na,0.988,1.21,0.999,0.875,na,1.061,1.275,0.861,0.963,1.062,1.2,1.061,0.988,0.988,1.395,0.905,0.889,1.243,1.061,1.062,1.071,1.337,1.111,1.062,1.216,0.879,1.371,1.216,0.931,1.138,1.345,1.293,0.938,0.854,0.983,0.905,0.931,0.957,1.012,1.086,1.037,0.963,0.963,1.003,1.107,1.037,1.026,-1,1.086,1.109,0.963,1.284,0.93,1.14,1.045,0.997,0.907,1.307,0.938,1.086,0.811,0.988,1.037,0.988,1.037,1.062,1.034,,1.056,0.842,1.115,,1.048
5,1.5,1.322,-1,1.136,1.503,1.25,0.954,1.086,1.704,-1,-1,1.348,1.309,1.474,1.333,1.2,1.202,1.654,1.35,-1,1.009,1.506,1.5,1.407,1.309,1.481,na,0.988,1.136,1.765,1.506,1.21,1.356,1.785,-1,1.309,1.526,-1,1.63,1.552,1.319,1.216,1.556,1.578,-1,1.276,1.21,-1,0.988,1.074,1.578,1.704,-1,1.457,1.259,-1,1.2,1.325,-1,-1,1.308,1.366,-1,1.367,-1,1.322,1.105,1.003,0.996,1.235,1.284,1.457,0.857,1.368,1.252,-1,1.344,1.333,1.145,,-1,-1,1.305,,1.556
7,1.7,1.526,-1,1.63,1.63,1.65,1.345,1.111,1.852,-1,-1,1.594,1.556,1.655,1.506,-1,1.643,1.862,1.608,-1,-1,1.654,1.645,1.371,-1,1.704,1.818,1.432,1.235,1.888,1.759,1.157,1.605,1.707,-1,1.556,1.525,-1,1.802,1.847,1.474,1.323,1.63,-1,-1,-1,1.5,-1,1.319,-1,1.802,-1,-1,1.728,1.595,-1,-1,1.425,-1,-1,1.543,-1,-1,1.607,-1,1.29,1.232,-1,1.14,-1,1.463,1.741,-1,1.459,1.611,-1,1.472,1.515,1.462,,-1,-1,1.481,,1.771
9,1.9,1.914,-1,1.63,1.696,1.8,1.6,1.415,1.769,-1,-1,1.681,1.701,1.753,1.765,-1,1.759,1.926,na,-1,-1,1.827,na,-1,-1,1.863,2.052,1.605,1.431,1.94,1.679,-1,1.761,1.834,-1,1.728,-1,-1,1.802,-1,1.63,-1,1.753,-1,-1,-1,1.679,-1,1.506,-1,1.901,-1,-1,1.884,1.807,-1,-1,1.594,-1,-1,1.728,-1,-1,1.852,-1,,1.457,-1,1.22,-1,,1.7,-1,1.761,1.769,-1,1.665,1.671,1.605,,-1,-1,1.605,,1.639
11,2.025,1.946,-1,1.753,1.733,1.975,1.776,1.573,2.008,-1,-1,1.681,1.839,1.926,1.671,-1,-1,1.975,1.777,-1,-1,1.827,1.94,-1,-1,1.852,2.173,1.728,1.562,1.956,1.753,-1,1.759,2.043,-1,1.728,-1,-1,1.951,-1,1.556,-1,1.901,-1,-1,-1,1.679,-1,1.605,-1,1.827,-1,-1,1.898,1.827,-1,-1,1.538,-1,-1,1.88,-1,-1,1.838,-1,,1.537,-1,1.21,-1,,1.951,-1,1.827,1.782,-1,1.852,1.728,1.704,,-1,-1,1.648,,1.925
13,2.125,1.966,-1,1.926,1.722,1.975,1.846,1.804,2.051,-1,-1,1.808,1.962,2,-1,-1,-1,2.074,2.001,-1,-1,1.728,2.068,-1,-1,1.943,2.173,1.926,1.704,2.147,1.778,-1,1.759,2.014,-1,1.787,-1,-1,2.074,-1,1.63,-1,1.901,-1,-1,-1,1.753,-1,1.802,-1,1.901,-1,-1,2.018,1.892,-1,-1,1.572,-1,-1,1.812,-1,-1,,-1,,1.657,-1,1.282,-1,,1.993,-1,1.827,1.95,-1,1.951,1.787,1.644,,-1,-1,1.877,,1.917
15,-1,1.975,-1,1.926,1.884,1.961,1.862,1.756,2.129,-1,-1,1.94,2.001,2.049,-1,-1,-1,2.074,2.069,-1,-1,1.901,2.095,-1,-1,2.09,2.178,1.975,-1,-1,1.877,-1,1.909,2.09,-1,1.912,-1,-1,1.975,-1,1.778,-1,2.049,-1,-1,-1,1.877,-1,1.901,-1,1.926,-1,-1,-1,1.927,-1,-1,1.747,-1,-1,1.951,-1,-1,,-1,,1.852,-1,1.407,-1,,1.918,-1,2.007,1.901,-1,1.93,1.79,1.852,,-1,-1,1.858,,1.935
17,-1,-1,-1,1.926,1.951,na,1.926,1.818,2.147,-1,-1,1.951,1.964,2.123,-1,-1,-1,2.123,-1,-1,-1,1.884,2.098,-1,-1,2.059,2.225,1.951,-1,-1,1.951,-1,2.036,2.132,-1,2.001,-1,-1,2.049,-1,1.827,-1,2.198,-1,-1,-1,1.975,-1,1.901,-1,-1,-1,-1,-1,2.098,-1,-1,1.711,-1,-1,1.998,-1,-1,,-1,,1.856,-1,1.442,-1,,2.082,-1,2.074,2.122,-1,2.049,1.968,1.914,,-1,-1,1.925,,2.084
19,-1,-1,-1,2.025,2.072,1.911,1.992,1.919,2.209,-1,-1,1.98,1.998,2.099,-1,-1,-1,2.148,-1,-1,-1,2.077,2.138,-1,-1,2.198,2.21,2,-1,-1,2.074,-1,2.074,2.095,-1,2.122,-1,-1,2.148,-1,1.926,-1,2.123,-1,-1,-1,1.975,-1,1.951,-1,-1,-1,-1,-1,2.1,-1,-1,1.824,-1,-1,1.938,-1,-1,,-1,,1.844,-1,1.406,-1,,2.084,-1,2.143,2.1,-1,2.007,1.972,1.955,,-1,-1,1.949,,2.073
21,-1,-1,-1,2.009,2.044,-1,1.951,-1,2.222,-1,-1,2.05,2.074,2.099,-1,-1,-1,2.099,-1,-1,-1,2.185,2.25,-1,-1,2.346,2.254,2.082,-1,-1,-1,-1,2.028,2.099,-1,2.049,-1,-1,2.108,-1,1.793,-1,2.224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.128,-1,-1,1.83,-1,-1,1.942,-1,-1,,-1,,2.025,-1,-1,-1,,2.139,-1,2.16,2.099,-1,2.024,1.949,-1,,-1,-1,1.967,,2.174
23,-1,-1,-1,2.004,2.043,-1,2,-1,2.178,-1,-1,2.095,-1,2.208,-1,-1,-1,2.222,-1,-1,-1,2.155,2.155,-1,-1,2.252,2.214,2.155,-1,-1,-1,-1,2.183,-1,-1,2.102,-1,-1,2.169,-1,1.975,-1,2.247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.122,-1,-1,1.975,-1,-1,2.074,-1,-1,,-1,,2.021,-1,-1,-1,,2.175,-1,2.198,-1,-1,2.222,2.168,-1,,-1,-1,,,2.029
25,-1,-1,-1,2.09,2.01,-1,2,-1,2.234,-1,-1,2.099,-1,2.19,-1,-1,-1,2.201,-1,-1,-1,2.257,-1,-1,-1,2.251,2.276,2.146,-1,-1,-1,-1,2.099,-1,-1,2.148,-1,-1,2.167,-1,2.029,-1,2.217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.227,-1,-1,2.019,-1,-1,2.099,-1,-1,,-1,,1.982,-1,-1,-1,,2.259,-1,2.107,-1,-1,2.062,2.16,-1,,-1,-1,,,2.184
27,-1,-1,-1,-1,2.071,-1,2.123,-1,2.224,-1,-1,2.121,-1,2.319,-1,-1,-1,2.328,-1,-1,-1,2.269,-1,-1,-1,2.189,-1,2.179,-1,-1,-1,-1,2.198,-1,-1,2.138,-1,-1,2.309,-1,2.049,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.279,-1,-1,1.901,-1,-1,2.035,-1,-1,,-1,,1.853,-1,-1,-1,,2.273,-1,,-1,-1,,2.227,-1,,-1,-1,,,2.252
29,-1,-1,-1,-1,2.222,-1,-1,-1,2.215,-1,-1,2.099,-1,2.28,-1,-1,-1,2.35,-1,-1,-1,2.296,-1,-1,-1,na,-1,2.143,-1,-1,-1,-1,2.24,-1,-1,2.144,-1,-1,2.354,-1,2.057,-1,2.302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.341,-1,-1,1.938,-1,-1,2.061,-1,-1,,-1,,-1,-1,-1,-1,,2.282,-1,,-1,-1,,2.088,-1,,-1,-1,,,2.244
31,-1,-1,-1,-1,-1,-1,-1,-1,2.28,-1,-1,2.123,-1,2.304,-1,-1,-1,2.369,-1,-1,-1,2.306,-1,-1,-1,-1,-1,2.106,-1,-1,-1,-1,2.214,-1,-1,2.142,-1,-1,2.346,-1,2.199,-1,2.209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.249,-1,-1,2.025,-1,-1,2.075,-1,-1,,-1,,-1,-1,-1,-1,,2.255,-1,,-1,-1,,2.266,-1,,-1,-1,,,2.249
33,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,2.123,-1,2.334,-1,-1,-1,2.34,-1,-1,-1,2.316,-1,-1,-1,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.361,-1,2.113,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.334,-1,-1,2.074,-1,-1,1.993,-1,-1,,-1,,-1,-1,-1,-1,,2.289,-1,,-1,-1,,2.163,-1,,-1,-1,,,2.321
35,-1,-1,-1,-1,-1,-1,-1,-1,2.381,-1,-1,-1,-1,2.37,-1,-1,-1,2.4,-1,-1,-1,2.317,-1,-1,-1,-1,-1,2.159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.386,-1,2.109,-1,2.273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.154,-1,-1,2.095,-1,-1,2.101,-1,-1,,-1,,-1,-1,-1,-1,,2.286,-1,,-1,-1,,2.215,-1,,-1,-1,,,-1
37,-1,-1,-1,-1,-1,-1,-1,-1,2.4,-1,-1,-1,-1,2.476,-1,-1,-1,2.444,-1,-1,-1,2.376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.331,-1,2.206,-1,2.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.358,-1,-1,2.099,-1,-1,2.072,-1,-1,,-1,,-1,-1,-1,-1,,2.366,-1,,-1,-1,,2.285,-1,,-1,-1,,,-1
39,-1,-1,-1,-1,-1,-1,-1,-1,2.494,-1,-1,-1,-1,-1,-1,-1,-1,2.403,-1,-1,-1,2.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.397,-1,2.224,-1,2.109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,1.979,-1,-1,2.144,-1,-1,,-1,,-1,-1,-1,-1,,2.346,-1,,-1,-1,,2.272,-1,,-1,-1,,,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,2.444,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.425,-1,2.206,-1,2.302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.372,-1,-1,2.063,-1,-1,1.992,-1,-1,,-1,,-1,-1,-1,-1,,2.322,-1,,-1,-1,,2.228,-1,,-1,-1,,,-1
43,-1,-1,-1,-1,-1,-1,-1,-1,2.489,-1,-1,-1,-1,-1,-1,-1,-1,2.424,-1,-1,-1,2.389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.272,-1,2.213,-1,2.294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.099,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,2.386,-1,,-1,-1,,2.256,-1,,-1,-1,,,-1
45,-1,-1,-1,-1,-1,-1,-1,-1,2.44,-1,-1,-1,-1,-1,-1,-1,-1,2.532,-1,-1,-1,2.441,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.389,-1,2.185,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.905,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,2.444,-1,,-1,-1,,2.321,-1,,-1,-1,,,-1
47,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.508,-1,2.198,-1,2.404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,2.234,-1,,-1,-1,,2.229,-1,,-1,-1,,,-1
49,-1,-1,-1,-1,-1,-1,-1,-1,2.344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,2.248,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,2.298,-1,,-1,-1,,2.282,-1,,-1,-1,,,-1
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.463,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,2.215,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,2.444,-1,,-1,-1,,2.346,-1,,-1,-1,,,-1
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.497,-1,2.222,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,2.293,-1,,-1,-1,,2.234,-1,,-1,-1,,,-1
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.47,-1,-1,-1,2.294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,2.246,-1,,-1,-1,,2.321,-1,,-1,-1,,,-1
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,2.328,-1,,-1,-1,,2.161,-1,,-1,-1,,,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,2.467,-1,,-1,-1,,2.321,-1,,-1,-1,,,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,2.346,-1,,-1,-1,,,-1
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,2.168,-1,,-1,-1,,,-1
