Mom ID,i1960,i1950,i544,i1970,i1925,i566,i547,i560,i1962,i2046,i533,i564,i2059,i2065,i2045,i2062,i1950,i1971,i554,i2062,i1950,i544,i1950,i544,i1923,i2065,i547,i560,i564,i2062,i2057,i1935,i580,i1954,i553,i2046,i580,i1948,i547,i2046,i1922,i547,i2046,i570,i564,,i2045,i573,i1916,i1969,i1933,i573,i1944,i1943,i1940,i1989,i1943,i1943,i1977,i2013,i2051,i1937,i2054,i2066,i1977,i1933,i1995,i1983,i1916,i2048,i2067,i1967,i1943,i1961,i2051,i1949
Birthdate,38497,38517,38531,38581,38497,38543,38547,38551,38497,38511,38521,38549,38503,38543,38581,38507,38519,38543,38581,38507,38517,38531,38513,38531,38561,38515,38547,38551,38549,38515,38547,38517,38531,38561,38521,38531,38547,38517,38523,38531,38519,38547,38531,38523,38549,,38597,38605,38611,38661,38593,38599,38633,38671,38597,38635,38639,38661,38673,38643,38661,38627,38631,38675,38679,38583,38663,38667,38589,38605,38619,38629,38681,38621,38683,38583
ID,i751,i752,i753,i754,i755,i756,i757,i758,i759,i760,i761,i762,i763,i764,i765,i766,i767,i768,i769,i770,i771,i772,i773,i774,i775,i776,i777,i778,i779,i780,i781,i782,i783,i784,i785,i786,i787,i788,i789,i790,i791,i792,i793,i794,i795,i796,i2161,i2162,i2163,i2164,i2165,i2166,i2167,i2168,i2169,i2170,i2171,i2172,i2173,i2174,i2175,i2176,i2177,i2178,i2179,i2180,i2181,i2182,i2183,i2184,i2185,i2186,i2187,i2188,i2189,i2190
Vial,e1,e1,e1,e1,e2,e2,e2,e2 (part of e14),e3,e3,e3,e3 (part of e16),e4,e4,e4,e5,e5,e5,e5,e6,e6,e6,e7,e7,e7,e8,e8,e8,e8 (part of e17),e9,e9,e10,e10,e10,e11,e11,e11,e12,e13,e13,e14,e14,e15,e16,e12 (part of e18),e18,e1,e1,e1,e1,e2,e2,e2,e2,e3,e3,e3,e3,e3,e4,e4,e5,e5,e5,e5,e6,e6,e6,e7,e7,e7,e7,e7,e8,e8,e11
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,,0,,,0,0,,
7,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,,,,,,0,,
9,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,0,,,0,0,,0,0,0,0,,,,0,0,0,,0,,,0,,0,,,,,,0,,
11,0,,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,,0,0,,0,0,0,0,,,,0,0,0,,0,,,0,,0,,,,,,0,,
13,0,,0,0,0,,0,0,,,0,0,0,1,0,,0,0,0,,,0,0,0,0,0,,,0,0,0,,1,0,,0,0,0,,0,,,0,,0,0,,,0,0,,0,0,0,0,,,,0,0,0,,0,,,0,,0,,,,,,0,,
15,,,0,,0,,0,0,,,0,0,0,1,0,,0,0,0,,,0,,0,0,0,,,0,0,0,,1,0,,,0,0,,0,,,0,,0,,,,0,0,,0,0,0,0,,,,,0,0,,0,,,0,,0,,,,,,,,
17,,,0,,1,,,0,,,0,0,0,1,0,,0,0,0,,,0,,0,0,0,,,0,0,0,,2,0,,,0,0,,0,,,0,,0,,,,0,0,,0,0,,0,,,,,0,0,,0,,,0,,0,,,,,,,,
19,,,0,,1,,,0,,,0,0,0,2,0,,0,0,0,,,0,,0,0,0,,,0,0,0,,2,0,,,0,0,,0,,,0,,0,,,,0,0,,0,0,,0,,,,,,0,,0,,,0,,0,,,,,,,,
21,,,0,,1,,,0,,,0,0,2,2,0,,,0,0,,,0,,0,0,0,,,0,0,0,,2,0,,,0,1,,0,,,0,,0,,,,0,0,,0,0,,0,,,,,,0,,0,,,0,,,,,,,,,,
23,,,0,,1,,,0,,,0,0,2,2,0,,,0,0,,,0,,0,0,0,,,0,0,0,,2,0,,,0,1,,0,,,0,,0,,,,0,0,,0,0,,0,,,,,,0,,0,,,0,,,,,,,,,,
25,,,0,,1,,,0,,,0,0,2,2,0,,,1,0,,,0,,,0,0,,,0,0,0,,3,0,,,0,1,,,,,0,,0,,,,0,0,,0,0,,0,,,,,,0,,0,,,0,,,,,,,,,,
27,,,0,,1,,,0,,,0,0,2,3,0,,,1,0,,,0,,,,,,,0,0,0,,3,0,,,0,1,,,,,0,,0,,,,0,,,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,
29,,,0,,1,,,0,,,0,0,2,3,1,,,1,0,,,0,,,,,,,0,,0,,3,0,,,0,1,,,,,0,,,,,,0,,,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,
31,,,0,,1,,,0,,,0,0,2,3,1,,,1,0,,,0,,,,,,,0,,0,,,0,,,0,2,,,,,,,,,,,0,,,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,
33,,,0,,1,,,0,,,0,0,,3,1,,,1,0,,,0,,,,,,,0,,0,,,0,,,0,4,,,,,,,,,,,0,,,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,
35,,,0,,1,,,0,,,0,0,,3,1,,,1,0,,,0,,,,,,,0,,0,,,0,,,,4,,,,,,,,,,,0,,,,0,,0,,,,,,,,0,,,0,,,,,,,,,,
37,,,0,,1,,,0,,,0,0,,,1,,,,0,,,0,,,,,,,0,,0,,,0,,,,4,,,,,,,,,,,0,,,,0,,,,,,,,,,0,,,0,,,,,,,,,,
39,,,0,,,,,0,,,0,0,,,1,,,,0,,,0,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
41,,,,,,,,,,,,0,,,1,,,,0,,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
43,,,,,,,,,,,,0,,,1,,,,0,,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,
45,,,,,,,,,,,,0,,,1,,,,0,,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,
47,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
