Mom ID,i1960,i1950,i544,i1970,i1925,i566,i547,i560,i1962,i2046,i533,i564,i2059,i2065,i2045,i2062,i1950,i1971,i554,i2062,i1950,i544,i1950,i544,i1923,i2065,i547,i560,i564,i2062,i2057,i1935,i580,i1954,i553,i2046,i580,i1948,i547,i2046,i1922,i547,i2046,i570,i564,,i2045,i573,i1916,i1969,i1933,i573,i1944,i1943,i1940,i1989,i1943,i1943,i1977,i2013,i2051,i1937,i2054,i2066,i1977,i1933,i1995,i1983,i1916,i2048,i2067,i1967,i1943,i1961,i2051,i1949
Birthdate,38497,38517,38531,38581,38497,38543,38547,38551,38497,38511,38521,38549,38503,38543,38581,38507,38519,38543,38581,38507,38517,38531,38513,38531,38561,38515,38547,38551,38549,38515,38547,38517,38531,38561,38521,38531,38547,38517,38523,38531,38519,38547,38531,38523,38549,,38597,38605,38611,38661,38593,38599,38633,38671,38597,38635,38639,38661,38673,38643,38661,38627,38631,38675,38679,38583,38663,38667,38589,38605,38619,38629,38681,38621,38683,38583
ID,i751,i752,i753,i754,i755,i756,i757,i758,i759,i760,i761,i762,i763,i764,i765,i766,i767,i768,i769,i770,i771,i772,i773,i774,i775,i776,i777,i778,i779,i780,i781,i782,i783,i784,i785,i786,i787,i788,i789,i790,i791,i792,i793,i794,i795,i796,i2161,i2162,i2163,i2164,i2165,i2166,i2167,i2168,i2169,i2170,i2171,i2172,i2173,i2174,i2175,i2176,i2177,i2178,i2179,i2180,i2181,i2182,i2183,i2184,i2185,i2186,i2187,i2188,i2189,i2190
Vial,e1,e1,e1,e1,e2,e2,e2,e2 (part of e14),e3,e3,e3,e3 (part of e16),e4,e4,e4,e5,e5,e5,e5,e6,e6,e6,e7,e7,e7,e8,e8,e8,e8 (part of e17),e9,e9,e10,e10,e10,e11,e11,e11,e12,e13,e13,e14,e14,e15,e16,e12 (part of e18),e18,e1,e1,e1,e1,e2,e2,e2,e2,e3,e3,e3,e3,e3,e4,e4,e5,e5,e5,e5,e6,e6,e6,e7,e7,e7,e7,e7,e8,e8,e11
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
1,0.75,0.75,0.849,0.847,0.725,0.741,0.79,0.864,0.975,0.734,0.828,0.815,0.825,0.815,0.82,0.825,0.776,0.815,0.735,0.8,0.765,0.833,na,0.829,0.866,0.843,0.765,0.864,0.815,0.817,0.84,0.744,0.817,0.853,0.828,0.823,0.741,0.82,0.868,0.87,0.698,0.765,0.823,0.746,0.815,0.879,0.855,0.869,0.904,0.834,0.823,0.853,0.84,0.84,0.803,0.758,0.814,0.842,0.815,0.864,0.852,0.864,0.868,1.039,0.799,0.862,0.864,0.811,0.849,0.805,0.822,0.795,0.765,0.823,0.765,0.764
3,1.025,0.983,1.061,0.963,1.2,1.111,1.037,1.062,1.2,na,1.104,1.111,1.3,1.185,0.933,1.05,0.879,1.111,0.856,1.225,1.112,1.086,1.26,1.061,1.123,1.267,1.012,1.136,1.062,1.187,1.086,1.19,1.061,1.061,1.286,1.035,0.938,1.371,1.293,1.086,1.009,1.012,0.957,1.164,1.062,1.037,1.062,0.875,1.139,0.889,0.943,1.104,NA,0.963,1.065,0.894,1.086,0.963,0.955,0.969,0.988,0.887,1.012,1.21,0.976,0.988,1.041,0.871,0.885,1.14,1.086,0.883,1.185,1.002,0.647,0.938
5,1.475,1.138,1.383,1.136,1.475,-1,1.383,1.195,1.7,1.385,1.267,1.284,1.55,1.506,1.136,1.12,1.229,1.358,0.938,1.499,1.19,1.259,1.733,1.21,1.432,1.604,-1,1.348,1.407,1.578,1.383,1.423,1.432,1.251,-1,0.988,1.358,1.63,1.551,1.086,1.19,-1,1.086,1.374,1.21,1.423,1.229,-1,1.391,1.076,1.015,1.103,1.112,1.351,1.237,-1,1.012,1.246,1.333,1.178,1.27,-1,NA,-1,1.383,1.062,-1,1.333,-1,1.113,-1,-1,1.37,1.267,,-1
7,1.525,-1,1.397,1.506,1.65,-1,1.605,1.342,1.875,-1,1.373,1.449,1.775,1.802,1.259,na,1.474,1.679,0.914,-1,-1,1.474,1.914,1.371,1.531,1.655,-1,1.523,1.737,1.681,1.481,1.646,1.578,1.481,-1,1.552,1.605,1.849,1.829,1.397,1.604,-1,1.449,1.55,1.396,1.457,1.451,-1,1.556,1.35,-1,1.21,1.189,1.531,1.424,-1,-1,1.315,1.411,1.374,1.52,-1,1.143,-1,1.592,1.399,-1,1.531,-1,-1,-1,-1,,1.358,,-1
9,1.75,-1,1.531,1.617,1.875,-1,1.724,1.466,2,-1,1.525,1.626,1.937,1.951,1.537,1.263,1.576,1.778,1.11,-1,-1,1.58,1.914,1.556,1.618,1.717,-1,1.654,1.726,1.785,1.525,1.785,1.837,1.508,-1,1.679,1.612,1.992,-1,1.58,1.797,-1,1.506,1.712,1.534,1.531,-1,-1,1.656,1.556,-1,1.403,1.407,1.599,1.597,-1,-1,-1,1.474,1.552,1.688,-1,1.281,-1,,1.495,-1,1.592,-1,-1,-1,-1,,1.391,,-1
11,1.925,-1,1.679,1.685,1.95,-1,1.733,1.516,-1,-1,1.649,1.781,na,1.926,1.576,-1,1.628,1.901,1.276,-1,-1,1.63,1.904,1.654,1.736,1.888,-1,1.805,1.779,1.733,1.598,-1,1.753,1.539,-1,1.679,1.783,1.924,-1,1.679,1.794,-1,1.556,1.707,1.631,1.531,-1,-1,1.728,1.58,-1,1.564,1.58,1.604,1.785,-1,-1,-1,1.753,1.612,1.852,-1,1.531,-1,,1.569,-1,1.778,-1,-1,-1,-1,,1.381,,-1
13,2.025,-1,1.728,1.704,1.95,-1,1.847,1.622,-1,-1,1.655,1.908,2.006,2.001,1.506,-1,1.656,1.969,1.457,-1,-1,1.827,1.992,1.654,1.894,1.923,-1,-1,1.953,1.837,1.779,-1,1.802,1.555,-1,1.778,1.828,1.987,-1,1.802,-1,-1,1.63,-1,1.688,1.58,-1,-1,1.707,1.679,-1,1.341,1.65,1.852,1.897,-1,-1,-1,1.649,1.752,1.852,-1,1.481,-1,,1.675,-1,1.776,-1,-1,-1,-1,,1.481,,-1
15,2.093,-1,1.802,-1,2.092,-1,1.841,1.678,-1,-1,1.704,1.871,2.054,2.119,1.698,-1,1.681,1.971,1.668,-1,-1,1.753,-1,1.753,1.889,1.933,-1,-1,1.898,1.908,1.851,-1,1.951,1.653,-1,-1,1.906,2.055,-1,1.901,-1,-1,1.704,-1,1.732,-1,-1,-1,1.817,1.67,-1,1.588,1.629,1.95,1.844,-1,-1,-1,,1.886,1.803,-1,1.384,-1,,1.81,-1,1.736,-1,-1,-1,-1,,-1,,-1
17,-1,-1,1.802,-1,na,-1,-1,1.827,-1,-1,1.733,1.961,2.069,2.081,1.772,-1,1.728,2.049,1.58,-1,-1,1.827,-1,1.827,1.947,1.955,-1,-1,1.975,1.983,1.753,-1,2.099,1.611,-1,-1,1.919,2.043,-1,1.926,-1,-1,1.827,-1,1.822,-1,-1,-1,1.827,1.951,-1,1.679,1.753,-1,1.993,-1,-1,-1,,1.896,1.975,-1,1.44,-1,,1.775,-1,1.926,-1,-1,-1,-1,,-1,,-1
19,-1,-1,1.852,-1,2.123,-1,-1,1.843,-1,-1,1.753,2.074,2.173,2.152,1.893,-1,1.733,2.073,1.686,-1,-1,1.852,-1,1.951,2.099,1.992,-1,-1,2.074,1.966,1.803,-1,2.099,1.679,-1,-1,2.047,2.148,-1,1.975,-1,-1,1.975,-1,1.827,-1,-1,-1,1.805,1.891,-1,1.608,1.826,-1,1.946,-1,-1,-1,,-1,1.921,-1,1.529,-1,,1.753,-1,1.784,-1,-1,-1,-1,,-1,,-1
21,-1,-1,1.926,-1,2.151,-1,-1,1.766,-1,-1,1.728,2.07,2.253,2.123,1.891,-1,-1,2.126,1.748,-1,-1,1.852,-1,1.975,2.015,1.975,-1,-1,2.046,2.025,1.951,-1,2.099,1.681,-1,-1,2.025,2.121,-1,2.049,-1,-1,1.975,-1,1.836,-1,-1,-1,1.969,1.838,-1,1.717,1.755,-1,2.073,-1,-1,-1,,-1,1.901,-1,1.419,-1,,1.928,-1,,-1,-1,-1,-1,,-1,,-1
23,-1,-1,1.926,-1,2.225,-1,-1,1.835,-1,-1,1.877,1.956,2.302,2.175,1.827,-1,-1,2.084,1.622,-1,-1,1.877,-1,1.975,2.126,2.018,-1,-1,2.057,2.018,1.98,-1,2.099,1.719,-1,-1,2.14,2.148,-1,2.049,-1,-1,2.025,-1,1.769,-1,-1,-1,2,1.975,-1,1.778,1.893,-1,2.039,-1,-1,-1,,-1,2.074,-1,1.46,-1,,1.954,-1,,-1,-1,-1,-1,,-1,,-1
25,-1,-1,1.949,-1,2.225,-1,-1,1.903,-1,-1,2.049,2.143,2.205,2.148,2.052,-1,-1,2.173,1.7,-1,-1,1.97,-1,-1,2.123,2.025,-1,-1,2.076,2.025,1.976,-1,2.126,1.704,-1,-1,2.067,2.222,-1,-1,-1,-1,2.041,-1,1.764,-1,-1,-1,NA,1.871,-1,1.63,1.856,-1,2.025,-1,-1,-1,,-1,1.893,-1,1.579,-1,,1.886,-1,,-1,-1,-1,-1,,-1,,-1
27,-1,-1,1.929,-1,2.116,-1,-1,1.953,-1,-1,2.074,2.2,2.242,2.233,NA,-1,-1,2.181,1.729,-1,-1,1.896,-1,-1,-1,-1,-1,-1,2.108,2.049,1.953,-1,2.107,1.704,-1,-1,2.16,2.222,-1,-1,-1,-1,1.973,-1,1.779,-1,-1,-1,1.909,,-1,1.754,1.845,-1,1.915,-1,-1,-1,,-1,,-1,1.641,-1,,1.881,-1,,-1,-1,-1,-1,,-1,,-1
29,-1,-1,1.932,-1,2.276,-1,-1,1.951,-1,-1,2.099,2.247,2.169,2.272,2.089,-1,-1,2.223,1.768,-1,-1,2.029,-1,-1,-1,-1,-1,-1,2.165,-1,1.955,-1,2.208,1.731,-1,-1,2.129,2.321,-1,-1,-1,-1,2.027,-1,-1,-1,-1,-1,2.204,,-1,1.852,1.99,-1,2.135,-1,-1,-1,,-1,,-1,1.745,-1,,2.05,-1,,-1,-1,-1,-1,,-1,,-1
31,-1,-1,1.875,-1,2.212,-1,-1,1.983,-1,-1,2.173,2.208,2.276,2.25,2.051,-1,-1,2.181,1.71,-1,-1,2.088,-1,-1,-1,-1,-1,-1,2.123,-1,2.054,-1,-1,1.702,-1,-1,2.178,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.025,,-1,1.721,2,-1,2.222,-1,-1,-1,,-1,,-1,1.844,-1,,1.995,-1,,-1,-1,-1,-1,,-1,,-1
33,-1,-1,1.913,-1,2.215,-1,-1,1.975,-1,-1,2.124,2.298,-1,2.277,2.071,-1,-1,2.277,1.783,-1,-1,2.043,-1,-1,-1,-1,-1,-1,2.06,-1,2.173,-1,-1,1.704,-1,-1,2.173,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.025,,-1,1.682,2.012,-1,2.11,-1,-1,-1,,-1,,-1,1.827,-1,,2.1,-1,,-1,-1,-1,-1,,-1,,-1
35,-1,-1,1.903,-1,2.24,-1,-1,1.975,-1,-1,2.218,2.198,-1,2.315,2.027,-1,-1,2.257,1.891,-1,-1,2.073,-1,-1,-1,-1,-1,-1,2.257,-1,2.033,-1,-1,1.719,-1,-1,-1,2.296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.041,,-1,-1,1.952,-1,1.962,-1,-1,-1,,-1,,-1,1.873,-1,,1.904,-1,,-1,-1,-1,-1,,-1,,-1
37,-1,-1,1.951,-1,2.276,-1,-1,1.926,-1,-1,2.216,2.173,-1,-1,2.011,-1,-1,-1,1.657,-1,-1,2.099,-1,-1,-1,-1,-1,-1,2.198,-1,2.158,-1,-1,1.63,-1,-1,-1,2.296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.964,,-1,-1,2.031,-1,-1,-1,-1,-1,,-1,,-1,1.855,-1,,2.074,-1,,-1,-1,-1,-1,,-1,,-1
39,-1,-1,1.885,-1,-1,-1,-1,1.943,-1,-1,2.205,2.286,-1,-1,1.96,-1,-1,-1,1.757,-1,-1,2.038,-1,-1,-1,-1,-1,-1,2.198,-1,2.173,-1,-1,1.699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,1.931,-1,,2.07,-1,,-1,-1,-1,-1,,-1,,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.184,-1,-1,2.049,-1,-1,-1,1.728,-1,-1,1.908,-1,-1,-1,-1,-1,-1,2.229,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.097,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,2.097,-1,,-1,-1,-1,-1,,-1,,-1
43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.222,-1,-1,1.92,-1,-1,-1,1.734,-1,-1,2.045,-1,-1,-1,-1,-1,-1,2.221,-1,2.124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.974,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,2.198,-1,,-1,-1,-1,-1,,-1,,-1
45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.226,-1,-1,2.102,-1,-1,-1,1.769,-1,-1,2.028,-1,-1,-1,-1,-1,-1,2.321,-1,2.191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.107,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,2.137,-1,,-1,-1,-1,-1,,-1,,-1
47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.099,-1,-1,-1,-1,-1,-1,2.044,-1,-1,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,,-1,,-1
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.043,-1,-1,-1,-1,-1,-1,2.025,-1,-1,-1,-1,-1,-1,-1,-1,2.196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,,-1,,-1
