Mom ID,i580,i2061,i574,i2056,i574,i1923,i2056,i1963,i1952,i1970,i554,i2045,i558,i1951,i1952,i1952,i1973,i1923,i1952,i1954,i2071,i1954,i1970,i2045,i1942,i560,i1951,i2044,i1989,i1959,i2068,i1920,i2050,i2069,i2013,i1916,i573,i1916,i2067,i1967,i1944,i1967,i2013,i2070,i1977,i1977,i2045,i1940,i2048,i2050,i1961,i1944,i2013,i1996,i1920,i1940,i1976,i1943,i2006,i2053,i1943,i1933,i1996,i2058,i1983,i2051,i1936,i1977,i2061,i1952,NA,i589,i1916,i1940
Birthdate,38547,38577,38551,38553,38557,38561,38553,38553,38561,38579,38555,38575,38557,38569,38577,38555,38555,38555,38577,38555,38579,38555,38581,38581,38557,38559,38561,38587,38635,38639,38597,38603,38619,38631,38643,38597,38605,38611,38617,38629,38643,38661,38665,38671,38673,38679,38587,38597,38605,38609,38621,38643,38675,38599,38613,38621,38645,38661,38679,38663,38681,38583,38599,38613,38667,38683,38583,38685,38583,38587,38589,38591,38591,38591
ID,i797,i798,i799,i800,i801,i802,i803,i804,i805,i806,i807,i808,i809,i810,i811,i812,i813,i814,i815,i816,i817,i818,i819,i820,i821,i822,i823,i2191,i2192,i2193,i2194,i2195,i2196,i2197,i2198,i2199,i2200,i2201,i2202,i2203,i2204,i2205,i2206,i2207,i2208,i2209,i2210,i2211,i2212,i2213,i2214,i2215,i2216,i2217,i2218,i2219,i2220,i2221,i2222,i2223,i2224,i2225,i2226,i2227,i2228,i2229,i2230,i2231,i2232,i2233,i2234,i2235,i2236,i2237
Vial,F1,F1,F2,F3,F3,F3,F4,F5,F5,f5,f6,f6,F7,F7,F7,F8,F9,F10,F10,F11,F11,F12,F12,F13,F14,F15,F16,f1,f1,f1,f2,f2,f2,f2,f2,f3,f3,f3,f3,f3,f3,f3,f3,f3,f3,f3,f4,f4,f4,f4,f4,f4,f4,f5,f5,f5,f5,f5,f5,f6,f6,f7,f7,f7,f7,f7,f8,f8,f10,f10,f11,f12,f13,f14
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
1,0.716,0.837,0.79,0.84,0.851,0.883,0.84,0.79,0.839,0.864,0.798,0.867,0.763,0.87,0.822,0.861,0.85,0.817,0.89,0.767,0.765,0.826,0.845,0.83,0.787,0.793,0.798,0.864,0.827,0.892,0.8,0.867,0.869,0.825,0.84,0.865,0.778,0.88,0.845,0.798,0.84,0.823,0.832,0.815,0.815,0.838,0.84,0.822,0.827,0.844,0.821,0.84,0.745,0.844,0.84,0.801,0.84,0.846,0.795,0.864,0.879,0.882,0.807,0.84,0.807,0.765,0.845,0.888,0.883,0.864,0.881,NA,0.879,NA
3,0.938,1.037,0.963,0.98,-1,1.111,1.016,0.967,1.03,1.102,1.001,1.026,0.832,1.1,0.963,1.135,0.982,1.015,1.062,0.988,0.958,1.021,1.053,0.967,1.017,1.061,0.862,0.991,0.935,1.037,0.994,1.047,0.988,0.963,0.962,1.039,0.915,0.973,0.988,0.813,1.012,-1,0.976,-1,1.061,0.99,1.081,0.958,1.002,1.01,1.03,1.039,1.037,0.951,0.85,0.913,0.953,0.963,1.013,1.013,1.037,0.988,0.999,-1,0.854,-1,1.185,,1.037,1.101,1.07,0.963,1.037,1.037
5,1.407,1.165,1.465,-1,-1,1.305,1.469,1.145,1.182,1.161,1.418,1.16,1.097,1.365,1.124,1.507,1.391,1.472,1.148,1.365,1.212,1.314,1.185,-1,1.153,1.381,1.05,0.989,-1,1.16,-1,1.292,1.116,NA,1.144,1.067,0.971,-1,-1,-1,1.231,-1,-1,-1,1.235,1.185,-1,0.959,-1,1.02,1.148,1.129,1.044,1.023,0.832,0.957,1.029,1.076,1.259,1.06,1.044,1.037,1.006,-1,0.963,-1,1.423,,-1,-1,1.185,1.068,-1,-1
7,1.58,1.161,1.574,-1,-1,1.531,1.595,-1,1.235,1.235,1.631,1.398,1.202,-1,-1,1.609,1.503,1.589,-1,1.492,-1,1.392,-1,-1,1.187,1.383,1.111,1.012,-1,1.326,-1,1.419,1.094,1.111,1.185,-1,-1,-1,-1,-1,1.156,-1,-1,-1,-1,0.985,-1,-1,-1,-1,1.284,1.183,1.144,1.143,-1,1.037,1.058,1.157,1.253,1.185,,1.158,-1,-1,1.012,-1,1.432,,-1,-1,1.313,-1,-1,-1
9,1.573,-1,1.588,-1,-1,1.559,1.622,-1,1.291,1.235,1.596,1.56,1.248,-1,-1,1.649,1.484,1.63,-1,1.468,-1,1.384,-1,-1,1.316,1.457,1.201,1.038,-1,1.44,-1,1.19,1.185,-1,1.174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.368,1.159,1.284,-1,-1,1.137,1.069,1.287,,1.358,,1.152,-1,-1,-1,-1,1.457,,-1,-1,1.29,-1,-1,-1
11,1.669,-1,1.668,-1,-1,1.568,1.67,-1,1.366,1.331,1.715,1.679,-1,-1,-1,1.625,1.537,1.713,-1,1.549,-1,1.413,-1,-1,1.358,1.452,1.275,1.13,-1,1.459,-1,1.604,1.217,-1,1.357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,1.363,1.131,1.317,-1,-1,1.184,1.261,1.407,,1.457,,-1,-1,-1,-1,-1,1.549,,-1,-1,-1,-1,-1,-1
13,1.778,-1,1.735,-1,-1,1.734,1.75,-1,-1,1.389,1.778,1.63,-1,-1,-1,1.704,1.704,-1,-1,1.654,-1,1.531,-1,-1,1.392,1.509,1.497,1.206,-1,1.432,-1,1.684,-1,-1,1.467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.238,,-1,-1,1.309,-1,1.531,,1.51,,-1,-1,-1,-1,-1,1.617,,-1,-1,-1,-1,-1,-1
15,1.789,-1,1.765,-1,-1,1.685,1.852,-1,-1,1.481,1.869,1.784,-1,-1,-1,1.693,1.651,-1,-1,1.807,-1,1.629,-1,-1,1.376,1.521,1.544,1.256,-1,1.556,-1,-1,-1,-1,1.651,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.231,,-1,-1,NA,-1,1.506,,-1,,-1,-1,-1,-1,-1,1.682,,-1,-1,-1,-1,-1,-1
17,1.776,-1,1.852,-1,-1,1.801,1.872,-1,-1,1.47,-1,1.769,-1,-1,-1,1.687,1.663,-1,-1,1.748,-1,1.613,-1,-1,1.453,1.525,1.585,1.284,-1,1.565,-1,-1,-1,-1,1.581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.357,,-1,-1,1.336,-1,1.58,,-1,,-1,-1,-1,-1,-1,1.779,,-1,-1,-1,-1,-1,-1
19,1.755,-1,1.83,-1,-1,1.877,1.818,-1,-1,1.472,-1,1.852,-1,-1,-1,1.712,1.778,-1,-1,1.817,-1,-1,-1,-1,1.454,1.526,-1,1.413,-1,1.587,-1,-1,-1,-1,1.679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.398,,-1,-1,1.333,-1,-1,,-1,,-1,-1,-1,-1,-1,1.808,,-1,-1,-1,-1,-1,-1
21,1.852,-1,1.907,-1,-1,1.967,1.886,-1,-1,-1,-1,1.833,-1,-1,-1,1.738,1.832,-1,-1,1.798,-1,-1,-1,-1,1.477,1.58,-1,1.492,-1,1.608,-1,-1,-1,-1,1.827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.407,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,1.815,,-1,-1,-1,-1,-1,-1
23,1.834,-1,1.895,-1,-1,1.927,1.89,-1,-1,-1,-1,1.837,-1,-1,-1,1.768,1.794,-1,-1,1.756,-1,-1,-1,-1,-1,1.53,-1,1.61,-1,1.712,-1,-1,-1,-1,1.732,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.447,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,1.909,,-1,-1,-1,-1,-1,-1
25,1.862,-1,1.931,-1,-1,1.975,1.939,-1,-1,-1,-1,1.955,-1,-1,-1,1.852,1.827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.637,-1,1.852,-1,-1,-1,-1,1.913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,1.467,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,1.867,,-1,-1,-1,-1,-1,-1
