Mom ID,i574,i2044,i560,i2044,i1956,i554,i1963,i1951,i2044,i1963,i574,i1952,i560,i1946,i574,i1952,i1973,NA,i1923,i1973,i1952,i1954,i1933,i1954,i1952,i560,i558,i1954,i1963,i551,i573,i573,i1916,i1978,i1976,i1989,i2070,i1933,i2044,i2068,i1920,i2048,i2050,i2050,i1937,i1982,i1959,i1966,i1936,i1996,i2048,i1916,i1936,i1982,i1943,o1989,i1967,i573,i2050,i1940,i1967,i1976,i1943,i2007,i2013,i1977,i2061,i1996,i1920,i2069,i2072,i1966,i2006,i1916,i2058,i2006,i1983,i1943,NA,i2045,i1977,i1970,i2045,i1995,i2056
Birthdate,38551,38577,38551,38577,38551,38571,38553,38569,38577,38553,38571,38577,38559,38555,38571,38555,38555,38571,38555,38563,38577,38555,38573,38555,38561,38559,38581,38561,38563,38563,38595,38605,38619,38627,38639,38641,38671,38583,38587,38597,38603,38605,38609,38619,38627,38635,38639,38659,38583,38599,38605,38611,38621,38635,38639,38647,38661,38595,38609,38621,38629,38645,38661,38673,38675,38679,38583,38599,38613,38631,38663,38665,38679,38597,38613,38663,38667,38681,38589,38597,38683,38587,38597,38685,38591
ID,i824,i825,i826,i827,i828,i829,i830,i831,i832,i833,i834,i835,i836,i837,i838,i839,i840,i841,i842,i843,i844,i845,i846,i847,i848,i849,i850,i851,i852,i853,i2238,i2239,i2240,i2241,i2242,i2243,i2244,i2245,i2246,i2247,i2248,i2249,i2250,i2251,i2252,i2253,i2254,i2255,i2256,i2257,i2258,i2259,i2260,i2261,i2262,i2263,i2264,i2265,i2266,i2267,i2268,i2269,i2270,i2271,i2272,i2273,i2274,i2275,i2276,i2277,i2278,i2279,i2333,i2334,i2335,i2336,i2337,i2338,i2339,i2340,i2341,i2342,i2343,i2344,i2345
Vial,G1,G1,G2,G2,G3,G3,G4,G4,G4,G5,G5,G5,G6,G7,G7,G8,G9,G9,G10,G10,G10,G11,G11,G12,G12,G13,G13,G14,G15,G16,g1,g1,g1,g1,g1,g1,g1,g2,g2,g2,g2,g2,g2,g2,g2,g2,g2,g2,g3,g3,g3,g3,g3,g3,g3,g3,g3,g4,g4,g4,g4,g4,g4,g4,g4,g4,g5,g5,g5,g5,g5,g5,g5,g6,g6,g6,g6,g6,g7,g7,g7,g8,g8,g8,g11
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1,0.716,0.839,0.889,0.85,0.864,0.776,0.84,0.847,0.901,0.84,0.763,0.84,0.841,0.799,0.754,0.87,0.842,0.856,0.839,0.799,0.842,0.825,0.84,0.811,0.861,0.842,0.812,0.825,0.751,0.791,0.889,0.816,0.835,0.864,0.807,0.798,0.815,0.824,0.84,0.815,0.867,0.833,0.824,0.796,0.864,0.859,0.846,0.855,0.858,0.904,0.827,0.886,0.803,0.92,0.86,0.816,0.821,0.882,0.792,0.771,0.792,0.845,0.787,0.84,0.771,0.827,0.882,0.843,0.864,0.804,0.815,0.843,0.786,0.843,0.864,0.84,0.793,0.77,0.874,0.851,0.83,0.84,0.849,0.834,0.86
3,0.889,1.012,1.086,0.988,1.086,0.969,0.988,0.941,0.963,0.977,1.137,1.062,1.096,0.945,0.999,1.071,0.983,0.996,1.03,1.037,1.062,1.008,1.1,0.935,1.051,1.088,0.963,1.005,0.929,0.807,0.994,0.924,0.988,0.962,-1,0.955,0.988,-1,1.028,0.979,-1,-1,1.032,0.988,1.075,0.953,1.062,0.991,0.963,0.926,1.035,NA,1.026,0.999,1.062,0.948,0.988,0.982,0.951,0.851,0.919,-1,1.037,-1,-1,0.878,1.086,0.98,0.997,-1,-1,0.811,1.028,-1,-1,-1,-1,0.963,-1,1.004,,1.109,1.024,,1.111
5,1.078,1.135,1.216,1.139,1.24,1.141,1.16,1.238,1.049,1.149,-1,1.221,1.279,1.211,1.04,1.204,1.174,1.097,1.37,1.086,1.204,1.306,1.214,-1,1.161,1.236,1.309,1.194,1.086,0.938,1.1,0.98,1.033,1.144,-1,1.16,1.294,-1,1.148,-1,-1,-1,-1,1.067,1.136,-1,1.185,1.037,0.988,0.916,1.05,0.95,1.065,-1,1.062,-1,1.001,1.027,-1,-1,0.914,-1,1.219,-1,-1,1.037,1.136,0.947,1.098,-1,-1,0.902,1.185,-1,-1,-1,-1,0.999,-1,1.022,,1.311,1.158,,1.29
7,1.45,1.161,1.527,-1,1.47,1.378,-1,-1,1.097,1.449,-1,-1,1.472,1.402,1.12,1.48,1.354,1.191,-1,1.19,1.289,1.378,1.21,-1,1.235,1.356,1.284,1.235,-1,1.103,1.117,1.047,-1,1.16,-1,1.202,1.383,-1,1.111,-1,-1,-1,-1,1.075,1.16,-1,1.086,1.141,1.048,-1,-1,1.007,1.111,-1,1.019,-1,1.115,1.055,-1,-1,-1,-1,1.225,-1,-1,1.044,1.11,-1,-1,-1,-1,-1,1.224,-1,-1,-1,-1,,-1,-1,,1.457,1.201,,1.251
9,1.414,1.16,1.531,-1,1.526,1.383,-1,-1,1.136,1.47,-1,-1,1.432,1.373,1.284,1.43,1.532,1.16,-1,1.329,1.407,1.38,1.18,-1,1.316,1.407,-1,1.293,-1,1.283,1.094,1.029,-1,-1,-1,1.14,1.361,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.253,1.323,1.017,-1,-1,1.063,1.113,-1,-1,-1,1.153,-1,-1,-1,-1,-1,-1,-1,-1,,1.13,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,1.18,,1.384
11,1.445,1.16,1.545,-1,1.678,1.335,-1,-1,-1,1.454,-1,-1,1.494,-1,1.257,1.504,1.51,1.246,-1,1.332,1.383,1.396,1.227,-1,1.291,1.394,-1,1.254,-1,1.23,-1,-1,-1,-1,-1,-1,1.435,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.279,1.342,1.111,-1,-1,-1,1.175,-1,-1,-1,1.136,-1,-1,-1,-1,-1,-1,-1,-1,,1.111,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,1.229,,1.39
