Mom ID,i571,i571,i558,i571,i574,i543,i574,i547,i574,i574,i579,i546,i1996,i1995,i546,i579,i1996,i2006,i546,i543,i1996,i1978,i1998,i1990,i1998,i543,i1996,i2014,i1998,i1990,i2006,i1996,i546,i573,i2006,i573,i1978
Birthdate,38557,38557,38581,38557,38557,38573,38557,38561,38561,38561,38597,38603,38609,38663,38587,38597,38609,38663,38603,38605,38615,38667,38677,38683,38685,38605,38615,38635,38677,38683,38637,38643,38587,38599,38637,38649,38667
ID,i854,i855,i856,i857,i858,i859,i860,i861,i862,i863,i2306,i2307,i2308,i2309,i2310,i2311,i2312,i2313,i2314,i2315,i2316,i2317,i2318,i2319,i2320,i2321,i2322,i2323,i2324,i2325,i2326,i2327,i2328,i2329,i2330,i2331,i2332
Vial,MAA1,MAA2,MAA2,MAA3,MAA4,MAA4,MAA5,MAA6,MAA7,MAA8,maa1,maa1,maa1,maa1,maa2,maa2,maa2,maa2,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa4,maa4,maa4,maa4,maa4,maa5,maa5,maa6,maa6,maa6,maa6,maa6
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,,0,0,0,,0,0,,0
5,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,,,,,0,0,,,,0,,,,,0
7,2,2,,2,0,0,0,,0,0,,,0,0,,0,0,0,,,0,,,,,,,0,,,,0,,,,,0
9,2,2,,2,0,0,0,,0,,,,0,2,,3,0,3,,,0,,,,,,,0,,,,0,,,,,0
11,2,5,,4,1,0,2,,0,,,,0,2,,3,0,4,,,0,,,,,,,0,,,,1,,,,,4
13,3,6,,5,,2,2,,0,,,,2,2,,,0,5,,,0,,,,,,,0,,,,1,,,,,7
15,5,6,,6,,2,4,,3,,,,4,3,,,0,5,,,2,,,,,,,0,,,,1,,,,,7
17,5,6,,6,,2,6,,3,,,,4,3,,,0,7,,,2,,,,,,,0,,,,4,,,,,10
19,8,,,7,,4,6,,6,,,,4,3,,,0,8,,,2,,,,,,,0,,,,4,,,,,13
21,9,,,8,,4,10,,6,,,,5,5,,,2,8,,,3,,,,,,,0,,,,5,,,,,
23,9,,,9,,4,13,,10,,,,5,,,,2,10,,,3,,,,,,,0,,,,5,,,,,
25,13,,,9,,4,13,,10,,,,5,,,,2,,,,4,,,,,,,3,,,,6,,,,,
27,14,,,9,,4,15,,,,,,6,,,,3,,,,4,,,,,,,4,,,,6,,,,,
29,18,,,9,,4,15,,,,,,6,,,,3,,,,4,,,,,,,4,,,,6,,,,,
31,1,,,11,,,17,,,,,,6,,,,3,,,,4,,,,,,,4,,,,,,,,,
33,18,,,12,,,19,,,,,,7,,,,3,,,,4,,,,,,,4,,,,,,,,,
35,18,,,12,,,19,,,,,,7,,,,3,,,,4,,,,,,,4,,,,,,,,,
37,21,,,14,,,23,,,,,,7,,,,3,,,,4,,,,,,,4,,,,,,,,,
39,,,,17,,,23,,,,,,7,,,,3,,,,4,,,,,,,4,,,,,,,,,
41,,,,17,,,26,,,,,,7,,,,,,,,4,,,,,,,4,,,,,,,,,
43,,,,18,,,26,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
45,,,,18,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
