Mom ID,i571,i571,i558,i571,i574,i543,i574,i547,i574,i574,i579,i546,i1996,i1995,i546,i579,i1996,i2006,i546,i543,i1996,i1978,i1998,i1990,i1998,i543,i1996,i2014,i1998,i1990,i2006,i1996,i546,i573,i2006,i573,i1978
Birthdate,38557,38557,38581,38557,38557,38573,38557,38561,38561,38561,38597,38603,38609,38663,38587,38597,38609,38663,38603,38605,38615,38667,38677,38683,38685,38605,38615,38635,38677,38683,38637,38643,38587,38599,38637,38649,38667
ID,i854,i855,i856,i857,i858,i859,i860,i861,i862,i863,i2306,i2307,i2308,i2309,i2310,i2311,i2312,i2313,i2314,i2315,i2316,i2317,i2318,i2319,i2320,i2321,i2322,i2323,i2324,i2325,i2326,i2327,i2328,i2329,i2330,i2331,i2332
Vial,MAA1,MAA2,MAA2,MAA3,MAA4,MAA4,MAA5,MAA6,MAA7,MAA8,maa1,maa1,maa1,maa1,maa2,maa2,maa2,maa2,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa4,maa4,maa4,maa4,maa4,maa5,maa5,maa6,maa6,maa6,maa6,maa6
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1.000,0.873,0.867,0.815,0.780,0.807,0.774,0.803,0.853,0.762,0.766,0.866,0.867,0.840,0.864,0.864,0.885,0.811,0.840,0.877,0.778,0.854,0.806,0.815,0.840,0.790,0.785,0.901,0.883,0.815,0.840,0.879,0.741,0.840,0.850,0.855,0.797,0.795
3.000,1.214,1.129,1.156,1.005,1.051,1.015,0.965,-1.000,1.041,1.233,-1.000,1.102,1.031,1.231,-1.000,1.062,1.090,1.244,-1.000,0.845,1.135,0.743,-1.000,-1.000,,0.982,1.000,1.015,-1.000,1.031,1.071,1.139,-1.000,NA,0.893,-1.000,1.029
5.000,1.639,1.587,1.333,1.519,1.575,1.586,1.485,-1.000,1.198,1.450,-1.000,1.129,1.333,1.480,-1.000,1.317,1.333,1.475,-1.000,1.022,1.283,-1.000,-1.000,-1.000,,-1.000,0.938,1.390,-1.000,,-1.000,1.077,-1.000,-1.000,-1.000,-1.000,1.383
7.000,1.767,1.762,-1.000,1.686,1.692,1.802,1.636,-1.000,1.333,1.580,-1.000,-1.000,1.394,1.619,-1.000,1.633,1.612,1.690,-1.000,-1.000,1.808,-1.000,-1.000,-1.000,,-1.000,-1.000,1.605,-1.000,,-1.000,1.419,-1.000,-1.000,-1.000,-1.000,1.605
9.000,1.716,1.788,-1.000,1.736,1.730,1.832,1.913,-1.000,1.556,-1.000,-1.000,-1.000,1.774,1.926,-1.000,1.713,1.752,2.025,-1.000,-1.000,1.720,-1.000,-1.000,-1.000,,-1.000,-1.000,1.877,-1.000,,-1.000,1.554,-1.000,-1.000,-1.000,-1.000,1.641
11.000,1.852,1.852,-1.000,1.852,1.778,1.940,1.951,-1.000,1.738,-1.000,-1.000,-1.000,1.921,2.000,-1.000,1.862,1.878,2.074,-1.000,-1.000,1.950,-1.000,-1.000,-1.000,,-1.000,-1.000,1.880,-1.000,,-1.000,1.651,-1.000,-1.000,-1.000,-1.000,1.975
13.000,1.913,1.895,-1.000,1.986,-1.000,2.025,1.998,-1.000,1.957,-1.000,-1.000,-1.000,1.970,2.016,-1.000,-1.000,1.887,1.946,-1.000,-1.000,2.148,-1.000,-1.000,-1.000,,-1.000,-1.000,2.039,-1.000,,-1.000,1.752,-1.000,-1.000,-1.000,-1.000,2.046
15.000,2.025,1.919,-1.000,2.126,-1.000,1.926,2.080,-1.000,2.069,-1.000,-1.000,-1.000,1.981,2.074,-1.000,-1.000,1.975,2.000,-1.000,-1.000,2.149,-1.000,-1.000,-1.000,,-1.000,-1.000,2.062,-1.000,,-1.000,1.996,-1.000,-1.000,-1.000,-1.000,2.028
17.000,2.019,2.055,-1.000,2.046,-1.000,2.180,2.146,-1.000,2.136,-1.000,-1.000,-1.000,2.001,2.016,-1.000,-1.000,2.015,2.022,-1.000,-1.000,2.110,-1.000,-1.000,-1.000,,-1.000,-1.000,2.007,-1.000,,-1.000,1.835,-1.000,-1.000,-1.000,-1.000,2.148
19.000,2.088,-1.000,-1.000,2.079,-1.000,2.123,2.141,-1.000,2.321,-1.000,-1.000,-1.000,2.049,2.018,-1.000,-1.000,2.198,2.084,-1.000,-1.000,2.321,-1.000,-1.000,-1.000,,-1.000,-1.000,2.154,-1.000,,-1.000,2.000,-1.000,-1.000,-1.000,-1.000,2.058
21.000,2.167,-1.000,-1.000,2.171,-1.000,2.113,2.279,-1.000,2.268,-1.000,-1.000,-1.000,1.991,2.123,-1.000,-1.000,1.912,2.173,-1.000,-1.000,2.339,-1.000,-1.000,-1.000,,-1.000,-1.000,2.251,-1.000,,-1.000,2.076,-1.000,-1.000,-1.000,-1.000,
23.000,2.198,-1.000,-1.000,2.148,-1.000,2.182,2.346,-1.000,2.299,-1.000,-1.000,-1.000,2.028,2.210,-1.000,-1.000,2.045,2.246,-1.000,-1.000,2.075,-1.000,-1.000,-1.000,,-1.000,-1.000,2.198,-1.000,,-1.000,2.087,-1.000,-1.000,-1.000,-1.000,
25.000,2.282,-1.000,-1.000,2.220,-1.000,2.135,2.333,-1.000,2.346,-1.000,-1.000,-1.000,2.222,,-1.000,-1.000,2.222,,-1.000,-1.000,2.290,-1.000,-1.000,-1.000,,-1.000,-1.000,2.343,-1.000,,-1.000,2.117,-1.000,-1.000,-1.000,-1.000,
27.000,2.278,-1.000,-1.000,2.264,-1.000,2.197,2.310,-1.000,-1.000,-1.000,-1.000,-1.000,2.177,,-1.000,-1.000,2.073,,-1.000,-1.000,2.346,-1.000,-1.000,-1.000,,-1.000,-1.000,2.250,-1.000,,-1.000,2.123,-1.000,-1.000,-1.000,-1.000,
29.000,2.370,-1.000,-1.000,2.346,-1.000,2.129,2.346,-1.000,-1.000,-1.000,-1.000,-1.000,2.118,,-1.000,-1.000,2.193,,-1.000,-1.000,2.346,-1.000,-1.000,-1.000,,-1.000,-1.000,2.395,-1.000,,-1.000,2.123,-1.000,-1.000,-1.000,-1.000,
31.000,2.346,-1.000,-1.000,2.346,-1.000,-1.000,2.420,-1.000,-1.000,-1.000,-1.000,-1.000,2.047,,-1.000,-1.000,2.144,,-1.000,-1.000,2.388,-1.000,-1.000,-1.000,,-1.000,-1.000,2.165,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
33.000,2.383,-1.000,-1.000,2.488,-1.000,-1.000,2.562,-1.000,-1.000,-1.000,-1.000,-1.000,2.272,,-1.000,-1.000,2.222,,-1.000,-1.000,2.319,-1.000,-1.000,-1.000,,-1.000,-1.000,2.339,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
35.000,2.349,-1.000,-1.000,2.457,-1.000,-1.000,2.537,-1.000,-1.000,-1.000,-1.000,-1.000,2.222,,-1.000,-1.000,2.321,,-1.000,-1.000,2.313,-1.000,-1.000,-1.000,,-1.000,-1.000,2.371,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
37.000,2.467,-1.000,-1.000,2.569,-1.000,-1.000,2.429,-1.000,-1.000,-1.000,-1.000,-1.000,2.300,,-1.000,-1.000,2.055,,-1.000,-1.000,2.348,-1.000,-1.000,-1.000,,-1.000,-1.000,2.395,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
39.000,-1.000,-1.000,-1.000,2.484,-1.000,-1.000,2.429,-1.000,-1.000,-1.000,-1.000,-1.000,2.175,,-1.000,-1.000,2.059,,-1.000,-1.000,2.212,-1.000,-1.000,-1.000,,-1.000,-1.000,2.346,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
41.000,-1.000,-1.000,-1.000,2.488,-1.000,-1.000,2.473,-1.000,-1.000,-1.000,-1.000,-1.000,2.131,,-1.000,-1.000,-1.000,,-1.000,-1.000,2.323,-1.000,-1.000,-1.000,,-1.000,-1.000,2.335,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
43.000,-1.000,-1.000,-1.000,2.632,-1.000,-1.000,2.649,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,2.320,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
45.000,-1.000,-1.000,-1.000,2.581,-1.000,-1.000,2.360,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
47.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.649,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
49.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.474,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
51.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.601,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
53.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.607,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
55.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.453,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
