Mom ID,i607,i607,i607,i607,i614,i621,i621,i597,i629,i621,i598,i600,i600,i600,i632,i629,i629,i642,i621,i629,i621,i621,i2034,i2021,i2021,i2036,i2034,i2023,i596,i2036,i596,i596,i2029,i605,i2034,i2034,i2029,i596,i2021,i2021,i2034,i2034,i2034,i2034,i2029,i2104,i2104,i2034,i2034,i2034,i2034,i2034
Birthdate,38553,38565,38553,38565,38553,38571,38577,38557,38569,38571,38581,38557,38557,38557,38557,38569,38581,38557,38571,38581,38583,38583,38625,38637,38649,38681,38597,38653,38591,38681,38591,38591,38611,38615,38621,38597,38611,38595,38601,38601,38625,38603,38603,38603,38611,38603,38603,38607,38611,38621,38607,38611
ID,i864,i865,i866,i867,i868,i869,i870,i871,i872,i873,i874,i875,i877,i878,i879,i880,i881,i882,i883,i884,i2387,i2388,i2389,i2390,i2391,i2392,i2393,i2394,i2395,i2396,i2397,i2398,i2399,i2400,i2401,i2402,i2403,i2404,i2405,i2406,i2407,i2408,i2409,i2410,i2411,i2412,i2413,i2414,i2415,i2416,i2417,i2418
Vial,MB1,MB1,MB2,MB2,MB3,MB3,MB3,MB4,MB4,MB4,MB4,MB5,MB6,MB7,MB8,MB8,MB8,MB9,MB9,MB9,MB10,MB11,mb1,mb1,mb1,mb1,mb2,mb2,mb3,mb3,mb4,mb5,mb6,mb6,mb6,mb7,mb8,mb12,mb12,mb13,mb13,mb14,mb15,mb16,mb16,mb17,mb18,mb19,mb19,mb19,mb20,mb20
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1,0.765,0.74,0.741,0.732,0.84,0.783,0.739,0.792,0.861,0.826,0.835,0.848,0.819,0.845,0.798,0.854,0.776,0.737,0.812,0.788,0.768,0.801,0.833,0.804,0.729,0.762,0.813,0.812,0.883,0.798,0.839,0.853,0.867,0.842,0.844,0.896,na,0.9,0.844,0.895,0.802,0.854,0.849,0.893,0.847,0.849,0.85,0.877,0.894,0.786,0.888,0.874
3,0.909,0.864,-1,0.938,1.069,1.097,0.988,1.352,-1,-1,1.278,1.369,1.29,1.391,-1,1.002,1.014,-1,1.251,1,1.284,1.235,1.062,-1,0.845,1.309,0.988,1.053,1.13,1.333,1.043,1.132,-1,1.018,1.043,1.111,1.086,NA,1.128,1.162,-1,1.152,1.122,1.223,1.111,1.152,1.175,1.106,1.086,1.052,NA,1.062
5,1.415,1.212,-1,0.952,1.66,1.194,1.374,-1,-1,-1,1.432,1.642,1.534,1.58,-1,1.552,1.556,-1,1.438,1.457,1.481,1.58,1.214,-1,1.309,1.46,1.313,1.333,1.348,1.508,1.302,1.366,-1,1.231,1.13,1.393,1.232,,1.442,1.702,-1,1.459,1.403,-1,1.479,1.428,1.433,-1,1.612,1.579,-1,1.454
7,-1,1.446,-1,0.935,1.933,-1,1.718,-1,-1,-1,-1,1.898,1.754,1.754,-1,1.667,1.728,-1,-1,1.654,1.72,1.855,1.507,-1,1.569,,1.864,1.64,1.405,,1.786,1.658,-1,-1,1.407,1.649,1.535,,1.67,1.741,-1,1.651,1.882,-1,1.71,1.747,1.678,-1,1.788,1.802,-1,1.726
9,-1,1.71,-1,1.136,1.981,-1,-1,-1,-1,-1,-1,1.847,1.88,2.099,-1,-1,2.07,-1,-1,1.917,1.686,2.025,1.58,-1,-1,,1.907,1.781,1.704,,1.975,1.901,-1,-1,1.502,1.913,1.853,,1.976,1.935,-1,1.942,1.887,-1,1.84,1.914,1.822,-1,-1,1.764,-1,1.744
11,-1,1.858,-1,1.34,2.068,-1,-1,-1,-1,-1,-1,2.025,2.099,1.92,-1,-1,1.971,-1,-1,2.059,1.775,1.969,-1,-1,-1,,2.014,1.877,1.915,,1.992,2.073,-1,-1,1.737,1.98,1.848,,2.087,2.038,-1,1.951,2,-1,1.772,2.025,2,-1,-1,1.731,-1,1.706
