Mom ID,i691,i650,i650,i650,i650,i688,i688,i669,i666,i651,i2118,i651,i651,i2118,i2112,i651,i2115,i2119,i2115,i2115,i2115,i2110,i2110,i2115,i2115,i2113,i2113,i2115,i2115
Birthdate,38557,38557,38557,38557,38557,38561,38561,38589,38593,38599,38639,38609,38617,38639,38673,38609,38641,38681,38641,38651,38685,38659,38661,38661,38661,38665,38665,38667,38667
ID,i885,i886,i887,i888,i889,i890,i891,i2365,i2366,i2367,i2368,i2369,i2370,i2371,i2372,i2373,i2374,i2375,i2376,i2377,i2378,i2379,i2380,i2381,i2382,i2383,i2384,i2385,i2386
Vial,MC1,MC2,MC3,MC4,MC5,MC6,MC7,mc1,mc1,mc1,mc1,mc2,mc2,mc2,mc2,mc3,mc3,mc3,mc4,mc5,mc5,mc6,mc6,mc7,mc8,mc9,mc10,mc11,mc12
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,,,0,0,,,0,0,,0,0,0,0,,,0,0,0,0,0,0,0
7,2,0,0,5,0,0,0,,,0,0,,,0,0,,0,,0,0,,,0,0,0,0,0,4,5
9,3,1,0,5,0,0,0,,,0,0,,,0,0,,0,,0,2,,,0,0,0,0,2,7,7
11,3,2,2,5,0,0,0,,,0,0,,,0,4,,0,,0,2,,,0,,0,0,2,7,7
13,3,3,2,,0,0,0,,,0,0,,,0,4,,0,,0,2,,,0,,3,2,2,9,9
15,,3,,,0,2,,,,0,0,,,0,,,0,,1,4,,,,,3,4,5,9,9
17,,5,,,1,2,,,,0,0,,,1,,,2,,1,6,,,,,5,4,6,9,9
19,,5,,,1,2,,,,0,1,,,1,,,4,,4,6,,,,,5,5,6,11,11
21,,5,,,1,3,,,,0,1,,,3,,,4,,5,7,,,,,5,7,6,,
23,,,,,1,3,,,,0,1,,,3,,,4,,5,7,,,,,5,7,7,,
25,,,,,1,3,,,,0,2,,,4,,,4,,7,7,,,,,8,,,,
27,,,,,2,3,,,,0,2,,,6,,,4,,7,8,,,,,,,,,
29,,,,,2,3,,,,0,2,,,6,,,4,,9,8,,,,,,,,,
31,,,,,4,3,,,,2,2,,,6,,,6,,9,8,,,,,,,,,
33,,,,,4,3,,,,2,2,,,6,,,6,,9,11,,,,,,,,,
35,,,,,4,,,,,3,2,,,,,,6,,11,,,,,,,,,,
37,,,,,4,,,,,,2,,,,,,,,11,,,,,,,,,,
39,,,,,4,,,,,,4,,,,,,,,11,,,,,,,,,,
41,,,,,4,,,,,,4,,,,,,,,12,,,,,,,,,,
43,,,,,4,,,,,,4,,,,,,,,12,,,,,,,,,,
45,,,,,4,,,,,,4,,,,,,,,12,,,,,,,,,,
47,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
