Mom ID,i691,i650,i650,i650,i650,i688,i688,i669,i666,i651,i2118,i651,i651,i2118,i2112,i651,i2115,i2119,i2115,i2115,i2115,i2110,i2110,i2115,i2115,i2113,i2113,i2115,i2115
Birthdate,38557,38557,38557,38557,38557,38561,38561,38589,38593,38599,38639,38609,38617,38639,38673,38609,38641,38681,38641,38651,38685,38659,38661,38661,38661,38665,38665,38667,38667
ID,i885,i886,i887,i888,i889,i890,i891,i2365,i2366,i2367,i2368,i2369,i2370,i2371,i2372,i2373,i2374,i2375,i2376,i2377,i2378,i2379,i2380,i2381,i2382,i2383,i2384,i2385,i2386
Vial,MC1,MC2,MC3,MC4,MC5,MC6,MC7,mc1,mc1,mc1,mc1,mc2,mc2,mc2,mc2,mc3,mc3,mc3,mc4,mc5,mc5,mc6,mc6,mc7,mc8,mc9,mc10,mc11,mc12
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.837,0.768,0.789,0.782,0.802,0.809,0.743,0.84,0.884,0.889,0.811,0.858,0.857,0.83,0.815,0.862,0.84,0.851,0.84,0.789,0.71,0.798,0.838,0.789,0.836,0.827,0.84,0.867,0.88
3,1.392,1.238,1.332,1.382,1.332,1.036,1.279,0.988,-1,0.943,1.086,0.802,-1,1.086,1.149,0.97,1.086,1.037,1.136,1.014,,-1,0.988,0.963,1.037,0.962,1.256,1.119,1.346
5,1.594,1.531,1.551,1.617,1.561,1.322,1.537,-1,-1,1.067,1.333,-1,-1,1.136,1.383,-1,1.04,1.111,1.293,1.208,,-1,1.158,1.343,1.543,1.252,1.511,1.654,1.58
7,1.831,1.776,1.811,1.775,1.76,1.481,1.827,-1,-1,1.24,1.443,-1,-1,1.45,2.149,-1,1.146,,1.497,1.623,,-1,1.244,1.482,1.765,NA,NA,1.901,1.926
9,1.654,1.778,1.802,1.719,1.702,1.773,1.945,-1,-1,1.472,1.658,-1,-1,1.739,1.843,-1,1.236,,1.69,1.719,,-1,1.451,1.811,1.995,1.481,1.679,1.925,1.879
11,1.901,2.049,2.099,1.951,2.025,1.853,1.962,-1,-1,1.632,1.806,-1,-1,1.757,1.975,-1,1.527,,1.631,1.856,,-1,1.481,-1,2.074,1.728,1.778,1.951,1.951
13,2.019,2.125,2.141,-1,1.99,1.897,1.988,-1,-1,1.792,1.76,-1,-1,1.788,1.798,-1,1.549,,1.757,1.877,,-1,1.58,-1,2.099,1.77,1.686,1.951,1.987
15,2.096,2.128,-1,-1,2.107,2.044,-1,-1,-1,1.852,1.783,-1,-1,1.853,,-1,1.868,,2.11,2.015,,-1,-1,-1,2.104,1.951,1.901,2.103,2.058
17,-1,2.191,-1,-1,2.145,2.012,-1,-1,-1,1.839,1.919,-1,-1,2.01,,-1,1.848,,2.075,1.966,,-1,-1,-1,2.321,1.956,1.971,2.123,2.148
19,-1,2.213,-1,-1,2.204,2.099,-1,-1,-1,1.903,1.88,-1,-1,2.102,,-1,1.934,,2.033,2.092,,-1,-1,-1,2.099,1.964,1.903,2.14,2.059
21,-1,2.312,-1,-1,2.236,2.153,-1,-1,-1,1.996,2.056,-1,-1,NA,,-1,1.995,,NA,2.099,,-1,-1,-1,2.204,2.025,1.951,,
23,-1,-1,-1,-1,2.272,2.083,-1,-1,-1,2.085,2.093,-1,-1,2.198,,-1,2.148,,2.198,2.198,,-1,-1,-1,2.321,NA,2.019,,
25,-1,-1,-1,-1,2.248,2.123,-1,-1,-1,2.044,2.198,-1,-1,2.061,,-1,2.148,,2.148,1.963,,-1,-1,-1,2.085,,,,
