Mom ID,i735,i735,i710,i714,i718,i710,i735,i735,i739,i714,i739,i739,i705,i705,i710,i721,i739,i721,i735,i735,i2147,i2149,i2149,i2147,i2147,i2130,i2149,i2150,i2158,i2158,i2130,i2147,i2160,i2130,i2147,i2130,i2130,i705,i705
Birthdate,38553,38553,38555,38569,38575,38555,38559,38569,38557,38573,38557,38557,38561,38577,38561,38577,38563,38577,38577,38577,38601,38679,38685,38601,38611,38613,38685,38613,38685,38685,38603,38615,38617,38621,38615,38621,38603,38583,38583
ID,i892,i893,i894,i895,i896,i897,i898,i899,i900,i901,i902,i903,i904,i905,i906,i907,i908,i909,i910,i912,i2346,i2347,i2348,i2349,i2350,i2351,i2352,i2353,i2354,i2355,i2356,i2357,i2358,i2359,i2360,i2361,i2362,i2363,i2364
Vial,MD1,MD2,MD3,MD3,MD3,MD4,MD4,MD4,MD5,MD5,MD6,MD7,MD7,MD7,MD8,MD8,MD9,MD9,MD10,MD11,md1,md1,md1,md2,md2,md2,md2,md3,md3,md4,md6,md6,md6,md6,md7,md7,md9,md10,md11
Age,8,9,10,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,0.815,0.79,0.814,0.881,0.855,0.823,0.832,0.797,0.792,0.818,0.864,0.759,0.861,0.839,0.871,0.814,0.802,0.822,0.801,0.827,0.914,0.806,0.827,0.88,0.887,0.89,0.813,0.857,0.757,0.791,0.881,0.798,0.842,0.864,0.85,0.84,0.819,0.854,0.819
3,1.051,1.009,1.041,1.003,1.071,-1,1.029,0.956,1.249,1.035,1.2,1.103,1.3,1.012,1.077,1.333,0.944,1.358,0.963,0.988,1.105,-1,,1.039,-1,0.994,-1,1.11,,-1,1.105,-1,1.005,NA,-1,-1,1.145,1.037,0.889
5,1.529,1.593,1.637,-1,1.605,-1,1.57,1.386,1.508,1.225,1.419,-1,1.537,1.472,1.373,1.583,0.963,1.689,-1,-1,1.308,-1,,1.172,-1,1.06,-1,1.384,,-1,1.343,-1,-1,-1,-1,-1,1.339,1.432,1.185
7,1.837,1.813,1.833,-1,1.821,-1,1.736,1.696,1.796,1.333,1.536,-1,1.728,1.714,-1,1.701,-1,1.833,-1,-1,1.603,-1,,1.405,-1,1.145,-1,1.645,,-1,1.366,-1,-1,-1,-1,-1,1.497,1.699,1.486
9,1.962,1.951,1.929,-1,2.003,-1,1.975,1.932,1.869,1.583,1.502,-1,-1,1.802,-1,1.877,-1,1.951,-1,-1,1.784,-1,,1.479,-1,1.284,-1,1.852,,-1,-1,-1,-1,-1,-1,-1,1.817,1.877,1.692
11,1.92,1.964,1.932,-1,1.975,-1,-1,1.975,1.951,1.72,1.506,-1,-1,1.975,-1,1.975,-1,1.901,-1,-1,2.087,-1,,-1,-1,1.406,-1,1.77,,-1,-1,-1,-1,-1,-1,-1,1.905,1.926,1.877
13,2.009,2.004,2.025,-1,2.123,-1,-1,2.021,-1,1.827,1.535,-1,-1,2.032,-1,1.99,-1,2.081,-1,-1,1.996,-1,,-1,-1,1.565,-1,1.974,,-1,-1,-1,-1,-1,-1,-1,1.94,2.012,2.013
15,2.049,2.074,-1,-1,2.189,-1,-1,2.022,-1,1.901,1.635,-1,-1,2.015,-1,2.108,-1,2.179,-1,-1,2.062,-1,,-1,-1,1.778,-1,1.975,,-1,-1,-1,-1,-1,-1,-1,1.879,1.926,1.919
17,2.061,2.114,-1,-1,2.193,-1,-1,2.198,-1,1.99,1.785,-1,-1,2.123,-1,2.198,-1,2.123,-1,-1,2.05,-1,,-1,-1,1.735,-1,2.038,,-1,-1,-1,-1,-1,-1,-1,2.069,2.055,2.124
19,2.151,2.124,-1,-1,2.272,-1,-1,2.173,-1,1.962,1.828,-1,-1,2.12,-1,2.18,-1,-1,-1,-1,1.994,-1,,-1,-1,1.835,-1,1.905,,-1,-1,-1,-1,-1,-1,-1,1.975,2.124,2.135
