Mom ID,i764,i764
Birthdate,38563,38573
ID,i913,i914
Vial,ME1,ME1
Age,1,2
1.000,0.800,0.714
3.000,-1.000,0.945
5.000,-1.000,1.292
7.000,-1.000,1.556
9.000,-1.000,1.537
11.000,-1.000,-1.000
13.000,-1.000,-1.000
15.000,-1.000,-1.000
17.000,-1.000,-1.000
19.000,-1.000,-1.000
21.000,-1.000,-1.000
23.000,-1.000,-1.000
25.000,-1.000,-1.000
27.000,-1.000,-1.000
29.000,-1.000,-1.000
31.000,-1.000,-1.000
33.000,-1.000,-1.000
35.000,-1.000,-1.000
37.000,-1.000,-1.000
39.000,-1.000,-1.000
41.000,-1.000,-1.000
43.000,-1.000,-1.000
45.000,-1.000,-1.000
47.000,-1.000,-1.000
49.000,-1.000,-1.000
51.000,-1.000,-1.000
53.000,-1.000,-1.000
55.000,-1.000,-1.000
57.000,-1.000,-1.000
59.000,-1.000,-1.000
61.000,-1.000,-1.000
63.000,-1.000,-1.000
65.000,-1.000,-1.000
67.000,-1.000,-1.000
69.000,-1.000,-1.000
71.000,-1.000,-1.000
73.000,-1.000,-1.000
75.000,-1.000,-1.000
77.000,-1.000,-1.000
79.000,-1.000,-1.000
81.000,-1.000,-1.000
83.000,-1.000,-1.000
85.000,-1.000,-1.000
87.000,-1.000,-1.000
89.000,-1.000,-1.000
91.000,-1.000,-1.000
93.000,-1.000,-1.000
95.000,-1.000,-1.000
97.000,-1.000,-1.000
99.000,-1.000,-1.000
101.000,-1.000,-1.000
103.000,-1.000,-1.000
105.000,-1.000,-1.000
107.000,-1.000,-1.000
109.000,-1.000,-1.000
111.000,-1.000,-1.000
113.000,-1.000,-1.000
115.000,-1.000,-1.000
117.000,-1.000,-1.000
119.000,-1.000,-1.000
121.000,-1.000,-1.000
123.000,-1.000,-1.000
125.000,-1.000,-1.000
127.000,-1.000,-1.000
129.000,-1.000,-1.000
131.000,-1.000,-1.000
133.000,-1.000,-1.000
135.000,-1.000,-1.000
137.000,-1.000,-1.000
139.000,-1.000,-1.000
141.000,-1.000,-1.000
143.000,-1.000,-1.000
