Mom ID,i3500,i931,i3501,i3504,i3503,i3505,i3508,i3509,i3510,i3510,i3513,i3510,i3503,i3503,i3510,i915,i3510,i3503,i3518,i3519,i3502,i3513,i931,i3510,i3520,i948,i952,i3510,i935,i3519,i3513,i3509,i3523,i3524,i3503,i915,i3509,i3513,i3502,i3527,i3520,i3648,i938,i3646,i3610,i3617,i3506,i3507,i3511,i3648,i938,i3507,i3507,i3512,i3512,i921,i3514,i3507,i3642,i3515,i3514,i3516,i3507,i3606,i3515,i3517,i938,i3642,i3606,i3617,i3517,i3642,i3632,i3646,i941,i3517,i3519,i3646,i3519,i3610,i3519,i3521,i941,i3522,i3519,i933,i3502,i3522,i3525,i3526
Birthdate,38505,38573,38505,38511,38545,38565,38505,38515,38529,38507,38545,38509,38517,38523,38529,38517,38509,38525,38511,38527,38513,38539,38543,38517,38545,38547,38539,38523,38547,38551,38529,38523,38563,38523,38535,38525,38529,38535,38547,38543,38551,38593,38599,38625,38649,38661,38609,38629,38587,38593,38613,38619,38663,38685,38685,38595,38599,38629,38631,38685,38599,38603,38629,38653,38685,38601,38613,38631,38653,38667,38601,38631,38653,38631,38595,38601,38603,38631,38603,38635,38603,38585,38595,38605,38603,38565,38573,38605,38565,38565
ID,i915,i916,i917,i918,i920,i921,i922,i923,i924,i925,i926,i927,i928,i929,i930,i931,i932,i933,i934,i935,i936,i937,i938,i939,i940,i941,i942,i943,i944,i945,i946,i948,i949,i950,i951,i952,i953,i954,i955,i956,i957,i3600,i3601,i3602,i3603,i3604,i3605,i3606,i3607,i3608,i3609,i3610,i3611,i3612,i3613,i3614,i3615,i3616,i3617,i3618,i3619,i3620,i3621,i3622,i3623,i3624,i3625,i3626,i3627,i3628,i3629,i3630,i3631,i3632,i3633,i3634,i3635,i3636,i3637,i3638,i3639,i3640,i3641,i3642,i3643,i3644,i3645,i3646,i3647,i3648
Vial,aa1,aa1,aa2,aa2,aa2,aa2,aa3,aa3,aa3,aa4,aa4,aa5,aa5,aa5,aa5,aa5 (aa11),aa6,aa6,aa7,aa7,aa8,aa8,aa8 (aa14),aa9,aa9,aa10 (aa15),aa11 (aa16),aa12,aa12,aa12,aa12 (aa17),aa13,aa13,aa14,aa14,aa15,aa16,aa19,aa19,aa20,aa20,aa1,aa1,aa1,aa1,aa1,aa2,aa2,aa3,aa3,aa3,aa3,aa3,aa3,aa1,aa4,aa4,aa4,aa4,aa4,aa5,aa5,aa5,aa5,aa5,aa6,aa6,aa6,aa6,aa6,aa7,aa7,aa7,aa8,aa9,aa9,aa9,aa9,aa10,aa10,aa11,aa12,aa12,aa12,aa13,aa14,aa14,aa14,aa15,aa16
Age,1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,0,,0,,0,,,0,0,0,0
7,2,0,,0,1,0,,0,0,0,0,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1,2,0,3,,2,0,0,,,0,,0,0,0,0,0,0,,0,,0,0,,,,0,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,0,,,,0,,,0,0,0,0
9,3,0,,,2,0,,0,2,0,1,,,,0,5,1,2,0,2,0,0,2,0,1,1,1,2,,,1,6,0,5,,2,,0,,,0,,0,0,0,0,0,0,,0,,0,2,,,,2,,0,,,,0,0,,,,,0,,,,0,0,,,,0,,0,,,,0,,,0,0,0,0
11,7,0,,,2,3,,4,2,0,2,,,,1,11,,2,2,2,2,0,4,6,2,1,5,2,,,6,7,0,5,,2,,,,,0,,3,,2,0,0,0,,0,,2,2,,,,5,,0,,,,0,0,,,,,0,,,,0,0,,,,0,,0,,,,0,,,3,0,1,2
13,11,0,,,2,5,,,5,1,2,,,,2,11,,4,,5,7,0,8,6,6,3,5,2,,,7,7,3,,,3,,,,,,,3,,,2,,0,,0,,2,2,,,,5,,2,,,,0,0,,,,,,,,,2,0,,,,0,,0,,,,0,,,3,0,1,2
15,15,1,,,2,5,,,5,2,4,,,,6,13,,7,,7,7,,8,6,6,6,7,,,,12,12,3,,,5,,,,,,,3,,,4,,2,,0,,4,4,,,,5,,2,,,,,1,,,,,,,,,2,2,,,,0,,0,,,,0,,,6,0,1,3
17,16,1,,,2,8,,,5,6,5,,,,6,13,,7,,7,9,,10,9,6,6,7,,,,12,14,4,,,5,,,,,,,3,,,8,,2,,0,,4,6,,,,11,,4,,,,,1,,,,,,,,,3,4,,,,0,,0,,,,3,,,,0,,4
19,19,,,,,11,,,7,8,5,,,,6,15,,9,,9,12,,10,9,8,6,7,,,,14,14,4,,,,,,,,,,3,,,8,,4,,3,,5,6,,,,11,,5,,,,,3,,,,,,,,,6,4,,,,,,0,,,,3,,,,1,,4
21,21,,,,,11,,,8,10,8,,,,10,18,,9,,9,12,,10,11,8,9,10,,,,14,18,4,,,,,,,,,,3,,,,,4,,,,5,9,,,,11,,5,,,,,3,,,,,,,,,9,5,,,,,,0,,,,4,,,,3,,6
23,25,,,,,12,,,12,12,9,,,,,18,,12,,10,12,,11,11,9,9,11,,,,18,21,7,,,,,,,,,,3,,,,,6,,,,7,,,,,,,5,,,,,3,,,,,,,,,9,5,,,,,,0,,,,4,,,,3,,7
25,28,,,,,14,,,12,12,9,,,,,21,,14,,10,12,,15,15,9,12,15,,,,19,21,8,,,,,,,,,,,,,,,6,,,,7,,,,,,,5,,,,,5,,,,,,,,,10,5,,,,,,,,,,7,,,,5,,7
27,31,,,,,14,,,12,12,12,,,,,21,,14,,10,,,15,17,9,16,15,,,,19,24,8,,,,,,,,,,,,,,,8,,,,7,,,,,,,7,,,,,5,,,,,,,,,14,,,,,,,,,,,9,,,,5,,9
29,,,,,,18,,,12,12,13,,,,,27,,16,,12,,,17,,9,16,15,,,,22,24,,,,,,,,,,,,,,,,10,,,,9,,,,,,,9,,,,,,,,,,,,,,14,,,,,,,,,,,9,,,,,,12
31,,,,,,18,,,12,15,13,,,,,28,,18,,12,,,17,,9,19,18,,,,23,24,,,,,,,,,,,,,,,,10,,,,9,,,,,,,11,,,,,,,,,,,,,,17,,,,,,,,,,,10,,,,,,12
33,,,,,,20,,,12,17,15,,,,,28,,18,,12,,,19,,10,23,18,,,,23,,,,,,,,,,,,,,,,,13,,,,10,,,,,,,11,,,,,,,,,,,,,,17,,,,,,,,,,,10,,,,,,12
35,,,,,,24,,,13,18,15,,,,,29,,19,,12,,,21,,10,23,18,,,,27,,,,,,,,,,,,,,,,,13,,,,11,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,12
37,,,,,,24,,,13,18,15,,,,,29,,19,,12,,,21,,11,26,18,,,,29,,,,,,,,,,,,,,,,,13,,,,11,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
39,,,,,,25,,,16,,15,,,,,33,,22,,15,,,25,,11,29,20,,,,29,,,,,,,,,,,,,,,,,16,,,,11,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
41,,,,,,25,,,16,,,,,,,36,,22,,15,,,27,,13,29,20,,,,,,,,,,,,,,,,,,,,,16,,,,11,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
43,,,,,,,,,16,,,,,,,36,,22,,15,,,27,,13,31,20,,,,,,,,,,,,,,,,,,,,,16,,,,11,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
45,,,,,,,,,16,,,,,,,37,,23,,16,,,31,,,31,20,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
47,,,,,,,,,16,,,,,,,37,,23,,16,,,31,,,34,21,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
49,,,,,,,,,16,,,,,,,40,,23,,16,,,31,,,34,21,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
