Mom ID,i3500,i931,i3501,i3504,i3503,i3505,i3508,i3509,i3510,i3510,i3513,i3510,i3503,i3503,i3510,i915,i3510,i3503,i3518,i3519,i3502,i3513,i931,i3510,i3520,i948,i952,i3510,i935,i3519,i3513,i3509,i3523,i3524,i3503,i915,i3509,i3513,i3502,i3527,i3520,i3648,i938,i3646,i3610,i3617,i3506,i3507,i3511,i3648,i938,i3507,i3507,i3512,i3512,i921,i3514,i3507,i3642,i3515,i3514,i3516,i3507,i3606,i3515,i3517,i938,i3642,i3606,i3617,i3517,i3642,i3632,i3646,i941,i3517,i3519,i3646,i3519,i3610,i3519,i3521,i941,i3522,i3519,i933,i3502,i3522,i3525,i3526
Birthdate,38505,38573,38505,38511,38545,38565,38505,38515,38529,38507,38545,38509,38517,38523,38529,38517,38509,38525,38511,38527,38513,38539,38543,38517,38545,38547,38539,38523,38547,38551,38529,38523,38563,38523,38535,38525,38529,38535,38547,38543,38551,38593,38599,38625,38649,38661,38609,38629,38587,38593,38613,38619,38663,38685,38685,38595,38599,38629,38631,38685,38599,38603,38629,38653,38685,38601,38613,38631,38653,38667,38601,38631,38653,38631,38595,38601,38603,38631,38603,38635,38603,38585,38595,38605,38603,38565,38573,38605,38565,38565
ID,i915,i916,i917,i918,i920,i921,i922,i923,i924,i925,i926,i927,i928,i929,i930,i931,i932,i933,i934,i935,i936,i937,i938,i939,i940,i941,i942,i943,i944,i945,i946,i948,i949,i950,i951,i952,i953,i954,i955,i956,i957,i3600,i3601,i3602,i3603,i3604,i3605,i3606,i3607,i3608,i3609,i3610,i3611,i3612,i3613,i3614,i3615,i3616,i3617,i3618,i3619,i3620,i3621,i3622,i3623,i3624,i3625,i3626,i3627,i3628,i3629,i3630,i3631,i3632,i3633,i3634,i3635,i3636,i3637,i3638,i3639,i3640,i3641,i3642,i3643,i3644,i3645,i3646,i3647,i3648
Vial,aa1,aa1,aa2,aa2,aa2,aa2,aa3,aa3,aa3,aa4,aa4,aa5,aa5,aa5,aa5,aa5 (aa11),aa6,aa6,aa7,aa7,aa8,aa8,aa8 (aa14),aa9,aa9,aa10 (aa15),aa11 (aa16),aa12,aa12,aa12,aa12 (aa17),aa13,aa13,aa14,aa14,aa15,aa16,aa19,aa19,aa20,aa20,aa1,aa1,aa1,aa1,aa1,aa2,aa2,aa3,aa3,aa3,aa3,aa3,aa3,aa1,aa4,aa4,aa4,aa4,aa4,aa5,aa5,aa5,aa5,aa5,aa6,aa6,aa6,aa6,aa6,aa7,aa7,aa7,aa8,aa9,aa9,aa9,aa9,aa10,aa10,aa11,aa12,aa12,aa12,aa13,aa14,aa14,aa14,aa15,aa16
Age,1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
1,0.75,0.745,0.775,0.825,0.798,0.84,0.775,0.702,0.75,0.8,0.855,0.8,0.768,0.802,0.775,0.822,0.8,0.826,0.825,0.828,0.756,0.796,0.864,0.826,0.817,0.756,0.755,0.801,0.751,0.84,0.775,0.818,0.678,0.831,0.733,0.819,0.8,0.815,0.722,0.765,0.815,0.831,0.864,0.765,0.84,0.84,0.765,0.84,0.79,0.844,0.79,0.84,0.623,0.815,0.815,0.787,0.84,0.84,0.864,0.84,0.864,0.765,0.84,0.796,0.84,0.864,0.741,0.864,na,0.84,0.84,0.864,0.745,0.815,0.826,0.84,0.79,0.815,0.765,0.84,0.741,0.765,0.836,0.741,0.815,0.741,0.753,0.765,0.84,0.84
3,1.3,1.032,1.125,1.214,0.974,1.292,1.25,1.099,1.184,1.05,1.117,1.275,1.248,1.26,1.1,1.334,1.3,1.007,1.074,1.325,1.285,1.257,1.099,1.328,1.1,1.19,1.269,1.207,0.969,0.996,1.237,1.408,0.765,1.323,0.919,0.972,1.267,1.003,0.895,1.133,1.083,-1,1.16,0.914,0.938,0.994,0.914,1.16,0.908,0.991,0.889,1.086,1.012,-1,-1,-1,1.16,-1,1.037,-1,1.086,1.111,1.086,1.086,-1,1.111,0.765,1.037,1.037,-1,-1,0.889,1.16,1.037,-1,-1,-1,0.988,0.914,1.111,0.79,0.864,0.819,0.998,1.358,1.187,1.212,1.062,1.312,1.099
5,1.55,1.535,-1,1.306,1.506,1.509,1.5,1.307,1.275,1.25,1.355,1.48,-1,-1,1.268,1.683,1.54,1.35,1.269,1.528,1.506,1.506,1.343,1.587,1.55,1.506,1.309,1.534,-1,1.23,1.553,1.719,0.799,1.571,-1,1.475,1.542,1.306,-1,1.362,1.536,-1,1.481,1.284,1.325,1.21,1.358,1.383,1.084,1.129,0.988,1.284,1.432,-1,-1,-1,1.531,-1,1.235,-1,-1,-1,1.309,1.457,-1,-1,-1,1.284,1.21,-1,-1,-1,1.21,1.111,-1,-1,-1,1.111,-1,1.333,-1,0.938,-1,1.358,-1,-1,1.419,1.235,1.537,1.443
7,1.825,1.642,-1,1.344,1.802,1.741,-1,1.54,1.594,1.38,1.654,-1,-1,-1,1.464,1.94,1.753,1.706,1.683,1.712,1.731,1.512,1.653,1.82,1.556,1.755,1.578,1.725,-1,-1,1.868,1.85,0.995,1.85,-1,1.763,1.551,1.698,-1,-1,1.753,-1,1.778,1.457,1.58,1.531,1.58,1.531,-1,1.333,-1,1.556,1.605,-1,-1,-1,1.63,-1,1.481,-1,-1,-1,1.481,1.58,-1,-1,-1,1.284,1.58,-1,-1,-1,1.358,1.309,-1,-1,-1,1.333,-1,1.481,-1,-1,-1,1.679,-1,-1,1.551,1.358,1.666,1.6
9,2.005,1.698,-1,-1,1.915,1.737,-1,1.797,1.844,1.573,1.923,-1,-1,-1,1.731,1.962,1.868,1.809,1.875,1.86,1.851,1.645,1.802,2.096,1.662,1.861,1.808,2.035,-1,-1,1.832,2.09,1.503,1.906,-1,1.762,-1,1.802,-1,-1,1.737,-1,1.819,1.457,1.753,1.852,1.778,1.704,-1,1.556,-1,1.728,1.752,-1,-1,-1,1.956,-1,1.605,-1,-1,-1,1.58,1.704,-1,-1,-1,-1,1.63,-1,-1,-1,1.407,1.531,-1,-1,-1,1.457,-1,1.566,-1,-1,-1,1.778,-1,-1,1.818,1.457,1.676,1.831
11,2.155,1.794,-1,-1,1.899,1.989,-1,1.979,1.791,1.758,2.077,-1,-1,-1,1.985,2.145,-1,1.888,1.986,1.896,2.055,1.696,1.945,2.097,1.884,1.922,1.961,2.045,-1,-1,1.996,2.036,1.717,1.845,-1,1.771,-1,-1,-1,-1,1.936,-1,1.951,-1,1.877,1.742,1.852,1.975,-1,1.679,-1,1.951,1.649,-1,-1,-1,2.049,-1,1.778,-1,-1,-1,1.704,1.886,-1,-1,-1,-1,1.723,-1,-1,-1,1.623,1.778,-1,-1,-1,1.605,-1,1.728,-1,-1,-1,1.852,-1,-1,1.992,1.506,1.848,1.992
13,2.155,1.827,-1,-1,1.911,2.083,-1,-1,1.899,1.87,1.996,-1,-1,-1,1.996,2.1,-1,1.997,-1,2.037,2.144,1.704,2.157,2.125,2.008,2.017,2.025,1.957,-1,-1,2.012,2.073,1.927,-1,-1,1.86,-1,-1,-1,-1,-1,-1,2.148,-1,-1,1.834,-1,1.975,-1,1.802,-1,1.951,1.877,-1,-1,-1,2.049,-1,1.919,-1,-1,-1,1.778,1.827,-1,-1,-1,-1,-1,-1,-1,-1,1.704,1.881,-1,-1,-1,1.634,-1,1.778,-1,-1,-1,1.975,-1,-1,1.951,1.679,1.881,1.932
15,2.161,1.827,-1,-1,1.911,2.09,-1,-1,2.074,1.938,2.155,-1,-1,-1,2.074,2.231,-1,2.084,-1,2.105,2.114,-1,2.082,2.198,2.034,2.135,2.039,-1,-1,-1,2.099,2.136,1.908,-1,-1,2.112,-1,-1,-1,-1,-1,-1,2.148,-1,-1,2,-1,na,-1,2.043,-1,2.025,2.016,-1,-1,-1,2.099,-1,1.951,-1,-1,-1,-1,1.951,-1,-1,-1,-1,-1,-1,-1,-1,1.802,2.049,-1,-1,-1,1.728,-1,1.827,-1,-1,-1,2.099,-1,-1,2.074,1.778,1.86,1.985
17,2.205,-1,-1,-1,1.935,2.062,-1,-1,2.124,2.101,2.171,-1,-1,-1,2.15,2.237,-1,2.156,-1,2.148,2.15,-1,2.105,2.193,2.098,2.095,2.085,-1,-1,-1,2.143,2.242,1.968,-1,-1,2.257,-1,-1,-1,-1,-1,-1,2.148,-1,-1,2.145,-1,2.148,-1,2.025,-1,2.049,2.099,-1,-1,-1,2.198,-1,1.852,-1,-1,-1,-1,1.975,-1,-1,-1,-1,-1,-1,-1,-1,1.778,2.198,-1,-1,-1,1.704,-1,1.827,-1,-1,-1,2.222,-1,-1,-1,1.827,-1,2.17
