Mom ID,i3518,i919,i3516,i3530,i3510,i3513,i924,i3533,i3526,i3511,i3524,i3535,i3533,i3503,i931,i941,i3537,i3538,i3502,i3510,i915,i3539,i3513,i3526,i3527,i915,i3502,i3510,i3519,i3523,i935,i948,i3513,i3524,i3501,i3527,i915,i3513,i3530,i3530,i3530,i3523,i3521,i3505,i3528,i3617,i3529,i3617,i3514,i3506,i3642,i3642,i3531,i3532,i3506,i3532,i3617,i3534,i916,i3536,i3511
Birthdate,38511,38535,38569,38569,38509,38539,38543,38509,38565,38577,38509,38529,38515,38535,38543,38579,38515,38519,38547,38517,38531,38535,38517,38527,38579,38517,38579,38523,38527,38543,38547,38547,38523,38523,38535,38543,38525,38535,38543,38537,38543,38549,38585,38597,38635,38649,38661,38671,38609,38619,38641,38645,38657,38665,38609,38659,38667,38667,38587,38667,38587
ID,i958,i959,i960,i961,i962,i963,i964,i965,i966,i967,i968,i969,i971,i972,i973,i974,i975,i976,i977,i978,i979,i980,i981,i982,i983,i984,i985,i986,i987,i988,i989,i990,i991,i992,i993,i994,i995,i996,i997,i998,i999,i1000,i3649,i3650,i3651,i3652,i3653,i3654,i3655,i3656,i3657,i3658,i3659,i3660,i3661,i3662,i3663,i3664,i3665,i3666,i3667
Vial,b1,b1,b1,b2,b3,b3,b3,b4,b4,b4,b5,b5,b6,b6,b6,b6,b7,b8,b8 (b14),b9,b9,b9,b10,b10,b10,b11,b11,b12,b12,b12,b12,b12 (b13),b13,b14,b14,b14,b15,b18,b18,b19,b20,b20,b1,b1,b1,b1,b1,b1,b2,b2,b2,b2,b2,b2,b3,b3,b3,b4,b5,b5,b7
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
1,0.775,0.761,0.838,0.826,0.8,0.788,0.815,0.8,0.815,0.827,0.8,0.675,0.824,0.771,0.815,0.761,0.813,0.757,0.767,0.789,0.795,0.714,0.768,0.817,0.822,0.783,0.801,0.877,0.813,0.815,0.755,0.761,0.797,0.825,0.779,0.79,0.814,0.823,0.79,0.748,0.741,0.769,0.79,0.777,0.84,0.815,0.84,0.785,0.815,0.84,0.815,0.84,0.84,0.815,0.79,0.84,0.84,0.864,0.716,0.716,0.815
3,0.84,0.989,1.074,1.04,1.275,1.003,1.156,0.975,1.056,1.088,1.075,1.049,1.256,0.902,1.038,1.003,1.181,0.977,0.901,1.165,0.797,0.873,1.193,1,1.067,1.261,0.942,1.314,1.225,1.014,0.94,0.938,1.242,1.259,0.945,0.978,1.138,1.055,1.028,0.933,1.067,0.963,0.988,1.235,0.963,0.988,1.03,-1,-1,-1,-1,0.988,1.136,1.086,0.864,1.111,1.086,1.037,0.922,1.235,1.124
5,1.292,1.22,1.216,1.498,1.519,-1,1.439,1.347,1.116,1.574,1.636,1.233,1.43,1.213,1.203,1.243,1.361,1.578,1.062,1.384,-1,1.431,1.304,1.604,1.308,1.572,-1,-1,1.597,-1,-1,1.531,1.584,1.556,-1,-1,1.625,-1,-1,1.463,-1,-1,-1,1.556,1.16,1.382,1.358,-1,-1,-1,-1,-1,1.111,1.457,0.864,-1,1.6,1.253,1.172,1.556,1.409
7,1.42,1.683,1.727,1.729,1.831,-1,1.752,1.552,-1,1.524,1.788,1.509,1.656,1.399,1.648,1.654,1.447,1.766,1.42,1.572,-1,1.635,-1,1.776,-1,1.832,-1,-1,1.698,-1,-1,1.81,1.75,1.825,-1,-1,1.863,-1,-1,1.778,-1,-1,-1,1.679,1.358,1.407,1.531,-1,-1,-1,-1,-1,-1,1.659,-1,-1,1.616,1.577,1.711,1.599,1.593
9,1.761,1.852,1.829,1.871,1.941,-1,1.827,1.663,-1,1.704,2.023,1.777,1.911,-1,1.901,1.901,1.667,1.776,1.663,1.796,-1,1.877,-1,1.757,-1,2.051,-1,-1,1.914,-1,-1,2.007,1.831,1.967,-1,-1,1.85,-1,-1,1.959,-1,-1,-1,1.704,1.381,1.877,1.481,-1,-1,-1,-1,-1,-1,1.822,-1,-1,1.753,1.877,1.674,1.951,1.887
11,-1,1.899,-1,1.995,2.122,-1,1.844,1.784,-1,1.951,2.108,1.977,2.054,-1,2.018,1.919,1.862,1.925,1.802,1.932,-1,1.769,-1,1.97,-1,2.066,-1,-1,1.938,-1,-1,2.025,1.924,2.031,-1,-1,1.978,-1,-1,2.035,-1,-1,-1,1.925,1.481,1.877,-1,-1,-1,-1,-1,-1,-1,1.877,-1,-1,1.901,1.867,1.758,2.069,1.926
13,-1,1.934,-1,1.976,2.246,-1,1.938,1.976,-1,2.134,2.078,2.017,2.044,-1,1.971,2.045,1.885,2.066,1.812,2,-1,1.985,-1,2.045,-1,2,-1,-1,-1,-1,-1,2.136,2.078,-1,-1,-1,2.091,-1,-1,2.058,-1,-1,-1,2.074,1.58,-1,-1,-1,-1,-1,-1,-1,-1,1.984,-1,-1,2.148,2.049,2.074,2.025,1.975
15,-1,2.199,-1,2.035,2.226,-1,2.025,2.18,-1,2.244,2.231,2.025,2.075,-1,2.099,2.083,1.95,2.024,1.919,-1,-1,2.059,-1,2.105,-1,2.198,-1,-1,-1,-1,-1,2.128,2.045,-1,-1,-1,2.273,-1,-1,2.123,-1,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.123,-1,-1,2.296,2.074,2.173,2.173,2.074
17,-1,2.049,-1,2.148,2.327,-1,2.013,2.079,-1,2.168,2.166,2.116,2.195,-1,2.092,2.097,1.954,2.044,2.046,-1,-1,2,-1,2.173,-1,2.227,-1,-1,-1,-1,-1,2.209,2.198,-1,-1,-1,2.258,-1,-1,2.182,-1,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.123,-1,-1,-1,-1,2.173,2.321,2.074
