Mom ID,i3540,i933,i3518,i931,i926,i3502,i3533,i3526,i3524,i3504,i3525,i3513,i924,i3533,i925,i931,i3502,i3505,i933,i3524,i941,i3539,i3513,i942,i936,i3502,i915,i3503,i3502,i3513,i3501,i3523,i3524,i925,i3527,i3502,i3505,i3506,i3610,i3534,i3512,i3514,i3528,i3642,i3502,i3530,i3511,i3505,i3532,i915,i3503,i3513,i3502,i3530,i3526,i3529,i3536
Birthdate,38505,38549,38509,38537,38569,38557,38509,38527,38509,38519,38559,38539,38543,38515,38531,38543,38563,38571,38579,38515,38579,38517,38535,38579,38531,38579,38517,38523,38579,38523,38535,38549,38523,38525,38543,38543,38587,38619,38635,38671,38679,38609,38635,38645,38569,38573,38587,38597,38659,38531,38535,38539,38547,38559,38565,38661,38667
ID,i1001,i1002,i1003,i1004,i1005,i1006,i1007,i1008,i1009,i1010,i1011,i1012,i1013,i1014,i1015,i1016,i1017,i1018,i1019,i1020,i1021,i1022,i1023,i1024,i1025,i1026,i1027,i1028,i1029,i1030,i1031,i1032,i1033,i1034,i1035,i1036,i3668,i3669,i3670,i3671,i3672,i3673,i3674,i3675,i3676,i3677,i3678,i3679,i3680,i3681,i3682,i3683,i3684,i3685,i3686,i3687,i3688
Vial,c1,c1,c2,c2,c2,c3,c4,c4,c5,c5,c5,c6,c6,c7,c7,c7,c7,c7,c7,c8,c8,c9,c9 (c16),c9,c10,c10,c11,c12,c12,c13,c13,c13,c14,c15,c18,c19,c1,c1,c1,c1,c1,c2,c2,c2,c3,c3,c3,c3,c3,c4,c4,c4,c4,c4,c4,c4,c5
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,,0,,0,0,0,
7,2,0,1,0,0,0,0,,0,3,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,0,0,,0,,0,0,,0,,0,,0,0,,,0,,,0,0,
9,2,0,2,0,0,0,0,,,3,0,,0,0,0,0,,,0,0,0,3,0,,4,,4,2,,1,,,4,0,,0,0,,0,,,,,0,,0,,0,0,,,,,,0,0,
11,2,0,4,0,4,1,0,,,6,0,,0,2,2,0,,,0,2,0,4,1,,4,,4,2,,1,,,4,2,,0,2,,0,,,,,0,,,,0,0,,,,,,0,0,
13,3,0,4,0,4,,0,,,,0,,2,2,,0,,,0,2,0,9,4,,4,,7,3,,,,,6,2,,0,7,,0,,,,,1,,,,4,2,,,,,,0,0,
15,3,0,6,0,6,,0,,,,0,,2,7,,0,,,0,2,0,9,4,,4,,10,7,,,,,6,2,,,7,,2,,,,,1,,,,4,4,,,,,,0,0,
17,3,0,8,0,8,,,,,,1,,3,,,0,,,0,2,0,10,6,,4,,10,7,,,,,10,2,,,8,,2,,,,,4,,,,4,4,,,,,,2,0,
