Mom ID,i3541,i3526,i948,i924,i948,i926,i3502,i3504,i3513,i3543,i952,i946,i3505,i3513,i3502,i3526,i3518,i3503,i925,i3520,i3502,i3524,i931,i3523,i3505,i3539,i3503,i936,i3544,i3527,i3501,i3545,i3527,i3502,i3530,i915,i3513,i3501,i3615,i3528,i3617,i3532,i3542,i3507,i3529,i3534,i3532,i941,i3536,i938
Birthdate,38503,38527,38537,38543,38547,38569,38513,38519,38545,38529,38533,38537,38581,38515,38521,38569,38511,38541,38525,38545,38543,38517,38537,38543,38571,38517,38525,38531,38517,38533,38519,38525,38533,38527,38527,38523,38529,38535,38609,38635,38649,38655,38659,38619,38661,38667,38665,38585,38667,38589
ID,i1037,i1038,i1039,i1040,i1041,i1042,i1043,i1044,i1045,i1046,i1047,i1048,i1049,i1050,i1051,i1052,i1053,i1054,i1055,i1056,i1057,i1058,i1059,i1060,i1061,i1062,i1063,i1064,i1065,i1066,i1067,i1068,i1069,i1070,i1072,i1073,i1074,i1075,i3689,i3690,i3691,i3692,i3693,i3694,i3695,i3696,i3697,i3698,i3699,i3700
Vial,d1,d1,d1,d1,d1,d1,d2,d2,d2,d3,d3,d3,d3,d4,d4,d4,d5,d5 (d16),d6 (d15),d7,d7 (d14),d8,d8,d8,d8,d9,d9,d9,d10,d10,d11,d11,d11,d12,d13,d14,d16,d18,d1,d1,d1,d1,d2,d3,d3,d3,d4,d5,d5,d7
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
7,1,0,,,0,0,,1,0,,,0,0,,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0
9,1,0,,,0,0,,1,0,,,0,0,,0,0,0,0,0,,0,0,,0,,,,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,,0,0,0,0,0
11,3,,,,0,0,,2,0,,,0,0,,0,0,0,0,0,,0,3,,0,,,,0,0,0,,,0,2,0,0,,0,0,,,2,0,0,,0,0,0,0,0
13,4,,,,0,0,,4,0,,,1,0,,0,1,0,0,0,,2,3,,0,,,,0,,0,,,0,2,0,0,,0,3,,,2,2,0,,0,0,0,0,0
15,4,,,,1,0,,4,0,,,3,1,,1,1,0,0,0,,2,4,,1,,,,0,,0,,,0,2,0,0,,0,3,,,2,2,0,,0,2,1,0,0
17,4,,,,1,1,,4,0,,,3,1,,1,3,0,0,0,,4,4,,1,,,,0,,0,,,0,2,0,0,,0,,,,3,3,0,,3,2,1,3,0
19,,,,,2,1,,7,1,,,3,2,,2,3,0,0,0,,4,4,,1,,,,0,,1,,,3,2,1,0,,0,,,,3,5,0,,,5,1,3,
21,,,,,,1,,7,1,,,3,3,,2,3,0,0,0,,5,4,,2,,,,0,,1,,,3,2,1,,,,,,,3,5,0,,,5,3,,
23,,,,,,2,,,1,,,5,3,,3,3,0,0,0,,5,,,2,,,,1,,1,,,3,3,1,,,,,,,5,6,0,,,,3,,
25,,,,,,2,,,2,,,5,4,,3,3,0,0,0,,7,,,2,,,,1,,1,,,3,3,1,,,,,,,5,6,0,,,,3,,
27,,,,,,4,,,2,,,5,4,,3,3,0,0,0,,8,,,,,,,1,,1,,,3,,1,,,,,,,7,9,1,,,,3,,
29,,,,,,,,,2,,,5,4,,3,3,2,1,0,,8,,,,,,,1,,1,,,3,,2,,,,,,,10,,1,,,,4,,
31,,,,,,,,,2,,,6,4,,3,3,2,1,1,,8,,,,,,,1,,1,,,3,,2,,,,,,,10,,1,,,,4,,
33,,,,,,,,,2,,,6,,,3,3,2,1,1,,8,,,,,,,1,,,,,3,,,,,,,,,,,2,,,,4,,
35,,,,,,,,,2,,,6,,,3,3,2,2,1,,8,,,,,,,1,,,,,4,,,,,,,,,,,,,,,4,,
37,,,,,,,,,2,,,6,,,3,3,2,2,1,,10,,,,,,,2,,,,,4,,,,,,,,,,,,,,,5,,
39,,,,,,,,,2,,,7,,,3,3,2,2,1,,10,,,,,,,2,,,,,4,,,,,,,,,,,,,,,5,,
41,,,,,,,,,2,,,7,,,3,3,2,2,1,,10,,,,,,,2,,,,,4,,,,,,,,,,,,,,,5,,
43,,,,,,,,,2,,,7,,,3,3,2,,1,,10,,,,,,,2,,,,,4,,,,,,,,,,,,,,,5,,
45,,,,,,,,,2,,,,,,3,3,2,,1,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,5,,
47,,,,,,,,,2,,,,,,3,3,2,,1,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,5,,
49,,,,,,,,,2,,,,,,,3,,,1,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,5,,
51,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,5,,
53,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,
55,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,
