Mom ID,i3541,i931,i3526,i933,i931,i931,i3508,i935,i938,i3510,i3537,i915,i3510,i3503,i3513,i3530,i931,i3502,i3511,i938,i3516,i3511,i3513,i3530,i931,i3547,i3502,i3525,i950,i3523,i941,i3519,na,i3548,i942,i915,i931,i3502,i3509,i3519,i950,i3503,i3530,i3509,i3502,i3509,i3502,i3513,i3530,i925,i950,i3530,i3530,i3502,i3502,i3502,i3615,i3506,i3532,i921,i3507,i3546,i3534,i3512,i3526,i933,i3532,i3606,i3530,i938,i921,i949,i941,i3511
Birthdate,38503,38527,38555,38565,38577,38581,38505,38557,38579,38509,38509,38525,38511,38517,38529,38563,38577,38513,38555,38561,38569,38577,38515,38533,38557,38565,38569,38577,38531,38543,38579,38527,38557,38571,38579,38517,38557,38579,38519,38527,38531,38541,38553,38523,38527,38535,38579,38523,38533,38525,38531,38527,38533,38537,38537,38543,38609,38619,38655,38585,38619,38661,38667,38679,38555,38583,38665,38669,38583,38589,38585,38589,38585,38595
ID,i1076,i1077,i1078,i1079,i1080,i1081,i1082,i1083,i1084,i1085,i1086,i1087,i1089,i1090,i1091,i1092,i1093,i1094,i1095,i1096,i1097,i1098,i1099,i1100,i1101,i1102,i1103,i1104,i1105,i1106,i1107,i1108,i1109,i1110,i1111,i1112,i1113,i1114,i1115,i1116,i1117,i1118,i1119,i1120,i1121,i1122,i1123,i1124,i1125,i1126,i1127,i1128,i1129,i1130,i1131,i1132,i3701,i3702,i3703,i3704,i3705,i3706,i3707,i3708,i3709,i3710,i3711,i3712,i3713,i3714,i3715,i3716,i3717,i3718
Vial,e1,e1,e1,e1,e1,e1,e2,e2,e2,e3,e4,e4,e5,e5,e5,e5,e5,e6,e6,e6,e6,e6,e7,e7,e7,e7,e7,e7,e8,e8 (e19),e8,e9,e9,e9,e9,e10,e10,e10,e11,e11,e11,e11,e11,e12,e12,e12 (e18),e12,e13,e13,e14,e14,e15,e16,e16,e17,e20,e1,e1,e1,e2,e2,e2,e2,e2,e3,e3,e3,e3,e4,e4,e5,e5,e6,e7
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
1.000,0.800,0.798,0.800,0.790,0.762,0.793,0.825,0.729,0.835,0.800,0.875,0.789,0.800,0.757,0.750,0.769,0.771,0.740,0.788,0.776,0.801,0.840,0.800,0.803,0.732,0.840,0.843,0.864,0.727,0.765,0.774,0.788,0.751,0.836,0.797,0.798,0.735,0.789,0.940,0.797,0.709,0.782,0.770,0.819,0.835,0.760,0.767,0.802,0.833,0.781,0.734,0.829,0.813,0.724,0.803,0.840,0.765,0.840,0.864,0.815,0.840,0.864,0.840,0.840,0.805,0.803,0.864,0.840,0.798,0.815,0.790,0.813,0.840,0.840
3.000,1.025,1.000,0.988,0.933,0.898,0.941,1.150,0.940,0.915,1.250,1.050,1.041,0.877,1.184,0.981,0.938,0.952,1.029,1.037,0.985,0.988,1.051,1.201,1.053,0.922,0.996,1.062,1.069,0.904,0.966,0.928,1.275,0.727,1.095,0.939,1.098,0.887,1.006,1.039,1.333,0.916,0.988,1.003,0.957,1.000,0.919,0.974,0.991,1.025,0.979,0.957,1.000,1.010,0.949,1.019,1.076,1.012,1.062,0.988,0.988,1.037,1.067,1.037,0.963,1.012,1.284,0.988,0.841,1.062,1.014,0.889,0.926,1.037,1.077
5.000,1.250,1.243,1.407,-1.000,-1.000,0.938,1.450,1.140,0.986,1.445,1.303,1.225,-1.000,1.407,1.127,1.000,0.956,1.192,1.151,1.037,1.473,1.130,1.419,1.241,1.135,-1.000,1.302,-1.000,1.114,1.177,0.960,1.506,-1.000,-1.000,-1.000,1.235,0.994,1.175,-1.000,-1.000,1.147,1.125,1.432,-1.000,1.540,1.413,1.084,1.481,1.259,1.000,1.353,1.490,-1.000,1.034,1.429,1.363,1.210,1.136,1.136,1.071,-1.000,1.481,-1.000,0.988,1.187,1.481,-1.000,-1.000,1.333,1.181,-1.000,1.064,1.159,1.333
7.000,1.500,1.372,1.389,-1.000,-1.000,1.086,1.650,1.400,-1.000,1.656,1.433,1.449,-1.000,1.651,1.171,1.086,-1.000,1.338,-1.000,-1.000,-1.000,-1.000,1.579,1.487,1.232,-1.000,-1.000,-1.000,1.354,1.466,1.062,1.591,-1.000,-1.000,-1.000,1.430,1.177,-1.000,-1.000,-1.000,1.208,-1.000,1.375,-1.000,1.538,1.681,1.235,1.750,1.491,-1.000,1.519,1.596,-1.000,1.457,1.827,1.603,1.210,-1.000,1.333,1.223,-1.000,-1.000,-1.000,1.062,1.405,1.757,-1.000,-1.000,-1.000,1.363,-1.000,1.274,1.196,1.457
9.000,1.650,1.569,1.484,-1.000,-1.000,1.305,1.770,1.481,-1.000,1.833,1.566,-1.000,-1.000,1.788,1.315,1.037,-1.000,1.499,-1.000,-1.000,-1.000,-1.000,1.744,1.581,-1.000,-1.000,-1.000,-1.000,1.593,1.506,1.259,1.590,-1.000,-1.000,-1.000,1.616,1.284,-1.000,-1.000,-1.000,1.205,-1.000,1.566,-1.000,1.636,1.802,1.481,1.769,1.511,-1.000,1.529,1.620,-1.000,1.620,1.800,1.704,-1.000,-1.000,1.504,1.336,-1.000,-1.000,-1.000,,1.643,1.743,-1.000,-1.000,-1.000,1.424,-1.000,1.369,1.269,1.506
11.000,1.739,1.738,-1.000,-1.000,-1.000,1.420,1.766,1.591,-1.000,1.846,-1.000,-1.000,-1.000,-1.000,1.416,-1.000,-1.000,1.653,-1.000,-1.000,-1.000,-1.000,1.727,1.728,-1.000,-1.000,-1.000,-1.000,1.602,1.926,-1.000,1.663,-1.000,-1.000,-1.000,1.781,1.494,-1.000,-1.000,-1.000,-1.000,-1.000,1.741,-1.000,1.866,1.864,1.532,-1.000,1.926,-1.000,1.628,1.729,-1.000,1.835,1.880,1.778,-1.000,-1.000,1.679,1.414,-1.000,-1.000,-1.000,,1.728,1.873,-1.000,-1.000,-1.000,1.704,-1.000,1.605,1.301,-1.000
