Mom ID,i946,i3530,i924,i3526,i941,i3520,i3511,i3523,i931,i3527,i3530,i3526,i3526,i3511,i3530,i933,i931,i3551,i3527,i3530,i935,i3549,i938,i3514,i3542,i3512,i3505,i3601,i3546,i3606,i3512,i3530,i3522,i3550,i3529,i3505,i3511,i938
Birthdate,38549,38559,38567,38551,38561,38551,38561,38563,38567,38553,38553,38569,38555,38555,38563,38571,38557,38557,38569,38573,38589,38595,38613,38619,38659,38685,38597,38611,38661,38669,38685,38583,38599,38661,38667,38587,38587,38589
ID,i1133,i1134,i1135,i1136,i1137,i1138,i1139,i1140,i1141,i1144,i1146,i1147,i1148,i1149,i1150,i1151,i1153,i1154,i1156,i1158,i3719,i3720,i3721,i3722,i3723,i3724,i3725,i3726,i3727,i3728,i3729,i3730,i3731,i3732,i3733,i3734,i3735,i3736
Vial,F1,F1,F1,F2,F2,F3,F3,F3,F3,F5,F6,F6,F7,F8,F8,F8,F10,F11,F12,F13,f1,f1,f1,f1,f1,f1,f2,f2,f2,f2,f2,f3,f3,f3,f3,f4,f5,f7
Age,1,2,3,4,5,6,7,8,9,12,14,15,16,17,18,19,21,22,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
