Mom ID,I946,i3511,i931,i931,i3516,i931,i935,i3526,i946,i3511,i3530,i3530,i3502,i931,i948,i3523,i3502,i931,i3526,i3526,na,i3530,i3530,i3525,i931,i926,i3552,i3551,i3530,i3552,i3527,i3530,i3527,i3527,i931,i3505,i941,i3601,i3542,i3532,i3529,i3622,i3515,i938,i933,i3516,i3546,i3631,i3511,i3505,i3550,i3606,i933,i935,i949,i938,i3549,i3511,i3505,i3549
Birthdate,38553,38561,38573,38551,38563,38567,38573,38551,38567,38553,38553,38559,38569,38577,38553,38563,38573,38577,38555,38569,38555,38563,38573,38577,38557,38571,38579,38557,38563,38579,38557,38573,38557,38571,38567,38587,38595,38611,38659,38665,38667,38679,38685,38585,38589,38597,38661,38679,38587,38597,38661,38669,38589,38589,38581,38589,38595,38577,38581,38595
ID,i1159,i1160,i1161,i1164,i1165,i1166,i1167,i1168,i1169,i1170,i1171,i1172,i1173,i1174,i1175,i1176,i1177,i1178,i1180,i1183,i1184,i1185,i1186,i1187,i1188,i1189,i1190,i1191,i1192,i1193,i1194,i1195,i1196,i1197,i3800,i3801,i3802,i3803,i3804,i3805,i3806,i3807,i3808,i3809,i3810,i3811,i3812,i3813,i3814,i3815,i3816,i3817,i3818,i3819,i3820,i3821,i3822,i3823,i3824,i3825
Vial,G1,G1,G1,G2,G2,G2,G2,G3,G3,G4,G5,G5,G5,G5,G6,G6,G6,G6,G7,G8,G9,G9,G9,G9,G10,G10,G10,G11,G11,G11,G12,G12,G13,G13,g1,g1,g1,g1,g1,g1,g1,g1,g1,g2,g2,g2,g2,g2,g3,g3,g3,g3,g4,g5,g6,g6,g6,g7,g9,g9
Age,1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
1,0.821,0.79,0.771,0.765,0.72,0.787,0.74,0.815,0.825,0.774,0.771,0.809,0.841,0.747,0.811,0.828,0.74,0.756,0.792,0.777,0.814,0.688,0.781,0.873,0.731,0.758,0.803,0.813,0.771,0.826,0.796,0.779,0.809,0.789,0.823,0.79,0.821,0.765,0.84,0.815,0.815,0.741,0.84,0.79,0.78,1.029,0.864,0.815,0.815,0.827,0.84,0.84,0.791,0.843,0.812,0.821,0.816,0.827,0.794,0.822
3,1.037,0.92,0.988,1.16,-1,0.89,0.988,1.086,0.895,0.918,-1,0.982,0.938,0.903,0.925,0.864,0.963,0.914,0.937,0.963,-1,0.79,0.988,0.91,0.86,1.01,0.996,-1,0.988,1.296,1,-1,0.834,-1,1.015,0.968,0.927,0.79,0.963,-1,0.963,0.963,,0.864,0.836,1.136,1.026,0.963,1.034,0.988,0.96,-1,0.869,0.888,0.94,-1,0.993,0.997,-1,0.832
5,1.185,0.815,1.086,1.253,-1,-1,1.135,1.254,0.963,1.1,-1,1.097,1.141,1.014,1.044,0.868,-1,-1,1.079,1.112,-1,0.867,-1,-1,0.996,-1,-1,-1,1.062,1.309,1.202,-1,-1,-1,-1,-1,0.963,0.84,0.953,-1,0.97,-1,,-1,0.809,1.235,1.235,1.16,1.111,1.086,1.136,-1,0.862,0.969,0.963,-1,1.037,1.002,-1,-1
7,1.352,0.823,1.116,1.303,-1,-1,1.181,1.42,0.974,1.221,-1,-1,1.358,1.143,1.189,0.904,-1,-1,1.285,1.259,-1,0.978,-1,-1,1.185,-1,-1,-1,1.103,1.358,1.387,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.947,-1,,-1,-1,1.235,1.235,1.235,1.112,1.086,-1,-1,-1,0.964,0.963,-1,0.963,0.986,-1,-1
9,1.424,1.015,-1,1.286,-1,-1,1.195,1.434,1.062,1.238,-1,-1,-1,-1,1.193,0.938,-1,-1,1.318,1.111,-1,1.086,-1,-1,1.16,-1,-1,-1,1.086,-1,1.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.235,1.235,,1.138,1.111,-1,-1,-1,-1,-1,-1,1.012,0.988,-1,-1
11,1.398,-1,-1,-1,-1,-1,1.177,1.552,1.071,1.284,-1,-1,-1,-1,-1,-1,-1,-1,1.309,1.144,-1,-1,-1,-1,1.26,-1,-1,-1,-1,-1,1.615,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.238,1.302,,-1,-1,-1,-1,-1,-1,-1,-1,1.037,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,1.576,1.11,1.284,-1,-1,-1,-1,-1,-1,-1,-1,1.33,1.155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.284,1.254,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,1.605,1.103,1.273,-1,-1,-1,-1,-1,-1,-1,-1,1.375,1.163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.284,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,1.113,1.327,-1,-1,-1,-1,-1,-1,-1,-1,1.358,1.185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.284,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.358,-1,-1,-1,-1,-1,-1,-1,-1,1.352,1.185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.284,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.358,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.284,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.457,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.511,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.503,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.536,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
