Mom ID,i931,i931,i948,i938,i948,i931,i933,i933,i940,i942,i931,i3604,i3604,i941,i938,i921,i938,i938
Birthdate,38553,38567,38553,38567,38553,38573,38555,38555,38555,38555,38581,38677,38677,38585,38599,38607,38585,38607
ID,i1198,i1199,i1200,i1201,i1202,i1203,i1204,i1205,i1206,i1207,i1209,i3736,i3737,i3738,i3739,i3740,i3741,i3742
Vial,MAA1,MAA1,MAA2,MAA2,MAA3,MAA3,MAA4,MAA5,MAA6,MAA7,MAA8,maa1,maa2,maa3,maa3,maa3,maa4,maa4
Age,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0
5,,0,0,0,0,,0,0,0,,,0,0,,0,,,0
7,,0,,0,0,,6,5,0,,,0,,,,,,0
9,,0,,0,3,,6,5,1,,,0,,,,,,0
11,,0,,0,3,,8,8,3,,,,,,,,,5
13,,3,,5,3,,11,8,6,,,,,,,,,7
15,,3,,5,5,,15,8,6,,,,,,,,,
17,,4,,5,5,,15,10,9,,,,,,,,,
19,,6,,7,,,15,10,11,,,,,,,,,
21,,6,,7,,,17,16,11,,,,,,,,,
23,,6,,8,,,17,16,12,,,,,,,,,
25,,6,,8,,,17,19,12,,,,,,,,,
27,,6,,8,,,,14,,,,,,,,,,
29,,6,,8,,,,14,,,,,,,,,,
31,,8,,9,,,,14,,,,,,,,,,
33,,8,,9,,,,19,,,,,,,,,,
35,,8,,9,,,,19,,,,,,,,,,
37,,8,,9,,,,20,,,,,,,,,,
39,,8,,9,,,,21,,,,,,,,,,
41,,8,,9,,,,21,,,,,,,,,,
43,,10,,9,,,,,,,,,,,,,,
45,,10,,9,,,,,,,,,,,,,,
47,,10,,9,,,,,,,,,,,,,,
49,,10,,9,,,,,,,,,,,,,,
51,,10,,9,,,,,,,,,,,,,,
53,,,,9,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,
