Mom ID,i931,i931,i948,i938,i948,i931,i933,i933,i940,i942,i931,i3604,i3604,i941,i938,i921,i938,i938
Birthdate,38553,38567,38553,38567,38553,38573,38555,38555,38555,38555,38581,38677,38677,38585,38599,38607,38585,38607
ID,i1198,i1199,i1200,i1201,i1202,i1203,i1204,i1205,i1206,i1207,i1209,i3736,i3737,i3738,i3739,i3740,i3741,i3742
Vial,MAA1,MAA1,MAA2,MAA2,MAA3,MAA3,MAA4,MAA5,MAA6,MAA7,MAA8,maa1,maa2,maa3,maa3,maa3,maa4,maa4
Age,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19
1,0.78,0.807,0.822,0.788,0.797,0.766,0.822,0.832,0.718,0.811,0.768,0.803,0.802,0.79,0.84,1.002,0.84,0.811
3,0.989,1.17,1.002,0.938,1,1.041,1.086,1.062,1.012,-1,-1,0.889,0.815,1.037,1.037,-1,0.963,1.086
5,-1,1.374,1.062,1.023,1.58,-1,1.704,1.667,1.288,-1,-1,0.938,0.84,-1,1.235,-1,-1,1.235
7,-1,1.608,-1,1.432,1.743,-1,1.91,1.866,1.54,-1,-1,1.111,-1,-1,-1,-1,-1,1.481
9,-1,1.882,-1,1.732,1.935,-1,1.934,1.909,1.71,-1,-1,1.259,-1,-1,-1,-1,-1,1.728
11,-1,2.091,-1,1.999,1.932,-1,1.975,1.951,1.827,-1,-1,,-1,-1,-1,-1,-1,2.049
13,-1,2.15,-1,2.076,1.877,-1,2.214,2.053,2.119,-1,-1,,-1,-1,-1,-1,-1,2.123
15,-1,2.105,-1,2.123,2.219,-1,2.236,2.054,2.068,-1,-1,,-1,-1,-1,-1,-1,-1
17,-1,2.14,-1,2.202,2.203,-1,2.224,2.056,2.188,-1,-1,,-1,-1,-1,-1,-1,-1
19,-1,2.296,-1,2.321,-1,-1,2.077,2.117,2.156,-1,-1,,-1,-1,-1,-1,-1,-1
21,-1,2.296,-1,2.321,-1,-1,2.301,2.276,1.865,-1,-1,,-1,-1,-1,-1,-1,-1
23,-1,2.309,-1,2.392,-1,-1,2.302,2.295,2.133,-1,-1,,-1,-1,-1,-1,-1,-1
25,-1,2.291,-1,2.329,-1,-1,2.359,2.421,2.152,-1,-1,,-1,-1,-1,-1,-1,-1
27,-1,2.301,-1,2.361,-1,-1,-1,2.422,-1,-1,-1,,-1,-1,-1,-1,-1,-1
29,-1,2.195,-1,2.286,-1,-1,-1,na,-1,-1,-1,,-1,-1,-1,-1,-1,-1
31,-1,2.218,-1,2.342,-1,-1,-1,2.494,-1,-1,-1,,-1,-1,-1,-1,-1,-1
