Mom ID,i998,i959,i977,i998,i980,i977,i998,i990,i998,i964,i990,i977,i977,i961,i3650,i3650,i967,i3664,i967,i3664,i3650,i967,i967,i3650,i974,i967,i967,i967,i967,i3665,i974,i967,i967,i974,i990,i967,i967,i967,i3665,i967,i967,i967,i967
Birthdate,38555,38567,38577,38555,38567,38577,38555,38561,38555,38563,38567,38577,38577,38601,38609,38619,38635,38681,38635,38681,38609,38591,38597,38609,38593,38597,38601,38611,38619,38621,38593,38597,38619,38593,38597,38611,38615,38601,38621,38601,38611,38615,38615
ID,i1210,i1212,i1213,i1214,i1216,i1217,i1218,i1219,i1220,i1221,i1224,i1225,i1226,i3743,i3744,i3745,i3746,i3747,i3748,i3749,i3750,i3751,i3752,i3753,i3754,i3755,i3756,i3757,i3758,i3759,i3760,i3761,i3762,i3763,i3764,i3765,i3766,i3767,i3768,i3769,i3770,i3771,i3772
Vial,MB1,MB1,MB1,MB2,MB2,MB2,MB3,MB3,MB4,MB4,MB6,MB6,MB7,mb1,mb1,mb1,mb1,mb1,mb2,mb2,mb3,mb4,mb4,mb4,mb5,mb5,mb6,mb6,mb6,mb6,mb7,mb7,mb7,mb8,mb8,mb8,mb8,mb9,mb9,mb10,mb11,mb12,mb13
Age,1,3,4,5,7,8,9,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,,0,0,,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
5,,,0,,,0,,0,,,0,0,0,,0,,0,,0,0,0,,0,0,,0,0,0,,,,0,0,,0,,0,0,0,0,0,0,0
7,,,0,,,0,,0,,,0,0,0,,0,,0,,0,,0,,0,0,,0,,0,,,,0,0,,0,,0,0,0,,0,5,4
9,,,1,,,0,,3,,,0,,0,,0,,0,,0,,0,,0,0,,3,,,,,,0,,,0,,0,2,0,,0,5,4
11,,,5,,,0,,3,,,,,,,,,1,,0,,0,,1,0,,3,,,,,,1,,,1,,,4,0,,3,7,7
13,,,5,,,0,,6,,,,,,,,,2,,0,,4,,,0,,5,,,,,,1,,,,,,4,0,,3,7,7
15,,,,,,0,,10,,,,,,,,,2,,0,,4,,,0,,5,,,,,,1,,,,,,5,0,,5,7,10
17,,,,,,2,,11,,,,,,,,,4,,0,,,,,0,,7,,,,,,1,,,,,,5,0,,5,9,10
19,,,,,,2,,12,,,,,,,,,6,,0,,,,,0,,7,,,,,,1,,,,,,5,0,,9,9,10
21,,,,,,2,,17,,,,,,,,,6,,,,,,,0,,7,,,,,,,,,,,,,2,,10,9,12
23,,,,,,5,,,,,,,,,,,6,,,,,,,2,,7,,,,,,,,,,,,,2,,10,,
25,,,,,,5,,,,,,,,,,,6,,,,,,,2,,9,,,,,,,,,,,,,,,,,
27,,,,,,5,,,,,,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,
29,,,,,,5,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
31,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
