Mom ID,i998,i959,i977,i998,i980,i977,i998,i990,i998,i964,i990,i977,i977,i961,i3650,i3650,i967,i3664,i967,i3664,i3650,i967,i967,i3650,i974,i967,i967,i967,i967,i3665,i974,i967,i967,i974,i990,i967,i967,i967,i3665,i967,i967,i967,i967
Birthdate,38555,38567,38577,38555,38567,38577,38555,38561,38555,38563,38567,38577,38577,38601,38609,38619,38635,38681,38635,38681,38609,38591,38597,38609,38593,38597,38601,38611,38619,38621,38593,38597,38619,38593,38597,38611,38615,38601,38621,38601,38611,38615,38615
ID,i1210,i1212,i1213,i1214,i1216,i1217,i1218,i1219,i1220,i1221,i1224,i1225,i1226,i3743,i3744,i3745,i3746,i3747,i3748,i3749,i3750,i3751,i3752,i3753,i3754,i3755,i3756,i3757,i3758,i3759,i3760,i3761,i3762,i3763,i3764,i3765,i3766,i3767,i3768,i3769,i3770,i3771,i3772
Vial,MB1,MB1,MB1,MB2,MB2,MB2,MB3,MB3,MB4,MB4,MB6,MB6,MB7,mb1,mb1,mb1,mb1,mb1,mb2,mb2,mb3,mb4,mb4,mb4,mb5,mb5,mb6,mb6,mb6,mb6,mb7,mb7,mb7,mb8,mb8,mb8,mb8,mb9,mb9,mb10,mb11,mb12,mb13
Age,1,3,4,5,7,8,9,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,0.531,0.765,0.806,0.569,0.843,0.792,0.541,0.796,0.561,0.802,0.876,0.792,0.805,0.84,0.815,0.84,0.864,0.84,0.864,0.84,0.79,0.868,0.811,0.84,0.806,na,0.864,0.84,0.815,0.84,0.749,0.833,0.79,0.784,0.826,0.864,0.815,0.864,0.84,0.84,0.84,0.815,0.815
3,-1,0.763,1.336,-1,1.069,1.178,-1,1.044,-1,-1,1.07,1.27,1.299,0.864,1.012,1.062,1.062,-1,1.21,1.309,0.914,1.07,1.111,0.864,0.817,0.988,1.012,0.988,-1,1.037,-1,1.136,0.963,1.246,1.111,0.864,1.111,1.012,1.037,1.037,1.136,1.037,1.111
5,-1,-1,1.632,-1,-1,1.359,-1,1.556,-1,-1,1.483,1.541,1.431,-1,1.16,-1,1.235,-1,1.457,1.481,0.963,-1,1.654,0.963,-1,1.556,1.259,1.111,-1,-1,-1,1.358,1.481,-1,1.383,-1,1.136,1.407,1.185,1.457,1.358,1.728,1.728
7,-1,-1,1.795,-1,-1,1.537,-1,1.795,-1,-1,1.562,1.813,1.409,-1,1.358,-1,1.556,-1,1.58,,1.383,-1,1.802,1.358,-1,1.704,-1,1.679,-1,-1,-1,1.358,1.531,-1,1.481,-1,1.58,1.714,1.284,-1,1.58,1.975,2.074
9,-1,-1,1.975,-1,-1,1.901,-1,1.991,-1,-1,1.557,-1,1.407,-1,1.58,-1,1.793,-1,1.701,,1.605,-1,1.852,1.704,-1,1.926,-1,-1,-1,-1,-1,1.556,-1,-1,1.679,-1,1.704,1.951,1.605,-1,1.728,1.975,2.074
11,-1,-1,2.099,-1,-1,1.951,-1,1.987,-1,-1,-1,-1,-1,-1,-1,-1,1.926,-1,1.852,,1.852,-1,1.979,1.704,-1,1.953,-1,-1,-1,-1,-1,1.772,-1,-1,1.768,-1,-1,1.975,1.778,-1,1.951,2.074,2.123
13,-1,-1,2.179,-1,-1,2.102,-1,2.086,-1,-1,-1,-1,-1,-1,-1,-1,2.074,-1,1.901,,1.975,-1,-1,1.63,-1,2.198,-1,-1,-1,-1,-1,1.852,-1,-1,-1,-1,-1,2.025,1.877,-1,1.951,2.123,2.173
15,-1,-1,-1,-1,-1,2.116,-1,2.263,-1,-1,-1,-1,-1,-1,-1,-1,1.951,-1,1.951,,1.975,-1,-1,1.827,-1,2.099,-1,-1,-1,-1,-1,1.852,-1,-1,-1,-1,-1,2.099,2.025,-1,1.951,2.173,2.173
17,-1,-1,-1,-1,-1,2.053,-1,2.25,-1,-1,-1,-1,-1,-1,-1,-1,2.074,-1,1.975,,-1,-1,-1,1.852,-1,2.148,-1,-1,-1,-1,-1,1.852,-1,-1,-1,-1,-1,2.099,1.975,-1,1.975,2.272,2.198
19,-1,-1,-1,-1,-1,2.149,-1,2.139,-1,-1,-1,-1,-1,-1,-1,-1,2.122,-1,1.866,,-1,-1,-1,1.901,-1,2.198,-1,-1,-1,-1,-1,1.975,-1,-1,-1,-1,-1,1.975,2.074,-1,1.975,2.272,2.222
21,-1,-1,-1,-1,-1,2.05,-1,2.254,-1,-1,-1,-1,-1,-1,-1,-1,2.074,-1,-1,,-1,-1,-1,1.975,-1,2.198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.123,-1,2.222,2.272,2.222
23,-1,-1,-1,-1,-1,2.247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.198,-1,-1,,-1,-1,-1,2.025,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.201,-1,2.198,-1,-1
25,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.099,-1,-1,,-1,-1,-1,2.074,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,2.074,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,2.236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,-1,-1,-1,-1,-1,2.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,-1,-1,-1,-1,-1,2.395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,-1,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,-1,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
