Mom ID,i998,i959,i977,i998,i980,i977,i998,i990,i998,i964,i990,i977,i977,i961,i3650,i3650,i967,i3664,i967,i3664,i3650,i967,i967,i3650,i974,i967,i967,i967,i967,i3665,i974,i967,i967,i974,i990,i967,i967,i967,i3665,i967,i967,i967,i967
Birthdate,38555,38567,38577,38555,38567,38577,38555,38561,38555,38563,38567,38577,38577,38601,38609,38619,38635,38681,38635,38681,38609,38591,38597,38609,38593,38597,38601,38611,38619,38621,38593,38597,38619,38593,38597,38611,38615,38601,38621,38601,38611,38615,38615
ID,i1210,i1212,i1213,i1214,i1216,i1217,i1218,i1219,i1220,i1221,i1224,i1225,i1226,i3743,i3744,i3745,i3746,i3747,i3748,i3749,i3750,i3751,i3752,i3753,i3754,i3755,i3756,i3757,i3758,i3759,i3760,i3761,i3762,i3763,i3764,i3765,i3766,i3767,i3768,i3769,i3770,i3771,i3772
Vial,MB1,MB1,MB1,MB2,MB2,MB2,MB3,MB3,MB4,MB4,MB6,MB6,MB7,mb1,mb1,mb1,mb1,mb1,mb2,mb2,mb3,mb4,mb4,mb4,mb5,mb5,mb6,mb6,mb6,mb6,mb7,mb7,mb7,mb8,mb8,mb8,mb8,mb9,mb9,mb10,mb11,mb12,mb13
Age,1,3,4,5,7,8,9,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1.000,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0
3.000,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0
5.000,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0
7.000,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0
9.000,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0
11.000,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,0,5,4
13.000,,,,,,,,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,0,5,7
15.000,,,,,,,,0,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,0,5,7
17.000,,,,,,,,4,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,0,5,7
19.000,,,,,,,,4,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,2,5,7
21.000,,,,,,,,5,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,6,7,7
23.000,,,,,,,,,,,,,,,,,6,,,,,,,,,2,,,,,,,,,,,,,,,6,,
25.000,,,,,,,,,,,,,,,,,6,,,,,,,,,2,,,,,,,,,,,,,,,,,
27.000,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
29.000,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
31.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
