Mom ID,i1027,i1027,i1004,i1004,i1004,i1025,i1011,i1025,i1027,i1027,i1005,i3676,i3675,i1005,i3679,i3670,i3687,i1027,i1005,i3679,i3670,i3679,i3670,i1027,i3675,i1027,i3675
Birthdate,38579,38557,38559,38563,38563,38571,38577,38571,38571,38571,38585,38611,38659,38585,38611,38665,38681,38585,38591,38611,38665,38611,38665,38585,38665,38585,38665
ID,i1230,i1231,i1235,i1237,i1238,i1242,i1243,i1244,i1245,i1246,i3773,i3774,i3775,i3776,i3777,i3778,i3779,i3780,i3781,i3782,i3783,i3784,i3785,i3786,i3787,i3788,i3789
Vial,MC3,MC4,MC8,MC10,MC11,MC15,MC15,MC16,MC17,MC18,mc1,mc1,mc1,mc2,mc2,mc2,mc2,mc3,mc3,mc3,mc3,mc4,mc4,mc5,mc5,mc6,mc6
Age,4,5,9,11,12,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,,,,,,,,0,,,,,,,,,,,,,,,,,,,
3,,,,,,,,0,,,,,,,,,,,,,,,,,,,
5,,,,,,,,0,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0,,,,,,,,,,,,,,,,,,,
11,,,,,,,,0,,,,,,,,,,,,,,,,,,,
13,,,,,,,,0,,,,,,,,,,,,,,,,,,,
15,,,,,,,,0,,,,,,,,,,,,,,,,,,,
17,,,,,,,,0,,,,,,,,,,,,,,,,,,,
19,,,,,,,,0,,,,,,,,,,,,,,,,,,,
21,,,,,,,,0,,,,,,,,,,,,,,,,,,,
23,,,,,,,,0,,,,,,,,,,,,,,,,,,,
25,,,,,,,,0,,,,,,,,,,,,,,,,,,,
27,,,,,,,,0,,,,,,,,,,,,,,,,,,,
29,,,,,,,,0,,,,,,,,,,,,,,,,,,,
31,,,,,,,,1,,,,,,,,,,,,,,,,,,,
33,,,,,,,,1,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,
