Mom ID,i1066,i1055,i1045,i1072,i1060,i1048,i1048,i1064,i1069,i1048,i1056,i3698,i3694,i3693,i3689,i3693,i1042,i3697,i3697,i3698,i3697
Birthdate,38553,38557,38571,38557,38559,38561,38561,38569,38569,38577,38581,38615,38647,38683,38625,38677,38593,38685,38685,38603,38685
ID,i1247,i1248,i1249,i1250,i1251,i1252,i1254,i1256,i1257,i1258,i1261,i3790,i3791,i3792,i3793,i3794,i3795,i3796,i3797,i3798,i3799
Vial,MD1,MD2,MD2,MD3,MD3,MD4,MD5,MD6,MD7,MD8,MD11,md1,md1,md1,md2,md2,md3,md3,md4,md5,md5
Age,1,2,3,4,5,6,8,10,11,12,15,16,17,18,19,20,21,22,23,24,25
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,,0,
5,0,0,0,,0,,,0,0,0,0,0,0,,,0,0,,,0,
7,0,0,0,,0,,,0,0,2,0,0,0,,,0,0,,,0,
9,0,0,0,,0,,,0,0,2,0,2,0,,,0,0,,,,
11,0,0,0,,2,,,0,2,2,0,2,0,,,,0,,,,
13,2,0,2,,2,,,0,2,4,2,3,0,,,,0,,,,
15,2,,2,,2,,,0,2,4,2,,1,,,,0,,,,
17,4,,4,,2,,,0,2,6,5,,4,,,,1,,,,
19,5,,4,,2,,,0,2,6,5,,4,,,,3,,,,
21,5,,4,,2,,,0,2,8,5,,6,,,,3,,,,
23,7,,5,,2,,,1,2,8,5,,6,,,,3,,,,
25,7,,7,,6,,,1,2,,,,6,,,,3,,,,
27,9,,7,,6,,,,2,,,,6,,,,3,,,,
29,10,,8,,,,,,2,,,,7,,,,,,,,
31,10,,8,,,,,,2,,,,,,,,,,,,
33,12,,8,,,,,,2,,,,,,,,,,,,
35,12,,10,,,,,,2,,,,,,,,,,,,
37,14,,10,,,,,,2,,,,,,,,,,,,
39,15,,10,,,,,,2,,,,,,,,,,,,
41,15,,10,,,,,,2,,,,,,,,,,,,
43,16,,10,,,,,,2,,,,,,,,,,,,
45,16,,,,,,,,2,,,,,,,,,,,,
47,16,,,,,,,,2,,,,,,,,,,,,
49,,,,,,,,,2,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,
