Mom ID,i1066,i1055,i1045,i1072,i1060,i1048,i1048,i1064,i1069,i1048,i1056,i3698,i3694,i3693,i3689,i3693,i1042,i3697,i3697,i3698,i3697
Birthdate,38553,38557,38571,38557,38559,38561,38561,38569,38569,38577,38581,38615,38647,38683,38625,38677,38593,38685,38685,38603,38685
ID,i1247,i1248,i1249,i1250,i1251,i1252,i1254,i1256,i1257,i1258,i1261,i3790,i3791,i3792,i3793,i3794,i3795,i3796,i3797,i3798,i3799
Vial,MD1,MD2,MD2,MD3,MD3,MD4,MD5,MD6,MD7,MD8,MD11,md1,md1,md1,md2,md2,md3,md3,md4,md5,md5
Age,1,2,3,4,5,6,8,10,11,12,15,16,17,18,19,20,21,22,23,24,25
1,0.765,0.765,0.757,0.741,0.787,0.81,0.82,0.803,0.778,0.831,0.814,0.741,0.84,0.79,0.667,0.793,0.752,0.864,0.864,0.815,0.864
3,1.014,0.961,0.957,-1,1.025,-1,-1,0.978,0.923,1.098,1.065,0.938,1.111,0.938,0.667,0.963,1.008,,,0.914,
5,1.531,1.466,1.301,-1,1.624,-1,-1,1.489,1.442,1.58,1.654,1.457,1.333,-1,-1,1.012,1.2,,,0.967,
7,1.779,1.657,1.298,-1,1.926,-1,-1,1.721,1.664,1.837,1.778,1.654,1.494,-1,-1,1.457,1.58,,,0.988,
9,1.76,1.679,1.634,-1,1.818,-1,-1,1.867,1.763,1.802,1.846,1.852,1.654,-1,-1,1.58,1.63,,,-1,
11,1.849,1.838,1.649,-1,1.935,-1,-1,1.773,1.78,1.877,1.985,1.852,1.704,-1,-1,,1.704,,,-1,
13,1.975,1.817,1.889,-1,2.04,-1,-1,1.893,1.792,2.141,1.965,2,1.778,-1,-1,,1.827,,,-1,
15,2.086,-1,2.025,-1,2.04,-1,-1,1.924,1.772,2.081,2.036,-1,1.901,-1,-1,,1.928,,,-1,
17,2.086,-1,2.099,-1,1.985,-1,-1,1.975,1.975,na,1.964,-1,2.024,-1,-1,,2.025,,,-1,
19,2.098,-1,2.061,-1,1.976,-1,-1,1.975,1.852,2.173,2.148,-1,1.975,-1,-1,,2.123,,,-1,
21,2.152,-1,2.206,-1,2.133,-1,-1,2.07,1.939,2.096,2.148,-1,2.025,-1,-1,,2.123,,,-1,
23,2.271,-1,2.08,-1,2.058,-1,-1,2.047,1.992,2.247,2.148,-1,2,-1,-1,,2.198,,,-1,
25,2.237,-1,2.239,-1,2.154,-1,-1,2.04,1.952,-1,-1,-1,2.072,-1,-1,,2.198,,,-1,
27,2.24,-1,2.058,-1,2.148,-1,-1,-1,2.018,-1,-1,-1,1.925,-1,-1,,2.198,,,-1,
29,2.242,-1,2.272,-1,-1,-1,-1,-1,1.888,-1,-1,-1,2.099,-1,-1,,-1,,,-1,
31,2.274,-1,2.222,-1,-1,-1,-1,-1,2.025,-1,-1,-1,-1,-1,-1,,-1,,,-1,
33,2.395,-1,2.222,-1,-1,-1,-1,-1,2.099,-1,-1,-1,-1,-1,-1,,-1,,,-1,
35,2.346,-1,2.222,-1,-1,-1,-1,-1,2.099,-1,-1,-1,-1,-1,-1,,-1,,,-1,
37,na,-1,2.344,-1,-1,-1,-1,-1,2.123,-1,-1,-1,-1,-1,-1,,-1,,,-1,
39,2.381,-1,2.346,-1,-1,-1,-1,-1,2.051,-1,-1,-1,-1,-1,-1,,-1,,,-1,
41,2.386,-1,2.346,-1,-1,-1,-1,-1,2.247,-1,-1,-1,-1,-1,-1,,-1,,,-1,
43,2.497,-1,2.395,-1,-1,-1,-1,-1,2.148,-1,-1,-1,-1,-1,-1,,-1,,,-1,
45,2.316,-1,-1,-1,-1,-1,-1,-1,2.198,-1,-1,-1,-1,-1,-1,,-1,,,-1,
47,2.469,-1,-1,-1,-1,-1,-1,-1,2.198,-1,-1,-1,-1,-1,-1,,-1,,,-1,
49,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,,-1,,,-1,
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,
