Mom ID,i1066,i1055,i1045,i1072,i1060,i1048,i1048,i1064,i1069,i1048,i1056,i3698,i3694,i3693,i3689,i3693,i1042,i3697,i3697,i3698,i3697
Birthdate,38553,38557,38571,38557,38559,38561,38561,38569,38569,38577,38581,38615,38647,38683,38625,38677,38593,38685,38685,38603,38685
ID,i1247,i1248,i1249,i1250,i1251,i1252,i1254,i1256,i1257,i1258,i1261,i3790,i3791,i3792,i3793,i3794,i3795,i3796,i3797,i3798,i3799
Vial,MD1,MD2,MD2,MD3,MD3,MD4,MD5,MD6,MD7,MD8,MD11,md1,md1,md1,md2,md2,md3,md3,md4,md5,md5
Age,1,2,3,4,5,6,8,10,11,12,15,16,17,18,19,20,21,22,23,24,25
1.000,0,,0,,,,,,,,,0,,,,,0,,,,
3.000,0,,0,,,,,,,,,0,,,,,0,,,,
5.000,0,,0,,,,,,,,,0,,,,,0,,,,
7.000,0,,0,,,,,,,,,0,,,,,0,,,,
9.000,0,,0,,,,,,,,,0,,,,,0,,,,
11.000,0,,0,,,,,,,,,0,,,,,0,,,,
13.000,0,,0,,,,,,,,,2,,,,,0,,,,
15.000,2,,0,,,,,,,,,,,,,,0,,,,
17.000,2,,0,,,,,,,,,,,,,,0,,,,
19.000,2,,0,,,,,,,,,,,,,,1,,,,
21.000,2,,0,,,,,,,,,,,,,,1,,,,
23.000,2,,0,,,,,,,,,,,,,,1,,,,
25.000,4,,0,,,,,,,,,,,,,,1,,,,
27.000,4,,0,,,,,,,,,,,,,,1,,,,
29.000,5,,1,,,,,,,,,,,,,,,,,,
31.000,5,,1,,,,,,,,,,,,,,,,,,
33.000,5,,1,,,,,,,,,,,,,,,,,,
35.000,5,,1,,,,,,,,,,,,,,,,,,
37.000,5,,1,,,,,,,,,,,,,,,,,,
39.000,5,,2,,,,,,,,,,,,,,,,,,
41.000,5,,2,,,,,,,,,,,,,,,,,,
43.000,5,,2,,,,,,,,,,,,,,,,,,
45.000,5,,,,,,,,,,,,,,,,,,,,
47.000,5,,,,,,,,,,,,,,,,,,,,
49.000,5,,,,,,,,,,,,,,,,,,,,
51.000,,,,,,,,,,,,,,,,,,,,,
53.000,,,,,,,,,,,,,,,,,,,,,
55.000,,,,,,,,,,,,,,,,,,,,,
57.000,,,,,,,,,,,,,,,,,,,,,
59.000,,,,,,,,,,,,,,,,,,,,,
61.000,,,,,,,,,,,,,,,,,,,,,
63.000,,,,,,,,,,,,,,,,,,,,,
65.000,,,,,,,,,,,,,,,,,,,,,
67.000,,,,,,,,,,,,,,,,,,,,,
69.000,,,,,,,,,,,,,,,,,,,,,
71.000,,,,,,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,,,,,,
