ID,Eggrate,AOD,Geno,Treat,Mat
i60,0.288916256,61,2C,0.025,Y
i62,0.116666667,23,2C,0.025,Y
i63,0.6,11,2C,0.025,Y
i65,0.87055336,49,2C,0.025,Y
i66,0.467137097,65,2C,0.025,Y
i67,0.25147881,87,2C,0.025,Y
i68,0.485294118,37,2C,0.025,Y
i71,0.56043956,31,2C,0.025,Y
i74,0.398846154,53,2C,0.025,Y
i77,0.395454545,25,2C,0.025,Y
i78,0.267826087,53,2C,0.025,Y
i82,0.626068376,57,2C,0.025,Y
i83,0.95,15,2C,0.025,Y
i85,0.696428571,19,2C,0.025,Y
i87,0.348701299,49,2C,0.025,Y
i88,0.754545455,27,2C,0.025,Y
i91,0.536713287,31,2C,0.025,Y
i92,1.028571429,17,2C,0.025,Y
i93,0.213504274,59,2C,0.025,Y
i95,0.590909091,23,2C,0.025,Y
i96,0.230769231,31,2C,0.025,Y
i97,0.372035573,49,2C,0.025,Y
i98,0.683936973,79,2C,0.025,Y
i101,0.614285714,17,2C,0.025,Y
i102,0.926785714,33,2C,0.025,Y
i104,0.631118881,27,2C,0.025,Y
i105,0.414285714,17,2C,0.025,Y
i107,0.809090909,25,2C,0.025,Y
i1652,1.116666667,23,2C,0.025,Y
i1655,0.527472527,31,2C,0.025,Y
i1656,0.531617647,37,2C,0.025,Y
i1659,0.581818182,23,2C,0.025,Y
i1660,0.657142857,33,2C,0.025,Y
i1661,0.447947214,69,2C,0.025,Y
i1662,0.696428571,19,2C,0.025,Y
i1668,0.688811189,27,2C,0.025,Y
i1670,0.229824561,41,2C,0.025,Y
i1671,0.3,13,2C,0.025,Y
i1672,0.8,15,2C,0.025,Y
i1674,0.716883117,45,2C,0.025,Y
i1675,0.576923077,33,2C,0.025,Y
i1677,0.771052632,43,2C,0.025,Y
i1678,0.9875,33,2C,0.025,Y
i1679,0.131818182,27,2C,0.025,Y
i110,0.343596059,61,2C,0.021,Y
i113,0.608333333,21,2C,0.021,Y
i114,0.317899492,47,2C,0.021,Y
i115,0.679618768,67,2C,0.021,Y
i116,0.5,21,2C,0.021,Y
i117,0.833088235,35,2C,0.021,Y
i118,1.1,13,2C,0.021,Y
i119,0.553571429,17,2C,0.021,Y
i120,0.188811189,31,2C,0.021,Y
i121,0.811758893,49,2C,0.021,Y
i122,0.954545455,23,2C,0.021,Y
i123,0.584057487,69,2C,0.021,Y
i124,0.544160178,63,2C,0.021,Y
i125,0.25,13,2C,0.021,Y
i126,0.513235294,35,2C,0.021,Y
i127,0.512692308,53,2C,0.021,Y
i128,0.609469075,59,2C,0.021,Y
i129,0.68040655,47,2C,0.021,Y
i130,0.734879032,65,2C,0.021,Y
i131,0.433848134,75,2C,0.021,Y
i133,0.775735294,35,2C,0.021,Y
i135,0.720769231,53,2C,0.021,Y
i137,0.342424242,23,2C,0.021,Y
i138,0.932142857,33,2C,0.021,Y
i141,0.75,11,2C,0.021,Y
i143,0.383823529,39,2C,0.021,Y
i144,1,13,2C,0.021,Y
i1685,0.3,15,2C,0.021,Y
i1686,0.048214286,35,2C,0.021,Y
i1692,0.353571429,35,2C,0.021,Y
i1693,0.258333333,23,2C,0.021,Y
i1694,0.175824176,29,2C,0.021,Y
i1695,0.048214286,33,2C,0.021,Y
i1700,0.226006192,43,2C,0.021,Y
i1702,0.35,23,2C,0.021,Y
i1703,0.307598039,39,2C,0.021,Y
i146,0.314285714,35,2C,0.017,Y
i148,0.107142857,19,2C,0.017,Y
i151,0.360426929,57,2C,0.017,Y
i154,0.278656126,49,2C,0.017,Y
i158,0.165769231,53,2C,0.017,Y
i161,0.125,35,2C,0.017,Y
i165,0.649350649,45,2C,0.017,Y
i166,0.475213675,57,2C,0.017,Y
i167,0.160714286,17,2C,0.017,Y
i168,0.095543346,61,2C,0.017,Y
i173,0.35,21,2C,0.017,Y
i176,0.027093596,63,2C,0.017,Y
i178,0.6,15,2C,0.017,Y
i179,0.288537549,47,2C,0.017,Y
i180,0.034965035,27,2C,0.017,Y
i182,0.342105263,41,2C,0.017,Y
i183,0.346407625,67,2C,0.017,Y
i186,0.748351648,31,2C,0.017,Y
i189,0.698529412,35,2C,0.017,Y
i192,0.562406015,27,2C,0.017,Y
i193,0.598901099,27,2C,0.017,Y
i1705,0.22593985,45,2C,0.017,Y
i1899,0.375,19,2C,0.017,Y
i1706,0.3,15,2C,0.017,Y
i1708,0.180882353,37,2C,0.017,Y
i1709,0.641666667,21,2C,0.017,Y
i1710,0.118679051,43,2C,0.017,Y
i1711,0.28021978,35,2C,0.017,Y
i1713,0.178571429,19,2C,0.017,Y
i1714,0.089285714,21,2C,0.017,Y
i1715,0.316483516,33,2C,0.017,Y
i1717,0.410526316,43,2C,0.017,Y
i1718,0.342207792,47,2C,0.017,Y
i1721,0.137362637,31,2C,0.017,Y
i1722,0.04127967,41,2C,0.017,Y
i1725,0.044117647,37,2C,0.017,Y
i196,0.145220588,69,2C,0.013,Y
i198,0.127272727,23,2C,0.013,Y
i206,0.271521739,51,2C,0.013,Y
i209,0.063636364,29,2C,0.013,Y
i211,0.307792208,47,2C,0.013,Y
i214,0.606593407,31,2C,0.013,Y
i217,0.225490196,37,2C,0.013,Y
i223,0.464285714,21,2C,0.013,Y
i227,0.353457172,39,2C,0.013,Y
i228,0.266086957,53,2C,0.013,Y
i229,0.220355731,49,2C,0.013,Y
i234,0.049450549,31,2C,0.013,Y
i235,0.337912088,31,2C,0.013,Y
i246,0.2,13,2C,0.013,Y
i1727,0.2,19,2C,0.013,Y
i1731,0.066544567,59,2C,0.013,Y
i1737,0.068181818,29,2C,0.013,Y
i1739,0.157142857,47,2C,0.013,Y
i1743,0.085714286,33,2C,0.013,Y
i259,0.133928571,33,2C,0.008,Y
i271,0.150434783,51,2C,0.008,Y
i276,0.022225936,69,2C,0.008,Y
i278,0.15,35,2C,0.008,Y
i290,0.068181818,27,2C,0.008,Y
i291,0.047177419,71,2C,0.008,Y
i299,0.089285714,37,2C,0.008,Y
i302,0.107142857,17,2C,0.008,Y
i303,0.226190476,19,2C,0.008,Y
i305,0.142857143,15,2C,0.008,Y
i1757,0.071428571,23,2C,0.008,Y
i540,1.102197802,31,4B,0.025,Y
i543,0.255347594,69,4B,0.025,Y
i547,0.580942314,89,4B,0.025,Y
i553,0.404761905,19,4B,0.025,Y
i556,0.642424242,23,4B,0.025,Y
i558,0.271756979,63,4B,0.025,Y
i559,0.3,13,4B,0.025,Y
i566,1.032352941,35,4B,0.025,Y
i569,0.2,15,4B,0.025,Y
i570,1.5,13,4B,0.025,Y
i571,0.6875,35,4B,0.025,Y
i572,0.45,13,4B,0.025,Y
i573,0.412452254,71,4B,0.025,Y
i575,1.425,21,4B,0.025,Y
i577,0.6,11,4B,0.025,Y
i579,0.481818182,25,4B,0.025,Y
i580,0.613970588,37,4B,0.025,Y
i583,0.568131868,33,4B,0.025,Y
i589,0.346813725,37,4B,0.025,Y
i1976,0.45,27,4B,0.025,Y
i1977,0.860606061,25,4B,0.025,Y
i1978,0.230812325,75,4B,0.025,Y
i1982,0.496428571,35,4B,0.025,Y
i1983,0.75,19,4B,0.025,Y
i1984,0.571428571,15,4B,0.025,Y
i1989,0.377941176,37,4B,0.025,Y
i1990,0.654545455,25,4B,0.025,Y
i1995,0.485177866,53,4B,0.025,Y
i1996,0.463980464,59,4B,0.025,Y
i1998,0.581818182,25,4B,0.025,Y
i2002,0.520769231,55,4B,0.025,Y
i2006,0.304125286,73,4B,0.025,Y
i2007,0.512121212,25,4B,0.025,Y
i2013,0.397379032,67,4B,0.025,Y
i2014,0.347252747,33,4B,0.025,Y
i2020,0.459062676,47,4B,0.025,Y
i591,0.416666667,23,4B,0.021,Y
i595,0.375,19,4B,0.021,Y
i596,0.553924337,47,4B,0.021,Y
i598,0.157606838,55,4B,0.021,Y
i602,0.414344685,39,4B,0.021,Y
i604,0.251648352,31,4B,0.021,Y
i605,0.222426471,69,4B,0.021,Y
i607,0.43826087,51,4B,0.021,Y
i609,0.244526546,59,4B,0.021,Y
i613,0.4,11,4B,0.021,Y
i614,0.12377451,39,4B,0.021,Y
i621,0.426470588,39,4B,0.021,Y
i622,1.2,15,4B,0.021,Y
i627,0.4,15,4B,0.021,Y
i629,0.426373626,31,4B,0.021,Y
i630,0.529761905,19,4B,0.021,Y
i632,0.2,13,4B,0.021,Y
i633,0.190769231,53,4B,0.021,Y
i634,0.432352941,37,4B,0.021,Y
i638,0.285714286,17,4B,0.021,Y
i640,0.3,13,4B,0.021,Y
i642,0.9,11,4B,0.021,Y
i2022,0.75,11,4B,0.021,Y
i2023,0.352907962,49,4B,0.021,Y
i2025,0.259677419,65,4B,0.021,Y
i2026,0.414285714,15,4B,0.021,Y
i2029,0.755952381,19,4B,0.021,Y
i2034,0.338375973,63,4B,0.021,Y
i2036,0.547619048,21,4B,0.021,Y
i2038,0.358333333,23,4B,0.021,Y
i2104,0.213846154,53,4B,0.021,Y
i2106,0.282249742,39,4B,0.021,Y
i2107,0.063636364,23,4B,0.021,Y
i644,0.75,13,4B,0.017,Y
i646,0.185242518,41,4B,0.017,Y
i649,0.236521739,51,4B,0.017,Y
i651,0.177960928,59,4B,0.017,Y
i652,0.775,21,4B,0.017,Y
i659,0.266666667,21,4B,0.017,Y
i662,0.042892157,39,4B,0.017,Y
i664,0.38021978,31,4B,0.017,Y
i666,0.073308271,45,4B,0.017,Y
i668,0.249450549,35,4B,0.017,Y
i669,0.299487179,57,4B,0.017,Y
i675,0.056390977,45,4B,0.017,Y
i678,0.8,11,4B,0.017,Y
i687,0.55,15,4B,0.017,Y
i688,0.313063063,79,4B,0.017,Y
i689,0.6,13,4B,0.017,Y
i2109,0.07967033,33,4B,0.017,Y
i2110,0.368181818,27,4B,0.017,Y
i2112,0.4,33,4B,0.017,Y
i2113,0.078144078,59,4B,0.017,Y
i2115,0.250604839,67,4B,0.017,Y
i2117,0.095384615,57,4B,0.017,Y
i2119,0.348484848,25,4B,0.017,Y
i2125,0.07967033,59,4B,0.017,Y
i700,0.260606061,25,4B,0.013,Y
i702,0.45,17,4B,0.013,Y
i705,0.110671937,49,4B,0.013,Y
i708,0.112087912,31,4B,0.013,Y
i710,0.273284314,37,4B,0.013,Y
i714,0.427442123,47,4B,0.013,Y
