Mom ID,i3000,i1279,i3001,i3001,i1262,i3001,i1279,i3079,i3010,i1279,i3011,i3012,i3016,i3017,i3018,i1270,i3019,i3020,i3020,i3017,i3017,i3018,i3021,i3024,i1262,i3011,i3025,NA,i3026,i1262,i1274,i1278,i3027,i1301,i1279,i1262,i3019,i3018,i3030,i1278,i3031,i1279,i3018,i3111,i1279,i3002,i3003,i3002,i3004,i3005,i1281,i3006,i3008,i3009,i1281,i3084,i3013,i3014,i3015,i3013,i1281,i3013,i1281,i3006,i3022,i3014,i3023,i1281,i3023,i3080,i1308,i3002,i3028,i3029,i3013,i3006,i3013,i3006,i3013,i3028,i3028,i3020,i3006,i1281,i3080,i3028,i3003,i3028,i1301
Birthdate,38505,38545,38505,38505,38515,38527,38535,38559,38505,38545,38547,38567,38505,38525,38529,38523,38505,38561,38565,38507,38517,38529,38569,38507,38529,38547,38561,38509,38521,38529,38519,38545,38569,38577,38519,38529,38521,38529,38521,38545,38571,38521,38531,38577,38549,38639,38641,38645,38515,38545,38587,38631,38645,38665,38587,38621,38655,38661,38671,38675,38607,38651,38597,38631,38675,38679,38685,38597,38685,38597,38613,38615,38617,38619,38623,38631,38641,38647,38623,38631,38641,38567,38647,38587,38597,38607,38609,38631,38587
ID,i1262,i1263,i1264,i1265,i1266,i1267,i1268,i1269,i1270,i1271,i1272,i1273,i1274,i1275,i1276,i1278,i1279,i1280,i1281,i1282,i1283,i1284,i1285,i1286,i1287,i1288,i1289,i1290,i1291,i1292,i1294,i1295,i1296,i1297,i1298,i1299,i1300,i1301,i1302,i1304,i1305,i1306,i1307,i1308,i1309,i3075,i3076,i3077,i3078,i3079,i3080,i3081,i3082,i3083,i3084,i3085,i3086,i3087,i3088,i3089,i3090,i3091,i3092,i3093,i3094,i3095,i3096,i3097,i3098,i3099,i3100,i3101,i3102,i3103,i3104,i3105,i3106,i3107,i3108,i3109,i3110,i3111,i3112,i3113,i3114,i3115,i3116,i3117,i3118
Vial,aa1,aa1,aa2,aa3,aa3,aa3,aa3,aa3,aa4,aa4,aa4(aa17),aa4,aa5,aa5,aa5,aa5 (aa16),aa6,aa6,aa6,aa7,aa7,aa7,aa7,aa8,aa8,aa8,aa8,aa9,aa9,aa9,aa10,aa10 (aa15),aa10,aa10,aa11,aa11,aa12,aa12 (aa13),aa13,aa14,aa14,aa15,aa15,aa16,aa18,aa1,aa1,aa1,aa2,aa2,aa2,aa3,aa3,aa3,aa4,aa4,aa4,aa4,aa4,aa4,aa5,aa6,aa7,aa7,aa7,aa7,aa7,aa8,aa8,aa9,aa10,aa10,aa10,aa11,aa11,aa11,aa11,aa11,aa12,aa12,aa12,aa13,aa13,aa14,aa14,aa14,aa14,aa14,aa15
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
1,0.85,0.84,0.775,0.725,0.724,0.75,0.815,0.765,0.95,0.815,0.84,0.821,0.75,0.753,0.828,0.79,0.775,0.815,0.743,0.85,0.724,0.879,0.79,0.725,0.776,0.79,0.79,0.734,0.705,0.75,0.802,0.79,0.815,0.8,0.802,0.75,0.793,0.931,0.718,0.765,0.79,0.753,0.776,0.741,0.765,0.733,0.722,0.786,0.691,0.642,0.805,0.744,0.753,0.746,0.797,0.933,0.79,0.792,0.769,0.747,0.716,0.811,0.84,0.75,0.724,0.765,0.79,0.79,0.767,0.765,0.794,0.781,0.785,0.77,0.735,0.725,0.781,0.783,0.846,0.758,0.762,0.8,0.727,0.786,0.642,0.79,0.752,0.776,0.767
3,1.125,0.938,1.15,1.1,1.035,1.061,0.988,1.111,1.1,0.84,0.914,0.988,0.8,0.983,1.061,1.154,1.05,0.963,1.178,1.175,1.138,1.061,1.012,1.05,1.086,0.938,0.963,0.734,0.868,0.828,0.909,0.914,0.963,0.929,1.093,0.879,0.943,1.035,0.972,0.938,1.21,0.96,0.905,1.059,1.082,-1,-1,0.95,0.963,0.889,0.938,-1,-1,0.867,0.938,NA,-1,1.081,-1,0.952,0.856,0.971,0.918,0.837,-1,-1,-1,0.952,-1,0.919,-1,-1,0.963,-1,-1,0.786,-1,0.963,0.998,-1,1.012,1.111,0.914,-1,-1,-1,-1,-1,1.21
5,1.275,1.443,1.525,-1,1.19,1.371,1.235,1.284,1.65,-1,1.42,1.407,1.175,-1,1.216,1.449,1.525,-1,1.383,1.389,1.505,1.293,1.358,1.505,1.293,1.442,1.002,-1,1.256,1.319,1.498,1.235,1.457,1.284,1.389,1.319,1.425,1.267,-1,1.111,1.531,-1,1.407,1.235,1.309,-1,-1,1.375,1.284,1.383,1.358,-1,-1,1.333,1.333,1.251,-1,1.248,-1,1.314,1.022,1.383,0.975,1.086,-1,-1,-1,1.109,-1,1.003,-1,-1,1.086,-1,-1,0.84,-1,1.365,-1,-1,1.472,1.383,1.213,-1,-1,-1,-1,-1,1.432
7,1.802,1.538,1.699,-1,1.611,1.552,1.711,1.657,1.775,-1,1.63,1.63,1.463,-1,1.481,1.785,1.708,-1,1.58,-1,1.719,1.679,1.432,1.709,1.457,1.704,1.074,-1,-1,1.457,1.705,1.42,1.654,1.407,-1,1.358,1.681,1.654,-1,1.553,1.802,-1,1.578,1.358,-1,-1,-1,1.452,1.51,1.523,1.679,-1,-1,1.456,1.531,1.566,-1,1.404,-1,1.518,1.403,1.59,1.127,1.241,-1,-1,-1,1.263,-1,1.122,-1,-1,1.505,-1,-1,-1,-1,1.516,-1,-1,1.451,1.63,1.443,-1,-1,-1,-1,-1,1.728
9,1.85,1.753,-1,-1,1.824,1.802,1.728,1.827,1.933,-1,1.63,1.654,1.618,-1,1.707,1.94,1.848,-1,1.802,-1,1.734,1.681,1.605,1.914,1.707,1.704,1.432,-1,-1,1.655,1.655,1.481,-1,1.606,-1,1.526,1.94,1.655,-1,1.728,1.862,-1,-1,1.723,-1,-1,-1,1.695,1.723,1.58,1.778,-1,-1,1.53,1.877,1.648,-1,-1,-1,1.772,1.578,1.75,1.325,1.475,-1,-1,-1,1.44,-1,1.63,-1,-1,1.72,-1,-1,-1,-1,1.802,-1,-1,-1,1.827,1.654,-1,-1,-1,-1,-1,1.679
11,1.888,1.877,-1,-1,1.975,1.914,1.802,1.753,2.121,-1,1.827,1.753,1.759,-1,1.827,2.018,2.018,-1,1.951,-1,1.759,1.852,1.788,2.069,1.827,1.802,1.63,-1,-1,1.877,1.914,1.679,-1,1.893,-1,1.753,1.94,1.852,-1,1.926,1.778,-1,-1,1.718,-1,-1,-1,1.802,1.885,1.654,1.827,-1,-1,1.557,1.877,1.721,-1,-1,-1,1.722,1.799,1.7,1.481,1.668,-1,-1,-1,1.704,-1,1.556,-1,-1,1.689,-1,-1,-1,-1,1.78,-1,-1,-1,1.951,1.738,-1,-1,-1,-1,-1,1.852
