Mom ID,i3032,i3017,i1284,i3016,i3004,i3033,i1299,i1284,i1273,i3034,i3001,i3034,i3017,i3018,i3031,i3018,i3017,i3012,i3037,i3010,i3033,i3034,i3018,i1270,i3026,i3010,i3041,i1278,i1284,i3019,i3034,i1270,i1284,i1279,i3043,i3037,i3034,i3037,i3026,i1284,i3040,i3045,i3037,i1284,i3019,i3011,i3046,i3033,i1270,i3034,i3019,i3034,i1270,i1270,i3000,i1279,i3005,i3001,i3047,i3006,i3077,i3009,i3008,i3007,i3102,i3078,i1299,i3010,i3028,i3090,i3035,i3008,i3036,i3003,i3009,i3038,i3025,i1281,i1269,i3039,i3091,i3091,i3091,i3040,i3040,i3013,i3022,i3014,i3042,i3022,i1297,i3044,i3021
Birthdate,38497,38519,38543,38497,38515,38523,38547,38551,38579,38497,38517,38499,38519,38531,38577,38501,38507,38537,38531,38501,38509,38525,38531,38539,34561,38501,38523,38533,38543,38501,38517,38527,38551,38549,38501,38531,38517,38531,38539,38543,38575,38503,38509,38543,38507,38579,38507,38517,38539,38505,38517,38505,38523,38527,38527,38519,38545,38527,38543,38651,38661,38665,38669,38587,38655,38535,38547,38607,38617,38661,38671,38675,38601,38609,38671,38589,38591,38593,38595,38655,38661,38667,38685,38603,38631,38655,38619,38631,38661,38675,38595,38595,38603
ID,i1310,i1311,i1312,i1313,i1314,i1315,i1316,i1317,i1318,i1319,i3125,i1321,i1322,i1323,i1324,i1325,i1326,i1327,i1328,i1329,i1330,i1331,i1332,i1333,i1334,i1335,i1336,i1337,i1338,i1339,i1340,i1341,i1342,i1343,i1344,i1345,i1346,i1347,i1348,i1349,i1350,i1351,i1352,i1353,i1354,i1355,i1356,i1357,i1358,i1359,i1360,i1361,i1363,i1364,i1365,i1367,i1368,i1369,i1370,i3119,i3120,i3121,i3122,i3123,i3124,i3126,i3127,i3128,i3129,i3130,i3131,i3132,i3133,i3134,i3135,i3136,i3137,i3138,i3139,i3140,i3141,i3142,i3143,i3144,i3145,i3146,i3147,i3148,i3149,i3150,i3151,i3152,i3153
Vial,b1,b1,b1 (b13),b2,b2,b2,b2,b2 (b14),b2,b3,b3,b4,B4,b4,b4,b5,b5,b5,b5 (b15),b6,b6,b6,b6,b6,b6,b7,b7,b7 (b17),b7 (b16),b8,b8,b8,b8,b8 (b18),b9,b9,b10,b10,b10,b10,b10,b11,b11,b11,b12,b12,b13,b13,b13,b14,b14,b15,b16,b16,b17,b18,b3 (b19),b20,b20,b1,b1,b1,b1,b2,b2,b3,b3,b3,b3,b3,b3,b3,b4,b4,b4,b5,b5,b5,b5,b5,b5,b5,b5,b6,b6,b6,b7,b7,b7,b7,b8,b9,b9
Age,1,2,3,4,5,6,7,8,9,10,,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
1,0.675,0.802,0.775,0.65,0.724,0.751,0.79,0.699,0.738,0.675,0.864,0.775,0.724,0.776,0.716,0.65,0.75,0.802,0.776,0.75,0.8,0.757,0.776,0.741,0.987,0.725,0.738,0.802,0.773,0.8,0.802,1.061,0.686,0.716,0.775,0.776,0.802,0.75,0.741,0.736,0.765,0.675,0.775,0.784,0.725,0.749,0.725,0.776,0.716,0.8,0.854,0.75,0.754,0.963,0.75,0.776,0.667,0.776,0.809,0.689,0.702,0.62,0.84,0.777,0.79,0.741,0.815,0.84,0.79,0.688,0.73,0.793,0.719,0.825,0.759,0.741,0.765,0.815,0.741,0.765,0.751,0.73,0.745,0.747,0.802,0.79,0.763,0.78,0.837,0.725,0.79,0.741,0.815
3,0.975,0.878,0.988,1.025,1.086,1.149,0.988,0.741,0.963,0.975,1.111,1.125,0.738,0.905,0.934,0.725,1.025,1.037,0.931,0.975,1.166,0.879,0.931,0.864,1.012,1.075,1.066,0.864,0.864,1.05,0.957,1.179,0.667,1.046,0.95,0.905,0.983,0.879,0.889,0.864,0.914,0.775,1.063,0.938,1.1,0.889,1.15,1.19,0.864,1.1,1.086,1.075,1.038,1.185,0.896,1.056,0.864,1.003,0.963,0.84,0.824,0.648,1.003,1.086,1.079,0.765,0.914,0.951,0.893,0.792,-1,0.96,0.881,1.026,0.818,-1,-1,-1,0.84,-1,0.819,0.914,,1.01,0.866,0.876,-1,-1,-1,0.915,0.963,0.84,1.253
5,1.35,1.18,1.457,1.475,1.242,1.397,1.529,0.914,1.012,1.425,1.347,1.725,-1,1.16,1.358,-1,1.429,1.235,1.358,1.45,1.425,-1,1.309,1.194,-1,1.65,1.345,1.216,1.235,1.6,1.397,1.423,-1,1.309,1.475,1.185,1.389,1.284,-1,1.235,0.97,-1,1.209,1.383,1.35,1.259,1.21,1.423,-1,1.55,1.282,1.25,-1,1.449,0.983,1.362,1.111,-1,1.309,1.111,-1,-1,1.23,1.309,1.306,0.963,0.935,-1,1.167,0.759,-1,1.115,-1,1.176,1.067,-1,-1,-1,1.115,-1,-1,1.294,,1.185,-1,1.16,-1,-1,-1,1.322,1.476,-1,1.407
7,1.625,1.5,1.481,1.7,-1,1.614,1.654,1.062,-1,1.65,1.664,1.85,-1,1.345,1.605,-1,1.575,1.443,1.552,-1,1.63,-1,-1,1.432,-1,1.81,1.573,1.506,1.457,1.788,1.638,1.655,-1,1.481,1.65,1.397,1.57,-1,-1,1.481,1.086,-1,1.526,1.679,1.531,-1,1.687,1.721,-1,-1,1.509,1.403,-1,1.888,-1,1.657,1.513,-1,1.58,1.24,-1,-1,1.536,1.679,1.495,1.16,-1,-1,1.505,0.782,-1,-1,-1,1.297,1.283,-1,-1,-1,1.441,-1,-1,1.37,,1.528,-1,1.34,-1,-1,-1,1.466,1.525,-1,1.474
9,1.85,1.759,1.676,1.75,-1,1.733,1.654,1.21,-1,1.775,1.845,1.8,-1,1.506,1.798,-1,1.837,1.63,1.802,-1,1.759,-1,-1,1.654,-1,1.902,1.837,1.679,1.716,1.803,1.863,1.728,-1,1.728,1.9,1.605,1.721,-1,-1,1.71,1.284,-1,1.759,1.778,1.681,-1,-1,1.834,-1,-1,1.712,1.579,-1,1.852,-1,1.759,1.704,-1,1.85,1.468,-1,-1,1.664,1.852,1.662,1.378,-1,-1,1.622,-1,-1,-1,-1,1.626,1.45,-1,-1,-1,1.575,-1,-1,1.443,,1.726,-1,1.534,-1,-1,-1,1.746,1.505,-1,1.57
11,1.975,1.875,1.704,1.875,-1,1.733,1.852,1.605,-1,2,1.901,1.875,-1,1.704,1.77,-1,1.966,1.704,1.802,-1,-1,-1,-1,1.827,-1,1.862,1.94,1.916,1.728,-1,-1,1.785,-1,1.481,1.905,1.827,-1,-1,-1,1.58,1.408,-1,1.94,1.827,1.914,-1,-1,1.811,-1,-1,1.837,1.681,-1,1.862,-1,1.977,1.778,-1,1.802,-1,-1,-1,1.631,1.901,1.752,1.556,-1,-1,1.643,-1,-1,-1,-1,1.578,1.575,-1,-1,-1,1.885,-1,-1,1.661,,1.863,-1,1.732,-1,-1,-1,1.736,1.693,-1,1.79
