Mom ID,i3032,i3048,na,i3041,i1279,i3011,i3043,i3049,i3034,i3050,i3051,i1270,i1278,i3052,i3053,i1278,i3046,i3018,i3012,i3054,i3019,i3046,i1278,i3047,i3047,i3043,i3027,i3050,i3056,i3047,i3018,i3012,i1273,i3057,i1266,i3046,i3046,i3019,i1278,i1292,na,i3054,i1292,i1274,i3025,i3031,i3102,i3084,i3015,i3022,i3014,i3015,i3039,i3014,i3055
Birthdate,38497,38543,38511,38523,38549,38569,38499,38509,38499,38527,38501,38523,38533,38501,38515,38545,38501,38519,38531,38531,38501,38523,38533,38537,38543,38501,38517,38527,38543,38505,38525,38537,38579,38503,38535,38507,38509,38509,38545,38551,38511,38531,38551,38519,38549,38603,38655,38647,38649,38619,38631,38655,38655,38631,38655
ID,i1371,i1372,i1373,i1374,i1375,i1376,i1377,i1378,i1379,i1380,i1381,i1382,i1383,i1384,i1385,i1386,i1387,i1388,i1389,i1390,i1391,i1392,i1393,i1394,i1395,i1396,i1397,i1398,i1399,i1400,i1401,i1402,i1403,i1404,i1405,i1406,i1407,i1408,i1409,i1410,i1411,i1412,i1413,i1414,i1415,i3154,i3155,i3156,i3157,i3158,i3159,i3160,i3161,i3162,i3163
Vial,c1,c1,c1 (c16),c2,c2,c2,c3,c3,c4,c4,c5,c5,c5,c6,c6,c6,c7,c7,c7,c7 (part of c17),c8,C8,C8,C8,c8,c9,c9,c9,c9,c10,c10,c10,c10,c11,c11,c12,c12 (c14),c13,c13,c13,c15,c15,c15,c17,c18,c1,c2,c3,c4,c5,c5,c5,c6,c7,c8
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,2,0,0,0,2,0,2,0,0,,,0,0,,0,,0,0,0,0,,,0,0,0,0
9,3,0,2,1,0,2,,1,3,0,6,1,0,1,0,0,1,0,,0,,0,,,0,0,,0,0,4,0,1,0,2,0,2,0,0,,,2,0,,,,1,0,0,0,,,0,0,0,2
11,3,0,2,1,0,2,,1,7,0,7,,0,,0,0,2,,,0,,,,,0,,,0,0,6,0,3,0,2,0,2,2,2,,,,0,,,,1,0,0,0,,,2,0,0,2
