Mom ID,i3032,i3048,na,i3041,i1279,i3011,i3043,i3049,i3034,i3050,i3051,i1270,i1278,i3052,i3053,i1278,i3046,i3018,i3012,i3054,i3019,i3046,i1278,i3047,i3047,i3043,i3027,i3050,i3056,i3047,i3018,i3012,i1273,i3057,i1266,i3046,i3046,i3019,i1278,i1292,na,i3054,i1292,i1274,i3025,i3031,i3102,i3084,i3015,i3022,i3014,i3015,i3039,i3014,i3055
Birthdate,38497,38543,38511,38523,38549,38569,38499,38509,38499,38527,38501,38523,38533,38501,38515,38545,38501,38519,38531,38531,38501,38523,38533,38537,38543,38501,38517,38527,38543,38505,38525,38537,38579,38503,38535,38507,38509,38509,38545,38551,38511,38531,38551,38519,38549,38603,38655,38647,38649,38619,38631,38655,38655,38631,38655
ID,i1371,i1372,i1373,i1374,i1375,i1376,i1377,i1378,i1379,i1380,i1381,i1382,i1383,i1384,i1385,i1386,i1387,i1388,i1389,i1390,i1391,i1392,i1393,i1394,i1395,i1396,i1397,i1398,i1399,i1400,i1401,i1402,i1403,i1404,i1405,i1406,i1407,i1408,i1409,i1410,i1411,i1412,i1413,i1414,i1415,i3154,i3155,i3156,i3157,i3158,i3159,i3160,i3161,i3162,i3163
Vial,c1,c1,c1 (c16),c2,c2,c2,c3,c3,c4,c4,c5,c5,c5,c6,c6,c6,c7,c7,c7,c7 (part of c17),c8,C8,C8,C8,c8,c9,c9,c9,c9,c10,c10,c10,c10,c11,c11,c12,c12 (c14),c13,c13,c13,c15,c15,c15,c17,c18,c1,c2,c3,c4,c5,c5,c5,c6,c7,c8
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,0.725,0.827,0.765,0.771,0.691,0.84,0.725,0.75,0.75,0.75,0.75,0.752,0.776,0.75,0.698,0.79,0.775,0.802,0.828,0.75,0.75,0.787,0.776,0.776,0.813,0.75,0.698,0.802,0.744,0.75,0.778,0.776,0.766,0.725,0.716,0.75,0.7,0.8,0.741,0.765,0.83,0.698,0.759,0.802,0.691,0.741,0.741,0.762,0.84,0.813,0.73,0.79,0.716,0.793,0.741
3,1.125,1.012,1.142,1.079,0.887,0.988,1.05,1.272,1.175,1.111,1.05,1.135,0.889,0.85,0.854,0.889,1.05,1.163,1.112,1.009,0.925,1.147,0.765,1.086,0.963,0.9,0.776,1.083,1.012,0.95,0.931,1.012,0.84,1.025,0.776,1.1,1.005,0.901,0.914,1.111,0.986,0.931,0.963,0.942,1.085,0.887,0.928,0.914,0.949,0.96,0.719,0.958,0.688,0.885,0.927
5,1.475,1.259,1.293,1.242,1.062,1.432,1.325,1.406,1.575,1.138,1.35,1.035,0.931,1.275,0.983,0.914,1.525,1.447,1.259,1.037,1.45,1.364,-1,-1,1.358,1.225,0.794,1.216,1.21,1.175,1.124,1.21,0.864,1.5,0.864,1.569,1.127,1.317,0.914,-1,1.423,1.062,1.111,1.404,-1,1.037,1.252,1.021,1.026,-1,0.864,1.384,0.709,1.086,1.271
7,1.725,1.556,1.733,1.495,1.21,1.63,1.825,1.655,1.725,1.242,1.725,1.584,1.259,1.375,1.12,0.899,1.525,1.583,1.423,1.164,1.6,1.603,-1,-1,1.506,1.4,0.889,1.449,1.432,1.6,1.319,1.452,1.048,1.75,1.136,1.728,1.526,1.371,-1,-1,1.552,1.19,-1,1.695,-1,1.445,1.496,1.404,1.259,-1,-1,1.581,0.829,1.157,1.511
9,1.875,1.636,1.94,1.707,1.333,1.728,-1,1.888,1.85,1.259,1.75,1.759,1.605,1.65,1.33,0.938,1.65,1.604,-1,1.284,-1,1.811,-1,-1,1.742,1.475,-1,1.506,1.542,1.725,1.474,1.63,1.165,1.755,1.326,1.707,1.681,1.837,-1,-1,1.759,1.333,-1,-1,-1,1.599,1.636,1.556,1.359,-1,-1,1.757,0.931,1.25,1.605
11,1.925,1.605,1.944,1.811,1.481,1.764,-1,1.888,1.925,1.293,1.906,-1,1.772,-1,1.461,0.988,1.704,-1,-1,1.432,-1,-1,-1,-1,1.852,-1,-1,1.63,1.679,1.665,1.531,1.753,1.309,1.717,1.481,1.785,1.811,1.888,-1,-1,-1,1.407,-1,-1,-1,1.645,1.659,1.54,1.467,-1,-1,1.869,1.052,1.514,1.59
