Mom ID,i3016,i3043,i3060,i3037,i3052,i3043,i3045,i3043,i3043,i3043,na,i3034,i3037,i3027,i3046,i3047,i3046,i3011,i1266,i3011,i1266,i1287,i1278,i1262,i3046,i3047,i3048,na,i3019,i3047,i3047,i1264,i1270,i1270,i3020,i3058,i3031,i3047,i3047,i3025,i3056,i3012,i1278,i1274,i3021,i3061,i3021,i1270,i3011,i3011,i3012,i3012,i3012,i3015,i3090,i3089,i3011,i3015,i3059,i3091,i1281,i3014,i3029,i3036,i1297,i3036,na,i3025,i3028,i3040,i3062,i3063,i3035
Birthdate,38497,38499,38501,38501,38501,38501,38501,38505,38505,38505,38509,38507,38509,38517,38523,38521,38517,38531,38541,38531,38541,38539,38533,38523,38517,38533,38537,38541,38521,38533,38537,38535,38517,38535,38547,38551,38567,38547,38547,38549,38543,38543,38579,38519,38569,38577,38579,38517,38579,38579,38543,38543,38547,38649,38661,38685,38531,38655,38661,38679,38593,38655,38619,38621,38595,38601,38655,38587,38607,38603,38607,38631,38677
ID,i1416,i1417,i1418,i1419,i1420,i1423,i1424,i1426,i1427,i1428,i1430,i1437,i1439,i1440,i1441,i1442,i1443,i1444,i1445,i1446,i1447,i1449,i1450,i1451,i1452,i1453,i1454,i1455,i1456,i1457,i1458,i1459,i1461,i1462,i1463,i1464,i1465,i1466,i1467,i1468,i1469,i1470,i1471,i1472,i1473,i1474,i1475,i1476,i1477,i1478,i1479,i1480,i1481,i3164,i3165,i3166,i3167,i3168,i3169,i3170,i3171,i3172,i3173,i3174,i3175,i3176,i3177,i3178,i3179,i3180,i3181,i3182,i3183
Vial,d1,d3,d4,d5,d6,d8,d9,d11,d12,d13,d15,d10,d9,d8,d5,d7,d14,d2,d2,d4,d5,d6,d7,d8,d9,d9,d9,d9,d11,d11,d11,d12,d16,d16,d1,d1,d1,d2,d2 (d13),d3 (d18),d4,d4 (d14),d4,d6 (d17),d6,d7,d9,d10 (part of d15),d10,d11,d12,d16,d16,d1,d1,d1,d2,d2,d2,d2,d3,d3,d4,d5,d6,d6,d6,d7,d7,d8,d9,d9,d9
Age,1,3,4,5,6,8,9,11,12,13,15,22,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
1,0.675,0.75,0.775,0.75,0.725,0.775,0.725,0.7,0.8,0.8,0.741,0.775,0.775,0.647,0.768,0.72,0.698,0.776,0.741,0.776,0.741,0.741,0.724,0.678,0.647,0.802,0.776,0.741,0.73,0.802,0.776,0.691,0.724,0.63,0.716,0.836,0.754,0.716,0.741,0.691,0.723,0.83,0.784,0.802,0.84,0.765,0.772,0.698,0.759,0.714,0.818,0.807,0.815,0.84,0.795,0.725,0.741,0.79,0.798,0.742,0.79,0.741,0.802,0.752,0.815,0.763,0.741,0.835,0.79,0.753,0.741,0.791,0.713
3,0.85,1.05,0.8,1,0.875,0.875,0.825,0.975,0.925,1.1,1.068,0.9,0.869,0.776,1.093,0.867,0.983,1.035,0.891,0.931,0.873,1.136,0.963,1.154,0.724,0.938,1.012,0.879,0.89,0.988,0.938,0.776,1.035,0.854,0.741,1.012,0.938,0.864,0.889,0.982,0.889,1.012,1.136,0.942,0.963,0.914,0.963,1.035,0.84,0.889,0.988,0.988,0.988,0.831,0.928,-1,0.988,0.805,0.861,0.87,0.938,0.869,0.65,0.89,0.963,1.007,0.984,0.864,0.932,0.934,0.985,0.95,0.757
5,1.05,1.275,1.45,1.225,1.15,1.275,0.875,1.425,1.1,1.275,-1,1.242,-1,-1,1.293,1.14,1.182,0.988,0.84,1.012,1.432,1.194,1.061,1.371,0.804,-1,-1,1.16,1.267,-1,1.358,-1,1.311,-1,-1,1.21,1.086,1.204,1.254,1.21,0.914,1.037,1.333,1.372,1.333,-1,1.062,1.168,0.963,0.988,1.185,-1,1.43,1.049,1.215,-1,0.988,0.859,-1,0.998,1.086,1.151,0.959,0.928,-1,1.263,1.098,0.988,1.061,1.086,-1,1.111,-1
7,1.2,1.75,1.625,1.425,1.5,1.3,-1,1.548,1.168,1.338,-1,1.419,-1,-1,1.51,-1,1.331,0.957,-1,1.164,1.432,1.259,1.333,1.545,-1,-1,-1,1.432,1.397,-1,1.575,-1,1.492,-1,-1,1.556,1.531,1.284,1.432,1.284,0.938,1.16,1.502,1.552,1.481,-1,1.174,1.282,-1,1.156,1.358,-1,1.654,1.136,1.402,-1,0.957,-1,-1,1.274,1.274,1.348,1.019,1.101,-1,1.432,1.296,1.185,1.207,1.239,-1,1.247,-1
9,1.55,1.7,1.9,1.675,1.725,-1,-1,1.592,-1,1.384,-1,1.759,-1,-1,1.707,-1,1.552,-1,-1,1.284,1.481,1.383,1.432,1.681,-1,-1,-1,1.605,1.384,-1,1.728,-1,-1,-1,-1,1.704,1.679,1.58,1.432,1.63,1.119,1.299,1.767,1.63,1.654,-1,1.363,1.655,-1,1.43,1.586,-1,1.802,1.411,1.58,-1,-1,-1,-1,,1.464,1.586,1.169,1.269,-1,1.606,1.548,1.407,1.377,1.372,-1,1.371,-1
11,1.625,1.825,1.941,-1,1.789,-1,-1,-1,-1,1.474,-1,1.811,-1,-1,1.811,-1,1.733,-1,-1,1.309,1.593,1.383,1.648,1.785,-1,-1,-1,1.76,1.397,-1,1.728,-1,-1,-1,-1,1.778,1.728,1.728,1.605,1.728,1.111,1.383,1.778,1.751,1.827,-1,1.383,1.655,-1,1.531,1.654,-1,1.802,1.404,1.643,-1,-1,-1,-1,,1.591,1.651,1.256,1.393,-1,1.861,1.579,1.605,1.523,1.559,-1,1.529,-1
