Mom ID,i3016,i3034,i3043,i3060,i3010,i3052,i3019,i3043,i3045,i3046,i3046,na,i3034,i1274,i1274,i1262,i3026,i1286,i3012,i3017,i3012,i1270,i1300,i3012,i3018,i1276,i3017,i1300,i1276,i3026,i3048,i3031,i3011,i3048,i3025,i3058,i3026,i1269,i1279,i3061,i1269,i3026,i3031,i3005,i3048,i3005,i3021,i3031,i3111,i3029,i3063,i3059,i3091,i3077,i3091,i3091,i3021,i3015,i3038,i3062,i3062,i3059,i3038,i3058,i3055,i3008,i3038,i3064,i3014,i3111,i3031,i3059,i3040,i3062,i3080
Birthdate,38497,38497,38499,38501,38501,38501,38501,38501,38503,38509,38509,38511,38507,38517,38517,38515,38521,38517,38519,38537,38519,38535,38535,38519,38525,38541,38537,38535,38541,38537,38537,38571,38543,38551,38545,38551,38537,38573,38519,38577,38573,38547,38577,38545,38551,38545,38585,38593,38601,38619,38631,38649,38667,38655,38661,38667,38585,38655,38583,38601,38607,38655,38583,38589,38655,38675,38589,38607,38621,38595,38603,38661,38603,38611,38627
ID,i1482,i1483,i1484,i1485,i1486,i1487,i1488,i1489,i1491,i1494,i1495,i1496,i1502,i1504,i1505,i1506,i1507,i1508,i1509,i1510,i1511,i1512,i1513,i1515,i1516,i1517,i1518,i1519,i1520,i1521,i1524,i1525,i1526,i1527,i1528,i1529,i1530,i1531,i1532,i1533,i1534,i1535,i1536,i1537,i1538,i1539,i3184,i3185,i3186,i3187,i3188,i3189,i3190,i3191,i3192,i3193,i3194,i3195,i3196,i3197,i3198,i3199,i3200,i3201,i3202,i3203,i3204,i3205,i3206,i3207,i3208,i3209,i3210,i3211,i3212
Vial,e1,e2,e3,e4,e5,e6,e7,e8,e10,e13,e14,e15,e4,e9,e6,e8,e11,e12,e1,e1,e2,e2,e4,e5,e5,e5,e8,e9,e9,e11,e15,e1,e2,e3 (e17),e4,e4,e4 (e14),e4,e5 (e16),e7,e9,e10,e11,e13,e13,e17,e1,e1,e1,e1,e1,e2,e2,e3,e3,e3,e4,e4,e5,e5,e5,e5,e6,e6,e6,e6,e7,e7,e7,e8,e8,e8,e9,e10,e12
Age,1,2,3,4,5,6,7,8,10,13,14,15,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
1,0.625,0.7,0.7,0.725,0.75,0.775,0.725,0.75,0.7,0.75,0.75,0.678,0.75,0.724,0.776,0.724,0.729,0.724,0.698,0.802,0.802,0.79,0.741,0.776,0.785,0.765,0.802,0.716,0.741,0.802,0.828,0.765,0.801,0.78,0.815,0.921,0.716,0.741,0.802,0.765,0.741,0.765,0.79,0.667,0.78,0.667,na,0.79,0.847,0.786,0.796,0.741,0.754,0.716,0.793,0.753,na,0.79,0.716,0.721,0.79,0.79,0.691,0.716,0.765,1.124,0.741,0.79,0.817,0.765,0.751,0.9,0.799,0.744,0.765
3,0.875,0.775,1,1.125,0.95,0.975,0.875,0.925,0.8,1.047,0.971,0.802,0.9,0.776,0.905,0.828,0.845,0.828,0.787,0.889,1.036,0.957,0.828,0.664,0.931,1.136,0.889,0.905,1.17,0.914,0.914,0.938,0.938,1.111,1.012,1.062,0.914,0.79,1.121,0.938,0.815,0.963,0.938,0.79,1.136,0.864,1.042,0.914,0.981,0.85,0.91,0.894,0.889,-1,-1,0.914,0.988,0.912,0.912,0.852,0.954,0.883,0.771,0.765,0.852,0.991,0.815,0.957,0.891,0.84,0.843,0.943,0.854,0.775,0.747
5,1.025,0.975,1.225,-1,1.35,1,1.4,1.375,1.075,1.124,1.184,-1,1.328,-1,0.898,1.164,0.983,1.069,0.843,0.938,1.228,1.111,-1,-1,1.063,1.259,0.963,1.062,1.012,1.16,1.235,1.333,1.012,1.284,1.21,1.235,0.963,0.84,1.376,1.086,0.889,1.094,1.333,-1,-1,-1,1.037,-1,1.201,-1,1.111,1.04,0.911,-1,-1,1.157,1.16,1.093,1.04,-1,1.067,1.061,0.812,0.889,1.253,1.069,-1,1.188,0.908,-1,0.84,1.085,1.037,-1,-1
7,1.3,1.2,1.7,-1,1.425,1.325,1.65,1.575,1.05,1.267,1.397,-1,1.475,-1,1.04,1.27,1.061,1.267,0.802,1.015,1.5,-1,-1,-1,1.138,1.407,1.12,-1,1.086,1.213,1.408,1.531,1.136,1.457,-1,1.333,0.978,0.815,1.811,-1,1.037,1.21,1.432,-1,-1,-1,1.16,-1,1.259,-1,1.238,1.16,0.918,-1,-1,1.378,1.235,1.3,1.259,-1,1.207,1.173,-1,1.012,1.31,1.25,-1,1.464,1.018,-1,0.893,-1,1.232,-1,-1
9,1.475,1.225,1.8,-1,1.65,1.375,1.8,1.625,1.055,1.526,1.604,-1,1.707,-1,1.319,1.406,1.355,1.474,0.854,1.136,1.578,-1,-1,-1,1.216,1.333,1.086,-1,1.086,1.235,1.58,1.58,1.403,1.58,-1,1.481,0.988,-1,1.811,-1,1.16,1.432,1.56,-1,-1,-1,-1,-1,1.484,-1,1.232,1.25,0.966,-1,-1,1.403,1.333,1.421,1.407,-1,1.376,1.297,-1,1.111,1.504,1.39,-1,1.419,1.082,-1,0.964,-1,1.43,-1,-1
11,1.675,1.4,1.95,-1,1.675,-1,1.872,-1,1.038,1.655,1.713,-1,1.733,-1,1.371,1.5,1.552,1.655,-1,1.136,1.634,-1,-1,-1,1.259,1.479,1.309,-1,1.317,1.358,1.704,1.704,1.506,1.704,-1,1.654,1.062,-1,1.864,-1,1.16,1.531,1.706,-1,-1,-1,-1,-1,1.659,-1,1.432,1.408,1.072,-1,-1,1.668,1.481,1.395,1.605,-1,1.389,1.247,-1,1.292,1.448,1.43,-1,-1,1.242,-1,1.012,-1,1.568,-1,-1
