Mom ID,i3026,i3021,i3020,i3021,i3058,i3011,i3047,na,i1278,i3056,i3025,i3020,i3025,i3040,i3020,i3026,i3047,i3012,i3061,i3021,i3012,i3058,i3025,i3062,i1308,i3029,i3002,i3008,i3008,i3038,i3031,i3111,i3002,i3008,i3059,i3090,i3089,i3062,i3002,i3065,i3035,i3040,i3036,i3015,i3059,i3077,i3055,i3055,i3044,i3064,i3002,i3055,i3059
Birthdate,38547,38573,38547,38563,38577,38547,38557,38579,38555,38567,38571,38555,38567,38575,38555,38567,38557,38557,38567,38579,38571,38589,38591,38607,38613,38619,38639,38669,38675,38589,38593,38601,38639,38645,38649,38655,38685,38611,38615,38655,38671,38593,38621,38631,38655,38661,38675,38677,38595,38603,38621,38655,38661
ID,i1540,i1541,i1542,i1545,i1546,i1547,i1548,i1549,i1550,i1551,i1552,i1553,i1554,i1555,i1556,i1557,i1558,i1559,i1560,i1561,i1562,i3213,i3214,i3215,i3216,i3217,i3218,i3219,i3220,i3221,i3222,i3223,i3224,i3225,i3226,i3227,i3228,i3229,i3230,i3231,i3232,i3233,i3234,i3235,i3236,i3237,i3238,i3239,i3240,i3241,i3242,i3243,i3244
Vial,f1,f1,f2,f3,f3,f4,f4,f4,f5,f5,f5,f6,f6,f6,f7,f7,f8,f9,f10,f10,f11,f1,f1,f1,f1,f1,f1,f1,f1,f2,f2,f2,f2,f2,f2,f2,f2,f3,f3,f3,f3,f4,f4,f4,f4,f4,f4,f4,f5,f5,f5,f6,f7
Age,1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,0,0,0,,0,,0,,0,,0,0,0,0
5,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,,,0,,0,0,0,0,0,,0,,0,0,0,,,0,,,0,0,0,0,,0,,0,,0,,0,0,0,0
7,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,,,0,,0,,,0,0,,0,,,0,,,,0,,,0,0,0,0,,0,,0,,0,,0,0,0,0
9,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,1,,,0,,,,,0,0,,0,,,0,,,,0,,,0,0,0,0,,,,,,0,,,0,0,0
11,0,0,0,0,0,,0,,,,0,,,0,,0,1,1,,,,,,,,0,0,,0,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,0,0
13,0,,0,0,0,,0,,,,0,,,0,,2,1,1,,,,,,,,0,0,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,0,0
