Mom ID,i3026,i3031,i3021,i3020,i3064,i3058,i3058,i3047,i3048,i3020,i1281,i3011,i1301,i1281,i3064,i3040,i3020,i3047,i3012,i3061,i3025,i3031,i3012,i3026,i1269,i1269,i3066,i3064,i3002,i3029,i3066,i3015,i3077,i3077,i3008,i3077,i3089,i3038,i3038,i3040,i3086,i3067,i3002,i3003,i3002,i3090,i3009,i3091,i3021,i3066,i3003,i3065,i3068,i3064,i3062,i3002,i3003,i3013,i3029,i3014,i3022,i3112,i3111,i3062,i3014,i3003,i3064
Birthdate,38547,38567,38573,38547,38559,38571,38581,38547,38551,38561,38575,38547,38555,38575,38559,38575,38555,38557,38557,38567,38571,38577,38571,38577,38595,38601,38605,38607,38615,38619,38629,38637,38655,38661,38669,38675,38685,38583,38589,38593,38601,38621,38625,38637,38645,38661,38671,38679,38621,38629,38637,38655,38583,38593,38611,38621,38631,38655,38675,38679,38655,38661,38595,38601,38661,38663,38603
ID,i1563,i1564,i1565,i1566,i1567,i1568,i1569,i1570,i1571,i1572,i1573,i1574,i1576,i1577,i1578,i1579,i1580,i1581,i1582,i1583,i1584,i1585,i1586,i1587,i3245,i3246,i3247,i3248,i3249,i3250,i3251,i3252,i3253,i3254,i3255,i3256,i3257,i3258,i3259,i3260,i3261,i3262,i3263,i3264,i3265,i3266,i3267,i3268,i3269,i3270,i3271,i3272,i3273,i3274,i3275,i3276,i3277,i3278,i3279,i3280,i3281,i3282,i3283,i3284,i3285,i3286,i3287
Vial,g1,g1,g1,g2,g2,g2,g2,g3,g3,g3,g3,g4,g4,g4,g5,g5,g6,g7,g8,g9,g10,g10,g11,g11,g1,g1,g1,g1,g1,g1,g1,g1,g1,g1,g1,g1,g1,g2,g2,g2,g2,g2,g2,g2,g2,g2,g2,g2,g3,g3,g3,g3,g4,g4,g4,g4,g4,g4,g4,g4,g5,g5,g6,g6,g6,g7,g8
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
1,0.815,0.781,0.716,0.84,0.79,0.83,0.765,0.741,0.739,0.79,0.691,0.765,0.741,0.79,0.765,0.765,0.79,0.79,0.815,0.765,0.855,0.84,0.79,0.964,0.741,0.747,0.81,0.79,0.763,0.793,0.809,0.774,0.691,0.788,0.84,0.688,0.697,0.691,0.741,0.79,0.781,0.759,na,0.809,0.72,0.825,0.708,0.755,0.783,0.765,0.796,0.79,0.741,0.963,0.723,0.812,0.78,0.765,0.879,0.786,0.815,0.766,0.765,0.725,0.718,0.794,0.676
3,0.914,0.84,0.84,0.963,0.963,0.914,0.889,0.889,1.111,0.914,0.815,-1,0.79,0.938,0.84,0.889,0.864,0.914,0.938,0.864,0.963,0.963,0.84,na,0.802,0.776,-1,0.897,-1,0.875,0.8,0.861,0.791,0.916,0.892,0.803,-1,0.676,0.741,0.889,0.909,0.813,0.87,0.828,0.873,0.962,0.72,0.886,0.915,0.804,0.972,0.821,0.886,0.988,na,0.791,0.887,0.878,1.1,0.839,0.806,0.921,0.938,0.918,0.87,0.874,1.015
5,1.321,-1,0.938,1.072,0.963,-1,1.012,-1,1.259,1.037,0.84,-1,0.938,0.963,0.864,0.889,1.037,1.062,1.037,0.988,-1,-1,0.864,1.111,-1,-1,-1,0.962,-1,0.936,0.835,0.919,0.757,0.968,-1,0.842,-1,-1,-1,0.864,1.052,-1,0.894,0.909,0.938,0.97,0.785,1.023,-1,0.771,-1,0.906,0.979,1.111,0.901,-1,0.914,1.01,-1,1.047,-1,0.927,-1,1.02,-1,1.007,1.111
7,1.531,-1,0.938,1.185,0.988,-1,-1,-1,1.457,1.148,0.963,-1,1.012,0.963,1.012,0.914,1.136,1.16,1.235,1.16,-1,-1,-1,1.235,-1,-1,-1,-1,-1,0.759,-1,0.889,-1,0.992,-1,-1,-1,-1,-1,-1,1.086,-1,0.938,-1,0.873,0.987,0.854,1.011,-1,-1,-1,0.973,1.111,1.194,0.898,-1,-1,1.054,-1,1.063,-1,0.987,-1,1.16,-1,1.086,1.062
9,1.531,-1,0.938,1.309,-1,-1,-1,-1,1.457,1.235,1.037,-1,1.012,-1,1.037,1.037,1.235,1.457,1.432,1.284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.912,-1,-1,-1,-1,-1,-1,-1,-1,1.111,-1,0.948,-1,0.969,-1,-1,-1,-1,-1,-1,1.028,1.136,1.171,0.934,-1,-1,1.07,-1,,-1,1.136,-1,1.136,-1,1.096,1.263
11,1.58,-1,0.963,1.309,-1,-1,-1,-1,-1,1.235,1.151,-1,1.086,-1,1.136,1.126,1.383,1.471,1.512,1.358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.922,-1,-1,-1,-1,-1,-1,-1,-1,1.186,-1,0.963,-1,0.988,-1,-1,-1,-1,-1,-1,1.035,-1,1.238,-1,-1,-1,1.087,-1,,-1,1.097,-1,1.285,-1,1.043,1.299
13,1.654,-1,1.002,-1,-1,-1,-1,-1,-1,-1,1.273,-1,1.103,-1,1.156,1.141,1.408,1.531,1.654,1.605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.988,-1,-1,-1,-1,-1,-1,-1,-1,na,-1,-1,-1,0.952,-1,-1,-1,-1,-1,-1,na,-1,1.217,-1,-1,-1,1.071,-1,,-1,1.109,-1,1.317,-1,0.995,1.35
15,1.728,-1,1.08,-1,-1,-1,-1,-1,-1,-1,1.235,-1,1.111,-1,1.16,1.16,1.383,1.531,1.654,1.506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.938,-1,-1,-1,-1,-1,-1,-1,-1,1.231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.136,-1,-1,-1,-1,-1,1.136,-1,,-1,1.142,-1,1.276,-1,1.092,-1
17,-1,-1,1.037,-1,-1,-1,-1,-1,-1,-1,1.235,-1,-1,-1,1.21,1.284,1.432,1.531,1.728,1.654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.917,-1,-1,-1,-1,-1,-1,-1,-1,1.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.217,-1,-1,-1,-1,-1,-1,-1,,-1,1.18,-1,1.318,-1,,-1
19,-1,-1,1.062,-1,-1,-1,-1,-1,-1,-1,1.259,-1,-1,-1,-1,1.333,1.506,1.58,1.728,1.715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.262,-1,-1,-1,-1,-1,-1,-1,,-1,1.242,-1,1.381,-1,,-1
21,-1,-1,1.111,-1,-1,-1,-1,-1,-1,-1,1.259,-1,-1,-1,-1,1.358,1.506,1.654,1.802,1.701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.22,-1,-1,-1,-1,-1,-1,-1,,-1,1.145,-1,1.345,-1,,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.333,-1,-1,-1,-1,1.432,1.605,1.679,1.802,1.728,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.256,-1,-1,-1,-1,-1,-1,-1,,-1,1.293,-1,1.353,-1,,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.378,-1,-1,-1,-1,1.401,1.605,1.753,1.827,1.753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.205,-1,-1,-1,-1,-1,-1,-1,,-1,1.269,-1,-1,-1,,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.364,-1,-1,-1,-1,1.46,1.605,1.802,1.877,1.802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.234,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.354,-1,-1,-1,-1,1.467,1.605,1.795,1.797,1.802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.266,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.339,-1,-1,-1,-1,1.497,-1,1.827,1.93,1.802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.339,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.383,-1,-1,-1,-1,1.481,-1,1.778,1.827,1.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.325,-1,-1,-1,-1,1.445,-1,1.728,1.827,1.835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.373,-1,-1,-1,-1,1.489,-1,1.802,-1,1.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.834,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
