Mom ID,na,i1278,i1299,i3079,i1281,i3079,i3111,i3090,i3090,i3090,i3091,i1278,i1299,i1281,i1269,i1269,i3111,i3111,i3085,i3091,i3077,i3090,i3090,i3090,i1281,i1278,i3102,i3118,i1281,i3118,i3080,i3118,i3090,i3077,i1308,i3111,i3077,i1308,i3090,i3090,i1269,i3090,i1269,i3111,i3107,i1301,i3084,i1281,i3111,i3118,i3118
Birthdate,38553,38555,38559,38559,38575,38581,38629,38637,38635,38673,38685,38589,38593,38597,38601,38605,38611,38629,38635,38661,38667,38673,38655,38673,38597,38603,38661,38599,38603,38629,38641,38629,38643,38667,38603,38609,38667,38603,38643,38667,38605,38667,38605,38609,38677,38605,38607,38607,38607,38609,38609
ID,i1588,i1589,i1590,i1591,i1592,i1593,i3288,i3289,i3290,i3291,i3292,i3293,i3294,i3295,i3296,i3297,i3298,i3299,i3300,i3301,i3302,i3303,i3304,i3305,i3306,i3307,i3308,i3309,i3310,i3311,i3312,i3313,i3314,i3315,i3316,i3317,i3318,i3319,i3320,i3321,i3322,i3323,i3324,i3325,i3326,i3327,i3328,i3329,i3330,i3331,i3332
Vial,maa1,maa2,maa2,maa3,maa4,maa4,maa1,maa1,maa2,maa2,maa2,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa4,maa4,maa5,maa5,maa5,maa6,maa7,maa7,maa7,maa8,maa8,maa8,maa9,maa9,maa9,maa10,maa10,maa10,maa11,maa11,maa12,maa12,maa12,maa13,maa14,maa15,maa16,maa17,maa18
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
5,0,,0,2,,0,,0,0,0,,,,,,0,,0,,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0,,,,0,0,0,0,0,0,
7,1,,0,2,,0,,0,0,0,,,,,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,6,,0,,0,0,0,,,,0,0,0,0,6,0,
9,6,,0,3,,3,,0,0,0,,,,,,,,,,,0,0,0,,3,2,0,3,,0,0,,,,6,,3,,0,2,0,,,,3,0,0,0,6,3,
11,6,,0,3,,3,,2,0,,,,,,,,,,,,1,0,1,,6,5,0,3,,0,1,,,,9,,3,,4,7,0,,,,3,0,5,4,9,5,
13,7,,0,4,,5,,2,0,,,,,,,,,,,,1,0,,,7,5,0,4,,0,,,,,11,,6,,7,,4,,,,8,1,5,4,13,,
15,9,,1,7,,8,,4,0,,,,,,,,,,,,,,,,12,6,0,7,,0,,,,,11,,11,,7,,6,,,,11,5,6,5,13,,
17,13,,1,7,,9,,4,0,,,,,,,,,,,,,,,,13,9,0,7,,0,,,,,13,,11,,7,,6,,,,11,6,6,8,16,,
19,13,,2,7,,9,,4,0,,,,,,,,,,,,,,,,13,9,0,9,,0,,,,,13,,13,,,,6,,,,13,9,6,8,16,,
