Mom ID,na,i1278,i1299,i3079,i1281,i3079,i3111,i3090,i3090,i3090,i3091,i1278,i1299,i1281,i1269,i1269,i3111,i3111,i3085,i3091,i3077,i3090,i3090,i3090,i1281,i1278,i3102,i3118,i1281,i3118,i3080,i3118,i3090,i3077,i1308,i3111,i3077,i1308,i3090,i3090,i1269,i3090,i1269,i3111,i3107,i1301,i3084,i1281,i3111,i3118,i3118
Birthdate,38553,38555,38559,38559,38575,38581,38629,38637,38635,38673,38685,38589,38593,38597,38601,38605,38611,38629,38635,38661,38667,38673,38655,38673,38597,38603,38661,38599,38603,38629,38641,38629,38643,38667,38603,38609,38667,38603,38643,38667,38605,38667,38605,38609,38677,38605,38607,38607,38607,38609,38609
ID,i1588,i1589,i1590,i1591,i1592,i1593,i3288,i3289,i3290,i3291,i3292,i3293,i3294,i3295,i3296,i3297,i3298,i3299,i3300,i3301,i3302,i3303,i3304,i3305,i3306,i3307,i3308,i3309,i3310,i3311,i3312,i3313,i3314,i3315,i3316,i3317,i3318,i3319,i3320,i3321,i3322,i3323,i3324,i3325,i3326,i3327,i3328,i3329,i3330,i3331,i3332
Vial,maa1,maa2,maa2,maa3,maa4,maa4,maa1,maa1,maa2,maa2,maa2,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa4,maa4,maa5,maa5,maa5,maa6,maa7,maa7,maa7,maa8,maa8,maa8,maa9,maa9,maa9,maa10,maa10,maa10,maa11,maa11,maa12,maa12,maa12,maa13,maa14,maa15,maa16,maa17,maa18
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,0.741,0.642,0.79,0.741,0.84,0.765,0.837,0.8,0.79,0.765,0.713,0.691,0.79,0.79,0.793,0.756,0.747,0.918,0.815,0.722,0.658,0.767,0.765,0.721,0.84,0.838,0.827,0.769,0.756,0.792,0.742,0.823,0.84,0.697,0.781,0.948,0.684,0.811,0.84,0.732,0.724,0.755,0.718,0.967,0.757,0.779,0.716,0.741,1.006,0.755,0.764
3,1.037,-1,0.889,1.136,-1,1.086,0.803,0.891,0.86,0.911,-1,0.815,0.765,0.804,0.771,0.914,-1,0.925,0.861,-1,-1,0.861,1.2,0.849,0.867,1.013,1.012,0.913,0.943,0.956,0.889,0.932,-1,0.84,na,1.154,0.84,0.946,0.892,0.938,0.864,0.963,1.086,-1,-1,0.864,0.902,0.929,1.193,0.971,0.931
5,1.531,-1,0.938,1.358,-1,1.294,-1,1.231,1.077,1.254,-1,-1,-1,-1,-1,0.95,-1,0.979,-1,-1,-1,1.262,1.307,1.309,-1,1.333,1.304,1.294,1.358,0.958,1.116,1.095,-1,1.127,1.432,1.698,-1,1.481,-1,1.283,1.203,1.322,-1,-1,-1,1.374,1.342,1.312,1.665,1.529,1.518
7,1.704,-1,1.362,1.675,-1,1.805,-1,1.432,1.526,1.354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.35,1.515,1.389,-1,1.607,1.444,1.584,1.548,-1,1.246,1.358,-1,-1,-1,1.876,-1,1.659,-1,1.528,1.425,1.436,-1,-1,-1,1.644,1.418,1.619,1.941,1.96,1.737
9,1.901,-1,1.563,2.076,-1,1.852,-1,1.482,1.679,1.588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.511,1.586,1.616,-1,1.858,1.778,1.852,1.787,-1,1.506,1.555,-1,-1,-1,1.846,-1,1.827,-1,1.629,1.696,1.548,-1,-1,-1,na,1.724,1.855,1.952,1.817,1.788
11,1.951,-1,1.778,1.951,-1,1.951,-1,1.62,1.773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.678,1.565,1.807,-1,2.022,1.752,2.033,1.776,-1,1.532,1.674,-1,-1,-1,1.906,-1,1.935,-1,1.842,1.792,1.87,-1,-1,-1,1.829,2.006,1.997,2.032,1.976,1.692
