Mom ID,i1338,i1333,i1338,i1338,i1312,i1321,i1333,i1321,i1312,i1328,i1312,i1312,i1312,i1338,i1345,i1312,i1345,i1323,i1323,i1353,i1353,i1312,i1368,i1311,i1327,i1333,i1343,i1343,i3123,i3129,i1312,i1345,i3144,i3134,i1353,i3129,i3151,i3129,i3153,i3151,i1338,i1338,i3151,i3134,i3129,i3151,i3139,i3151,i3146,i3150,i3151,i3151,i3150,i3144,i3123,i3146,i3123,i3144,i3144,i1312,i3139,i3139,i3146,i3139,i3134,i3153,i3151,i3139,i3153,i3139,i3151,i1350,i3151,i3153,i3153,i1350,i3151,i3151
Birthdate,38553,38557,38553,38553,38579,38553,38557,38553,38555,38561,38555,38555,38561,38567,38555,38561,38555,38555,38555,38553,38563,38565,38571,38565,38565,38565,38565,38565,38631,38637,38585,38593,38613,38625,38585,38655,38607,38637,38639,38663,38605,38609,38627,38629,38631,38607,38611,38673,38675,38685,38637,38673,38685,38619,38587,38667,38607,38613,38619,38591,38611,38615,38667,38611,38645,38655,38615,38621,38639,38641,38615,38591,38627,38629,38637,38591,38627,38627
ID,i1594,i1595,i1596,i1597,i1598,i1599,i1600,i1601,i1602,i1603,i1604,i1605,i1606,i1607,i1608,i1609,i1610,i1611,i1612,i1613,i1614,i1615,i1616,i1617,i1618,i1619,i1620,i1621,i3333,i3334,i3335,i3336,i3337,i3338,i3339,i3340,i3341,i3342,i3343,i3344,i3345,i3346,i3347,i3348,i3349,i3350,i3351,i3352,i3353,i3354,i3355,i3356,i3357,i3358,i3359,i3360,i3361,i3362,i3363,i3364,i3365,i3366,i3367,i3368,i3369,i3370,i3371,i3372,i3373,i3374,i3375,i3376,i3377,i3378,i3379,i3380,i3381,i3382
Vial,mb1,mb1,mb2,mb3,mb3,mb4,mb4,mb5,mb6,mb6,mb7,mb8,mb8,mb8,mb9,mb9,mb10,mb11,mb12,mb13,mb14,mb14,mb14,mb15,mb16,mb17,mb18,mb19,mb1,mb1,mb2,mb2,mb2,mb2,mb3,mb3,mb4,mb5,mb5,mb5,mb6,mb6,mb6,mb6,mb6,mb7,mb7,mb7,mb7,mb7,mb8,mb9,mb9,mb10,mb11,mb11,mb12,mb12,mb12,mb13,mb13,mb13,mb13,mb14,mb14,mb14,mb15,mb15,mb15,mb15,mb16,mb17,mb17,mb17,mb17,mb19,mb19,mb20
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1,0.716,0.79,0.765,0.716,0.771,0.741,0.815,0.741,0.741,0.765,0.79,0.765,0.716,0.57,0.79,0.765,0.79,0.765,0.741,0.765,0.765,0.789,0.691,0.699,0.782,0.657,0.765,0.698,0.836,0.817,0.764,0.79,0.809,0.781,0.766,0.765,0.765,0.8,0.74,0.715,0.827,0.782,0.737,0.73,0.799,0.765,0.805,0.677,0.767,0.697,0.74,0.709,0.728,0.771,0.79,0.696,0.79,0.657,0.753,0.79,0.822,0.859,0.694,0.79,0.755,0.741,0.819,0.71,0.825,na,0.888,0.79,0.793,0.722,na,0.765,0.78,0.749
3,-1,0.914,0.815,0.889,1.111,1.062,0.864,1.062,1.136,0.889,1.111,-1,-1,0.84,-1,0.889,0.988,1.037,1.111,1.26,-1,1.136,1.062,0.883,1.073,0.892,1.223,0.958,-1,0.977,na,0.914,0.973,0.823,na,0.89,0.922,-1,0.842,0.995,-1,0.966,-1,-1,0.926,-1,0.945,-1,1.085,-1,0.766,-1,-1,0.812,1.012,-1,0.797,0.8,0.895,-1,-1,1.073,-1,0.947,-1,0.874,-1,0.766,0.812,0.938,0.995,-1,-1,-1,0.717,1.012,0.899,0.885
5,-1,1.358,1.407,0.889,-1,-1,1.21,1.358,-1,1.235,1.284,-1,-1,0.963,-1,1.237,1.58,1.284,1.284,1.507,-1,1.432,1.333,1.333,1.58,1.333,1.457,1.457,-1,1.151,1.21,0.988,1.422,0.938,1.284,1.143,1.112,-1,1.037,1.174,-1,1.179,-1,-1,1.284,-1,0.994,-1,1.234,-1,0.903,-1,-1,0.866,1.247,-1,0.831,0.78,1.041,-1,-1,1.195,-1,1.041,-1,-1,-1,1.026,-1,1.171,1.18,-1,-1,-1,0.863,1.457,1.285,1
7,-1,1.605,1.605,1.16,-1,-1,1.259,1.58,-1,1.597,1.827,-1,-1,1.457,-1,1.349,1.852,1.481,1.654,1.605,-1,-1,1.531,1.531,1.556,1.506,1.679,1.728,-1,1.605,1.21,1.323,1.616,1.004,1.432,1.219,1.511,-1,1.186,1.309,-1,1.299,-1,-1,1.505,-1,1.362,-1,1.303,-1,1.111,-1,-1,0.942,1.398,-1,-1,-1,1.129,-1,-1,1.342,-1,1.285,-1,-1,-1,1.412,-1,1.281,1.359,-1,-1,-1,1.284,1.728,1.528,1.092
9,-1,1.897,1.778,1.309,-1,-1,1.593,1.728,-1,1.704,1.827,-1,-1,1.704,-1,1.605,1.901,1.704,1.877,1.605,-1,-1,1.844,1.728,1.728,1.753,1.827,1.654,-1,1.724,-1,1.401,1.647,1.223,1.481,1.498,1.529,-1,1.278,1.45,-1,1.592,-1,-1,1.426,-1,1.456,-1,-1,-1,1.201,-1,-1,1.034,1.585,-1,-1,-1,1.286,-1,-1,1.458,-1,1.52,-1,-1,-1,1.502,-1,1.407,1.529,-1,-1,-1,na,1.722,1.704,1.457
11,-1,1.944,1.951,1.531,-1,-1,1.7,1.852,-1,1.877,1.987,-1,-1,1.728,-1,1.728,1.997,1.755,1.986,1.728,-1,-1,1.951,1.852,1.877,1.926,1.951,1.827,-1,1.676,-1,1.522,1.764,1.457,1.704,1.654,1.61,-1,1.358,1.537,-1,1.58,-1,-1,1.697,-1,1.639,-1,-1,-1,1.542,-1,-1,1.182,1.703,-1,-1,-1,1.487,-1,-1,1.719,-1,1.609,-1,-1,-1,1.685,-1,na,1.746,-1,-1,-1,1.409,na,1.657,1.352
