Mom ID,i1407,i1378,i1386,i1378,i1390,i1380,i1399,i1380,i1386,i1376,i1376,i3154,i3156,i3154,i3160,i3160,i3157,i3154,i1405,i1376,i1399,i3154,i3154,i3160,i3162,i1386,i1376,i1386,i1390,i1376,i1386,i1376,i1390,i1390,i1386,i1376,i1395,i1390,i1386,i3163,i1395,i3162,i3160
Birthdate,38553,38553,38575,38581,38561,38567,38567,38591,38597,38605,38609,38633,38663,38665,38683,38671,38673,38675,38593,38615,38621,38623,38633,38671,38677,38593,38595,38597,38613,38633,38593,38595,38595,38613,38615,38633,38595,38613,38615,38671,38595,38677,38683
ID,i1623,i1624,i1625,i1626,i1627,i1628,i1629,i3383,i3384,i3385,i3386,i3387,i3388,i3389,i3390,i3391,i3392,i3393,i3394,i3395,i3396,i3397,i3398,i3399,i3400,i3401,i3402,i3403,i3404,i3405,i3406,i3407,i3408,i3409,i3410,i3411,i3412,i3413,i3414,i3415,i3416,i3417,i3418
Vial,mc1,mc2,mc2,mc2,mc3,mc3,mc4,mc1,mc1,mc1,mc2,mc2,mc2,mc3,mc3,mc4,mc4,mc4,mc5,mc5,mc5,mc5,mc5,mc5,mc5,mc7,mc7,mc7,mc7,mc7,mc6,mc6,mc8,mc8,mc8,mc8,mc9,mc9,mc9,mc9,mc10,mc10,mc10
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,,0,0,,0,0,,,,0,0,,,,,,0,,,,0,0,,0,0,0,,0,,,,0,0,,
5,0,0,,0,,0,0,0,,0,0,,0,0,,,,0,0,,,,,,0,,,,,0,,0,0,,,0,,,,0,0,,
7,0,0,,1,,0,2,,,0,0,,0,0,,,,0,,,,,,,0,,,,,0,,0,2,,,0,,,,0,,,
9,0,2,,1,,0,7,,,0,0,,2,1,,,,0,,,,,,,0,,,,,0,,0,2,,,1,,,,0,,,
11,1,4,,3,,2,7,,,0,0,,2,1,,,,0,,,,,,,,,,,,0,,1,4,,,1,,,,2,,,
13,4,8,,4,,2,7,,,1,0,,2,3,,,,,,,,,,,,,,,,0,,1,,,,1,,,,2,,,
15,4,8,,4,,3,8,,,1,0,,4,3,,,,,,,,,,,,,,,,0,,3,,,,1,,,,2,,,
17,6,8,,4,,9,8,,,1,0,,4,4,,,,,,,,,,,,,,,,0,,3,,,,1,,,,,,,
19,7,10,,4,,9,8,,,2,,,4,,,,,,,,,,,,,,,,,0,,3,,,,3,,,,,,,
21,7,,,4,,11,8,,,2,,,4,,,,,,,,,,,,,,,,,0,,3,,,,3,,,,,,,
23,10,,,,,11,8,,,2,,,4,,,,,,,,,,,,,,,,,0,,3,,,,3,,,,,,,
25,12,,,,,11,8,,,4,,,,,,,,,,,,,,,,,,,,0,,3,,,,4,,,,,,,
27,12,,,,,12,8,,,4,,,,,,,,,,,,,,,,,,,,2,,3,,,,4,,,,,,,
29,14,,,,,12,8,,,5,,,,,,,,,,,,,,,,,,,,2,,5,,,,6,,,,,,,
31,14,,,,,12,8,,,5,,,,,,,,,,,,,,,,,,,,2,,5,,,,6,,,,,,,
33,,,,,,12,8,,,5,,,,,,,,,,,,,,,,,,,,4,,5,,,,8,,,,,,,
35,,,,,,12,8,,,6,,,,,,,,,,,,,,,,,,,,4,,5,,,,8,,,,,,,
37,,,,,,13,8,,,6,,,,,,,,,,,,,,,,,,,,4,,7,,,,8,,,,,,,
39,,,,,,13,8,,,7,,,,,,,,,,,,,,,,,,,,4,,7,,,,8,,,,,,,
41,,,,,,13,8,,,7,,,,,,,,,,,,,,,,,,,,5,,7,,,,8,,,,,,,
43,,,,,,13,8,,,7,,,,,,,,,,,,,,,,,,,,5,,7,,,,8,,,,,,,
45,,,,,,14,8,,,7,,,,,,,,,,,,,,,,,,,,5,,7,,,,8,,,,,,,
47,,,,,,14,9,,,7,,,,,,,,,,,,,,,,,,,,7,,7,,,,8,,,,,,,
49,,,,,,14,9,,,7,,,,,,,,,,,,,,,,,,,,7,,7,,,,8,,,,,,,
51,,,,,,15,9,,,7,,,,,,,,,,,,,,,,,,,,7,,7,,,,8,,,,,,,
53,,,,,,15,9,,,7,,,,,,,,,,,,,,,,,,,,10,,7,,,,8,,,,,,,
55,,,,,,15,10,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
57,,,,,,15,10,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
59,,,,,,15,10,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
61,,,,,,15,11,,,9,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
63,,,,,,15,11,,,9,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
65,,,,,,17,12,,,9,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
67,,,,,,,12,,,10,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
69,,,,,,,12,,,10,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
71,,,,,,,12,,,10,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
73,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
75,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
77,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
79,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
81,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
