Mom ID,na,i1466,i1455,i1465,i1472,i1479,i1455,i1455,i1476,i1450,i1455,i1455,i1450,i1479,i1479,i1447,i1470,i1473,i3176,i3180,i1465,i1447,i3171,i1465,i1465,i1475,i1475
Birthdate,38553,38561,38563,38581,38553,38567,38553,38553,38555,38569,38559,38559,38559,38561,38571,38561,38593,38585,38623,38635,38597,38599,38611,38597,38605,38597,38597
ID,i1630,i1631,i1632,i1633,i1634,i1635,i1636,i1637,i1638,i1639,i1640,i1641,i1643,i1644,i1645,i1646,i3419,i3420,i3421,i3422,i3423,i3424,i3425,i3426,i3427,i3428,i3429
Vial,md1,md1,md1,md1,md2,md2,md3,md4,md5,md5,md6,md7,md8,md9,md9,md10,md1,md2,md2,md2,md6,md6,md6,md7,md7,md8,md9
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,
5,0,,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,0,,0,,,0,0,
7,0,,0,0,3,,0,0,3,0,0,0,0,,0,0,0,0,0,0,,0,,,0,,
9,,,0,,3,,1,0,,0,1,,0,,0,0,0,0,,0,,,,,0,,
11,,,2,,,,1,0,,0,3,,0,,0,0,0,0,,0,,,,,0,,
13,,,2,,,,3,0,,0,,,0,,0,0,0,2,,,,,,,,,
15,,,,,,,3,0,,0,,,0,,0,0,0,2,,,,,,,,,
17,,,,,,,5,0,,1,,,,,,0,1,4,,,,,,,,,
19,,,,,,,5,0,,1,,,,,,0,1,4,,,,,,,,,
21,,,,,,,5,0,,1,,,,,,1,1,6,,,,,,,,,
23,,,,,,,5,1,,3,,,,,,1,1,6,,,,,,,,,
25,,,,,,,6,1,,3,,,,,,1,1,6,,,,,,,,,
27,,,,,,,8,1,,4,,,,,,1,1,7,,,,,,,,,
29,,,,,,,8,1,,4,,,,,,2,1,7,,,,,,,,,
31,,,,,,,8,1,,6,,,,,,,1,7,,,,,,,,,
33,,,,,,,9,1,,6,,,,,,,1,7,,,,,,,,,
35,,,,,,,9,1,,6,,,,,,,1,8,,,,,,,,,
37,,,,,,,10,1,,6,,,,,,,1,,,,,,,,,,
39,,,,,,,11,1,,7,,,,,,,1,,,,,,,,,,
41,,,,,,,11,1,,7,,,,,,,1,,,,,,,,,,
43,,,,,,,13,1,,7,,,,,,,1,,,,,,,,,,
45,,,,,,,13,1,,7,,,,,,,1,,,,,,,,,,
47,,,,,,,13,1,,7,,,,,,,1,,,,,,,,,,
49,,,,,,,13,1,,7,,,,,,,1,,,,,,,,,,
51,,,,,,,14,1,,8,,,,,,,,,,,,,,,,,
53,,,,,,,14,1,,8,,,,,,,,,,,,,,,,,
55,,,,,,,14,1,,8,,,,,,,,,,,,,,,,,
57,,,,,,,14,1,,8,,,,,,,,,,,,,,,,,
59,,,,,,,15,1,,8,,,,,,,,,,,,,,,,,
61,,,,,,,15,,,8,,,,,,,,,,,,,,,,,
63,,,,,,,15,,,8,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,
