Mom ID,na,i1466,i1455,i1465,i1472,i1479,i1455,i1455,i1476,i1450,i1455,i1455,i1450,i1479,i1479,i1447,i1470,i1473,i3176,i3180,i1465,i1447,i3171,i1465,i1465,i1475,i1475
Birthdate,38553,38561,38563,38581,38553,38567,38553,38553,38555,38569,38559,38559,38559,38561,38571,38561,38593,38585,38623,38635,38597,38599,38611,38597,38605,38597,38597
ID,i1630,i1631,i1632,i1633,i1634,i1635,i1636,i1637,i1638,i1639,i1640,i1641,i1643,i1644,i1645,i1646,i3419,i3420,i3421,i3422,i3423,i3424,i3425,i3426,i3427,i3428,i3429
Vial,md1,md1,md1,md1,md2,md2,md3,md4,md5,md5,md6,md7,md8,md9,md9,md10,md1,md2,md2,md2,md6,md6,md6,md7,md7,md8,md9
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0.741,0.741,0.741,0.741,0.741,0.694,0.815,0.716,0.765,0.765,0.79,0.765,0.79,0.716,0.741,0.741,0.815,0.776,0.746,0.79,0.84,0.791,0.708,0.84,0.79,0.765,0.741
3,0.938,-1,1.086,0.914,0.938,0.716,1.012,0.914,0.938,0.938,1.16,0.963,0.963,0.914,0.889,0.815,0.914,na,0.826,0.897,-1,0.873,-1,-1,0.963,0.922,-1
5,1.21,-1,1.332,0.953,1.432,0.716,1.457,1.383,1.679,1.21,1.383,1.136,1.136,-1,1.21,1.111,1.037,1.062,1.001,0.941,-1,0.965,-1,-1,0.884,1.052,-1
7,1.605,-1,1.481,-1,1.654,-1,1.63,1.58,1.679,1.432,1.827,1.333,1.284,-1,1.383,1.338,1.353,1.259,1.037,1.128,-1,1.114,-1,-1,1.094,-1,-1
9,-1,-1,1.679,-1,1.654,-1,1.827,1.728,-1,1.605,1.92,-1,1.335,-1,1.481,1.481,1.496,1.531,-1,1.309,-1,-1,-1,-1,1.261,-1,-1
11,-1,-1,1.852,-1,-1,-1,1.827,1.852,-1,1.704,1.926,-1,1.333,-1,1.481,1.605,1.588,1.556,-1,1.402,-1,-1,-1,-1,1.34,-1,-1
13,-1,-1,1.852,-1,-1,-1,2,1.926,-1,1.753,-1,-1,1.333,-1,1.827,1.728,1.677,1.827,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,2.041,1.997,-1,1.753,-1,-1,1.383,-1,1.841,1.926,1.901,1.818,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,2,2.025,-1,1.865,-1,-1,-1,-1,-1,1.926,1.947,1.926,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,2.074,2.025,-1,1.877,-1,-1,-1,-1,-1,1.975,1.837,1.824,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,2.123,2.123,-1,1.926,-1,-1,-1,-1,-1,2.099,1.995,1.849,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,2.123,2.123,-1,2.074,-1,-1,-1,-1,-1,2.198,1.935,2.074,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,2.123,2.198,-1,2.074,-1,-1,-1,-1,-1,2.215,2.073,2.033,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,2.272,2.198,-1,2.148,-1,-1,-1,-1,-1,2.198,1.976,2.031,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,2.123,2.222,-1,2.055,-1,-1,-1,-1,-1,2.198,2.017,2.115,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,2.272,2.222,-1,1.97,-1,-1,-1,-1,-1,-1,1.96,1.968,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,-1,-1,-1,-1,-1,-1,2.209,2.208,-1,2.104,-1,-1,-1,-1,-1,-1,2.052,2.083,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,-1,-1,-1,-1,-1,-1,2.247,2.173,-1,2.17,-1,-1,-1,-1,-1,-1,2.101,2.014,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,-1,-1,-1,-1,-1,-1,2.247,2.198,-1,2.272,-1,-1,-1,-1,-1,-1,2.115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,-1,2.37,2.321,-1,2.067,-1,-1,-1,-1,-1,-1,2.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,-1,-1,-1,-1,-1,-1,2.37,2.321,-1,2.274,-1,-1,-1,-1,-1,-1,2.051,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
