day,infected,length,vol,t,F0,Ft
5,0,0.76801,0.01,0.125,10000000,8836963.636
5,0,0.72444,0.01,0.125,10000000,9238217.555
5,0,0.7847,0.01,0.125,10000000,9363609.404
5,0,0.76681,0.01,0.125,10000000,9131634.483
5,0,0.86124,0.01,0.125,10000000,9043860.188
5,0,0.86754,0.01,0.125,10000000,8931007.524
5,0,0.7726,0.01,0.125,10000000,9420035.737
5,0,0.91863,0.01,0.125,10000000,9325991.85
5,0,0.78571,0.01,0.125,10000000,9438844.514
5,0,0.84464,0.01,0.125,10000000,8623797.492
5,0,0.80162,0.01,0.125,10000000,9457653.292
5,0,0.81447,0.01,0.125,10000000,9175521.63
5,0,1.12368,0.01,0.125,10000000,8510944.828
5,0,1.06591,0.01,0.125,10000000,9463922.884
5,0,1.04374,0.01,0.125,10000000,9689628.213
5,1,0.81147,0.01,0.125,10000000,8981164.263
5,1,0.95942,0.01,0.125,10000000,9551697.179
5,1,0.86268,0.01,0.125,10000000,8561101.567
5,1,0.95736,0.01,0.125,10000000,9037590.596
5,1,0.99564,0.01,0.125,10000000,8410631.348
5,1,0.82074,0.01,0.125,10000000,9783672.1
5,1,0.85435,0.01,0.125,10000000,9576775.549
5,1,0.80059,0.01,0.125,10000000,9946681.505
5,1,0.82116,0.01,0.125,10000000,9382418.182
5,1,0.80112,0.01,0.125,10000000,8937277.116
5,1,0.82277,0.01,0.125,10000000,9739784.953
5,1,0.92085,0.01,0.125,10000000,9194330.408
5,1,0.80604,0.01,0.125,10000000,9946681.505
5,1,0.88269,0.01,0.125,10000000,9282104.702
5,1,0.78441,0.01,0.125,10000000,9639471.473
5,1,0.9657,0.01,0.125,10000000,9507810.031
5,1,0.75723,0.01,0.125,10000000,9626932.288
5,1,0.9222,0.01,0.125,10000000,9539157.994
5,1,0.81792,0.01,0.125,10000000,9589314.734
5,1,0.79259,0.01,0.125,10000000,8987433.856
5,1,0.87087,0.01,0.125,10000000,9796211.285
5,1,0.76233,0.01,0.125,10000000,9652010.658
5,1,0.78328,0.01,0.125,10000000,9551697.179
5,1,0.99643,0.01,0.125,10000000,9689628.213
10,0,0.97978,0.01,0.125,10000000,9791258.838
10,0,1.13794,0.01,0.125,10000000,7600602.273
10,0,1.16587,0.01,0.125,10000000,7613228.535
10,0,1.01218,0.01,0.125,10000000,8137218.434
10,0,1.15912,0.01,0.125,10000000,8206662.879
10,0,0.86484,0.01,0.125,10000000,9652369.949
10,0,1.0909,0.01,0.125,10000000,7562723.485
10,0,1.21663,0.01,0.125,10000000,8067773.99
10,0,1.17027,0.01,0.125,10000000,7013481.061
10,0,1.2708,0.01,0.125,10000000,6388481.061
10,0,1.17566,0.01,0.125,10000000,7367016.414
10,0,1.34746,0.01,0.125,10000000,7120804.293
10,0,1.27999,0.01,0.125,10000000,8206662.879
10,0,1.44231,0.01,0.125,10000000,6981915.404
10,0,1.04516,0.01,0.125,10000000,8837976.01
10,1,1.2838,0.01,0.125,10000000,9709188.131
10,1,1.3244,0.01,0.125,10000000,8004642.677
10,1,1.29183,0.01,0.125,10000000,8579137.626
10,1,1.08097,0.01,0.125,10000000,9576612.374
10,1,1.33856,0.01,0.125,10000000,9166258.838
10,1,1.33359,0.01,0.125,10000000,8610703.283
10,1,1.22244,0.01,0.125,10000000,9021056.818
10,1,1.34712,0.01,0.125,10000000,9248329.545
10,1,1.19342,0.01,0.125,10000000,7152369.949
10,1,1.22061,0.01,0.125,10000000,8326612.374
10,1,0.98995,0.01,0.125,10000000,8585450.758
10,1,1.29477,0.01,0.125,10000000,6628380.051
10,1,1.01129,0.01,0.125,10000000,9747066.919
10,1,1.31048,0.01,0.125,10000000,9923834.596
10,1,1.36525,0.01,0.125,10000000,6262218.434
10,1,1.22092,0.01,0.125,10000000,8111965.909
10,1,1.37405,0.01,0.125,10000000,6344289.141
10,1,1.44682,0.01,0.125,10000000,8187723.485
10,1,1.31416,0.01,0.125,10000000,7228127.525
10,1,1.31515,0.01,0.125,10000000,6666258.838
10,1,1.29907,0.01,0.125,10000000,6773582.071
10,1,1.23743,0.01,0.125,10000000,10176359.85
10,1,1.1881,0.01,0.125,10000000,9317773.99
10,1,1.14974,0.01,0.125,10000000,9658683.081
10,1,0.9236,0.01,0.125,10000000,9557672.98
10,1,1.3781,0.01,0.125,10000000,7190248.737
10,1,1.30762,0.01,0.125,10000000,8162470.96
12,0,1.3617,0.01,0.125,10000000,6463504.642
12,0,1.25319,0.01,0.125,10000000,8791090.849
12,0,1.30251,0.01,0.125,10000000,9142549.735
12,0,1.36501,0.01,0.125,10000000,6940958.223
12,0,1.36444,0.01,0.125,10000000,8001966.18
12,0,1.428,0.01,0.125,10000000,8021860.08
12,0,1.23907,0.01,0.125,10000000,8346793.767
12,0,1.27501,0.01,0.125,10000000,7982072.281
12,0,1.32441,0.01,0.125,10000000,9175706.233
12,0,1.28923,0.01,0.125,10000000,7796395.889
12,0,1.41017,0.01,0.125,10000000,8479419.761
12,0,1.34014,0.01,0.125,10000000,8486051.061
12,0,1.27388,0.01,0.125,10000000,8479419.761
12,0,1.36099,0.01,0.125,10000000,6868013.926
12,0,1.2553,0.01,0.125,10000000,8671727.454
12,1,1.39763,0.01,0.125,10000000,9533796.419
12,1,1.32262,0.01,0.125,10000000,9812311.008
12,1,1.35201,0.01,0.125,10000000,9673053.714
12,1,1.24363,0.01,0.125,10000000,9560321.618
12,1,1.49173,0.01,0.125,10000000,9175706.233
12,1,1.1671,0.01,0.125,10000000,9175706.233
12,1,1.32098,0.01,0.125,10000000,10157138.59
12,1,1.14343,0.01,0.125,10000000,8844141.247
12,1,1.31056,0.01,0.125,10000000,9334857.427
12,1,1.45427,0.01,0.125,10000000,9096130.637
12,1,1.31595,0.01,0.125,10000000,9699578.912
12,1,1.35294,0.01,0.125,10000000,8605414.456
12,1,1.44554,0.01,0.125,10000000,9474114.721
12,1,1.23409,0.01,0.125,10000000,9547059.019
12,1,1.38345,0.01,0.125,10000000,7723451.592
12,1,1.50636,0.01,0.125,10000000,9812311.008
12,1,1.33647,0.01,0.125,10000000,9162443.634
12,1,1.49026,0.01,0.125,10000000,9096130.637
12,1,1.36058,0.01,0.125,10000000,9394539.125
12,1,1.20785,0.01,0.125,10000000,8399844.164
12,1,1.35273,0.01,0.125,10000000,9865361.406
15,0,1.53681,0.01,0.125,10000000,6866402.891
15,0,1.37961,0.01,0.125,10000000,8638873.036
15,0,1.44803,0.01,0.125,10000000,8041764.299
15,0,1.32857,0.01,0.125,10000000,8846289.755
15,0,1.25281,0.01,0.125,10000000,8343461.345
15,0,1.3898,0.01,0.125,10000000,8180042.112
15,0,1.27398,0.01,0.125,10000000,8469168.448
15,0,1.39698,0.01,0.125,10000000,6099589.566
15,0,1.46374,0.01,0.125,10000000,5772751.1
15,0,1.51014,0.01,0.125,10000000,5106503.457
15,0,1.41595,0.01,0.125,10000000,7645786.926
15,0,1.53785,0.01,0.125,10000000,6658986.172
15,1,1.30631,0.01,0.125,10000000,9305120.679
15,1,1.52803,0.01,0.125,10000000,8896572.596
15,1,1.58349,0.01,0.125,10000000,9047421.119
15,1,1.56563,0.01,0.125,10000000,8971996.857
15,1,1.52935,0.01,0.125,10000000,8563448.774
15,1,1.54447,0.01,0.125,10000000,8519451.288
15,1,1.35614,0.01,0.125,10000000,9481110.622
15,1,1.61894,0.01,0.125,10000000,8827433.69
15,1,1.59905,0.01,0.125,10000000,9449683.847
15,1,1.50768,0.01,0.125,10000000,9198269.642
15,1,1.42114,0.01,0.125,10000000,5489910.119
15,1,1.41649,0.01,0.125,10000000,9047421.119
15,1,1.50775,0.01,0.125,10000000,9279979.258
15,1,1.53863,0.01,0.125,10000000,9462254.557
15,1,1.46044,0.01,0.125,10000000,8739438.718
15,1,1.56049,0.01,0.125,10000000,9097703.96
15,1,1.48711,0.01,0.125,10000000,9675956.631
15,1,1.41433,0.01,0.125,10000000,8796006.914
18,0,1.57658,0.01,0.125,10000000,8617799.254
18,0,1.48998,0.01,0.125,10000000,5988837.166
18,0,1.49045,0.01,0.125,10000000,6374169.671
18,0,1.32047,0.01,0.125,10000000,8481068.365
18,0,1.48198,0.01,0.125,10000000,8052230.578
18,0,1.41782,0.01,0.125,10000000,9556270.354
18,0,1.43951,0.01,0.125,10000000,8673734.618
18,0,1.50568,0.01,0.125,10000000,9487904.91
18,0,1.55555,0.01,0.125,10000000,9388464.264
18,0,1.47304,0.01,0.125,10000000,7722833.437
18,0,1.56166,0.01,0.125,10000000,8356767.557
18,0,1.4855,0.01,0.125,10000000,5622149.782
18,0,1.45049,0.01,0.125,10000000,6206363.58
18,0,1.446,0.01,0.125,10000000,9102572.405
18,1,1.60559,0.01,0.125,10000000,9742721.566
18,1,1.53088,0.01,0.125,10000000,9456829.708
18,1,1.61773,0.01,0.125,10000000,9537625.233
18,1,1.61088,0.01,0.125,10000000,9717861.405
18,1,1.60845,0.01,0.125,10000000,7940359.851
18,1,1.71143,0.01,0.125,10000000,9630850.839
18,1,1.59508,0.01,0.125,10000000,8282187.073
18,1,1.50079,0.01,0.125,10000000,9947817.899
18,1,1.7008,0.01,0.125,10000000,8785605.345
18,1,1.27491,0.01,0.125,10000000,9208228.092
18,1,1.50584,0.01,0.125,10000000,9195798.011
18,1,1.50576,0.01,0.125,10000000,9494119.95
18,1,1.54561,0.01,0.125,10000000,9357389.062
