day,infected,length,vol,t,F0,Ft
5,0,0.76801,0.01,0.125,10000,8836.963636
5,0,0.72444,0.01,0.125,10000,9238.217555
5,0,0.7847,0.01,0.125,10000,9363.609404
5,0,0.76681,0.01,0.125,10000,9131.634483
5,0,0.86124,0.01,0.125,10000,9043.860188
5,0,0.86754,0.01,0.125,10000,8931.007524
5,0,0.7726,0.01,0.125,10000,9420.035737
5,0,0.91863,0.01,0.125,10000,9325.99185
5,0,0.78571,0.01,0.125,10000,9438.844514
5,0,0.84464,0.01,0.125,10000,8623.797492
5,0,0.80162,0.01,0.125,10000,9457.653292
5,0,0.81447,0.01,0.125,10000,9175.52163
5,0,1.12368,0.01,0.125,10000,8510.944828
5,0,1.06591,0.01,0.125,10000,9463.922884
5,0,1.04374,0.01,0.125,10000,9689.628213
5,1,0.81147,0.01,0.125,10000,8981.164263
5,1,0.95942,0.01,0.125,10000,9551.697179
5,1,0.86268,0.01,0.125,10000,8561.101567
5,1,0.95736,0.01,0.125,10000,9037.590596
5,1,0.99564,0.01,0.125,10000,8410.631348
5,1,0.82074,0.01,0.125,10000,9783.6721
5,1,0.85435,0.01,0.125,10000,9576.775549
5,1,0.80059,0.01,0.125,10000,9946.681505
5,1,0.82116,0.01,0.125,10000,9382.418182
5,1,0.80112,0.01,0.125,10000,8937.277116
5,1,0.82277,0.01,0.125,10000,9739.784953
5,1,0.92085,0.01,0.125,10000,9194.330408
5,1,0.80604,0.01,0.125,10000,9946.681505
5,1,0.88269,0.01,0.125,10000,9282.104702
5,1,0.78441,0.01,0.125,10000,9639.471473
5,1,0.9657,0.01,0.125,10000,9507.810031
5,1,0.75723,0.01,0.125,10000,9626.932288
5,1,0.9222,0.01,0.125,10000,9539.157994
5,1,0.81792,0.01,0.125,10000,9589.314734
5,1,0.79259,0.01,0.125,10000,8987.433856
5,1,0.87087,0.01,0.125,10000,9796.211285
5,1,0.76233,0.01,0.125,10000,9652.010658
5,1,0.78328,0.01,0.125,10000,9551.697179
5,1,0.99643,0.01,0.125,10000,9689.628213
10,0,0.97978,0.01,0.125,10000,9791.258838
10,0,1.13794,0.01,0.125,10000,7600.602273
10,0,1.16587,0.01,0.125,10000,7613.228535
10,0,1.01218,0.01,0.125,10000,8137.218434
10,0,1.15912,0.01,0.125,10000,8206.662879
10,0,0.86484,0.01,0.125,10000,9652.369949
10,0,1.0909,0.01,0.125,10000,7562.723485
10,0,1.21663,0.01,0.125,10000,8067.77399
10,0,1.17027,0.01,0.125,10000,7013.481061
10,0,1.2708,0.01,0.125,10000,6388.481061
10,0,1.17566,0.01,0.125,10000,7367.016414
10,0,1.34746,0.01,0.125,10000,7120.804293
10,0,1.27999,0.01,0.125,10000,8206.662879
10,0,1.44231,0.01,0.125,10000,6981.915404
10,0,1.04516,0.01,0.125,10000,8837.97601
10,1,1.2838,0.01,0.125,10000,9709.188131
10,1,1.3244,0.01,0.125,10000,8004.642677
10,1,1.29183,0.01,0.125,10000,8579.137626
10,1,1.08097,0.01,0.125,10000,9576.612374
10,1,1.33856,0.01,0.125,10000,9166.258838
10,1,1.33359,0.01,0.125,10000,8610.703283
10,1,1.22244,0.01,0.125,10000,9021.056818
10,1,1.34712,0.01,0.125,10000,9248.329545
10,1,1.19342,0.01,0.125,10000,7152.369949
10,1,1.22061,0.01,0.125,10000,8326.612374
10,1,0.98995,0.01,0.125,10000,8585.450758
10,1,1.29477,0.01,0.125,10000,6628.380051
10,1,1.01129,0.01,0.125,10000,9747.066919
10,1,1.31048,0.01,0.125,10000,9923.834596
10,1,1.36525,0.01,0.125,10000,6262.218434
10,1,1.22092,0.01,0.125,10000,8111.965909
