times,length,eggs,,,
5,0.76801,NA,,,
5,0.72444,NA,,,
5,0.7847,NA,,,
5,0.76681,NA,,,
5,0.86124,NA,,,
5,0.86754,NA,,,
5,0.7726,NA,,,
5,0.91863,NA,,,
5,0.78571,NA,,,
5,0.84464,NA,,,
5,0.80162,NA,,,
5,0.81447,NA,,,
5,1.12368,NA,,,
5,1.06591,NA,,,
5,1.04374,NA,,,
10,0.97978,NA,,,
10,1.13794,NA,,,
10,1.16587,NA,,,
10,1.01218,NA,,,
10,1.15912,NA,,,
10,0.86484,NA,,,
10,1.0909,NA,,,
10,1.21663,NA,,,
10,1.17027,NA,,,
10,1.2708,NA,,,
10,1.17566,NA,,,
10,1.34746,NA,,,
10,1.27999,NA,,,
10,1.44231,NA,,,
10,1.04516,NA,,,
12,1.3617,NA,,,
12,1.25319,NA,,,
12,1.30251,NA,,,
12,1.36501,NA,,,
12,1.36444,NA,,,
12,1.428,NA,,,
12,1.23907,NA,,,
12,1.27501,NA,,,
12,1.32441,NA,,,
12,1.28923,NA,,,
12,1.41017,NA,,,
12,1.34014,NA,,,
12,1.27388,NA,,,
12,1.36099,NA,,,
12,1.2553,NA,,,
15,1.53681,NA,,,
15,1.37961,NA,,,
15,1.44803,NA,,,
15,1.32857,NA,,,
15,1.25281,NA,,,
15,1.3898,NA,,,
15,1.27398,NA,,,
15,1.39698,NA,,,
15,1.46374,NA,,,
15,1.51014,NA,,,
15,1.41595,NA,,,
15,1.53785,NA,,,
18,1.57658,NA,,,
18,1.48998,NA,,,
18,1.49045,NA,,,
18,1.32047,NA,,,
18,1.48198,NA,,,
18,1.41782,NA,,,
18,1.43951,NA,,,
18,1.50568,NA,,,
18,1.55555,NA,,,
18,1.47304,NA,,,
18,1.56166,NA,,,
18,1.4855,NA,,,
18,1.45049,NA,,,
18,1.446,NA,,,
25,1.58731,20,,,
25,1.62045,23,,,
25,1.43676,14,,,
25,1.56502,10,,,
25,1.5891,15,,,
25,1.63388,26,,,
25,1.47692,19,,,
25,1.45544,15,,,
25,1.75961,11,,,
25,1.52388,16,,,
25,1.46382,11,,,
25,1.6474,23,,,
30,1.72069,29,,,
30,1.6654,28,,,
30,1.62612,17,,,
30,1.79677,34,,,
30,1.90543,41,,,
30,1.82311,45,,,
30,1.6803,24,,,
30,1.66795,30,,,
30,1.79058,31,,,
35,1.86909,50,,,
35,1.79466,54,,,
35,1.72221,25,,,
35,1.76915,51,,,
35,1.65121,40,,,
35,1.71056,41,,,
35,1.80289,64,,,
35,1.74172,51,,,
35,1.7193,41,,,
35,1.86658,60,,,
35,1.77857,43,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
