id,113a1,113a2,113a3,113a4,113a5,113a6,113a7,113a8,113a9,113a10,113a11,113a12,113a13,113a14,113a15,113a16,113a17,113a18,113a19,113a20,113a21,113a22,113a23,113a24,113a25,113a26,113a27,113a28,113a29,113a30,113a31,113a32,113a33,113a34,113a35,113a36,113a37,113a38,113a39,113a40,113a41,113a42,113a43,113a44,113a45,113a46,113a47,113a48
momid,m12,m12,m4,m2,m17,a3,a3,a3,a3,a3,a4,a2,a4,a1,a6,a2,a3,a4,a6,a6,a1,a1,a1,a2,a3,a3,a3,a3,a1,a1,a1,a4,a4,a4,a2,a7,a2,a10,a10,a10,a10,a3,a3,a4,a4,a6,a10,a4
dob,39544,39544,39564,39582,39582,39590,39596,39596,39602,39602,39612,39612,39620,39622,39624,39630,39630,39634,39636,39638,39644,39644,39644,39644,39648,39648,39648,39648,39650,39650,39650,39660,39660,39660,39666,39666,39666,39668,39670,39670,39670,39676,39676,39676,39676,39678,39678,39698
vial,113a1,113a2,113a3,113a1,113a3,113a1,113a4,113a5,113a5,113a2,113a3,113a6,113a4,113a1,113a4,113a1,113a3,113a1,113a2,113a3,113a7,113a9,113a10,113a11,113a8,113a9,113a10,113a11,113a9,113a11,113a12,113a5,113a6,113a8,113a1,113a4,113a9,113a9,113a1,113a7,113a9,113a1,113a2,113a7,113a7,113a8,113a11,113a4
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
7,0,0,-1,-1,0,0,0,-1,0,0,0,0,-1,,0,,0,0,0,0,0,-1,,,0,,0,,0,0,0,0,0,0,-1,0,,,-1,0,0,0,0,-1,-1,0,-1,0
9,0,0,,,4,4,0,,0,0,0,0,,,0,,0,0,4,0,0,,,,-1,,0,,0,0,0,0,0,0,,0,,,,-1,-1,0,0,,,0,,0
11,4,4,,,6,4,0,,4,3,5,0,,,6,,-1,4,0,5,0,,,,,,0,,0,2,0,4,0,0,,3,,,,,,0,0,,,3,,0
13,5,3,,,7,0,4,,5,6,0,4,,,0,,,6,3,0,0,,,,,,3,,0,0,2,0,2,2,,4,,,,,,0,0,,,5,,0
15,4,3,,,4,6,6,,0,6,7,0,,,6,,,1,3,6,3,,,,,,4,,-1,3,5,2,0,0,,0,,,,,,2,0,,,0,,0
17,0,0,,,0,5,5,,9,0,4,6,,,6,,,6,5,7,0,,,,,,0,,,2,0,4,0,0,,4,,,,,,0,3,,,4,,1
19,4,7,,,7,7,3,,6,6,4,6,,,0,,,5,0,7,6,,,,,,5,,,4,5,4,1,4,,7,,,,,,0,2,,,5,,3
21,6,7,,,7,0,0,,5,7,-1,0,,,8,,,0,6,2,5,,,,,,5,,,4,0,0,2,-1,,3,,,,,,0,4,,,6,,0
23,6,5,,,9,6,7,,7,6,,8,,,5,,,5,5,6,4,,,,,,5,,,4,-1,4,7,,,0,,,,,,5,0,,,0,,3
25,0,0,,,0,0,8,,0,0,,6,,,5,,,5,4,7,0,,,,,,6,,,1,,0,5,,,4,,,,,,1,4,,,6,,3
27,5,4,,,9,10,-1,,7,0,,6,,,0,,,3,0,7,4,,,,,,0,,,0,,5,2,,,0,,,,,,3,3,,,5,,2
29,5,7,,,9,1,,,10,5,,0,,,-2,,,-1,6,0,-1,,,,,,3,,,0,,2,0,,,3,,,,,,0,3,,,0,,0
