id,113a1,113a2,113a3,113a4,113a5,113a6,113a7,113a8,113a9,113a10,113a11,113a12,113a13,113a14,113a15,113a16,113a17,113a18,113a19,113a20,113a21,113a22,113a23,113a24,113a25,113a26,113a27,113a28,113a29,113a30,113a31,113a32,113a33,113a34,113a35,113a36,113a37,113a38,113a39,113a40,113a41,113a42,113a43,113a44,113a45,113a46,113a47,113a48
momid,m12,m12,m4,m2,m17,a3,a3,a3,a3,a3,a4,a2,a4,a1,a6,a2,a3,a4,a6,a6,a1,a1,a1,a2,a3,a3,a3,a3,a1,a1,a1,a4,a4,a4,a2,a7,a2,a10,a10,a10,a10,a3,a3,a4,a4,a6,a10,a4
dob,39544,39544,39564,39582,39582,39590,39596,39596,39602,39602,39612,39612,39620,39622,39624,39630,39630,39634,39636,39638,39644,39644,39644,39644,39648,39648,39648,39648,39650,39650,39650,39660,39660,39660,39666,39666,39666,39668,39670,39670,39670,39676,39676,39676,39676,39678,39678,39698
vial,113a1,113a2,113a3,113a1,113a3,113a1,113a4,113a5,113a5,113a2,113a3,113a6,113a4,113a1,113a4,113a1,113a3,113a1,113a2,113a3,113a7,113a9,113a10,113a11,113a8,113a9,113a10,113a11,113a9,113a11,113a12,113a5,113a6,113a8,113a1,113a4,113a9,113a9,113a1,113a7,113a9,113a1,113a2,113a7,113a7,113a8,113a11,113a4
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,2.4,2.35,2.4,2.1,2.45,2.45,1.95,2.25,2.25,2.25,2.35,2.25,1.9,2.05,1.9,2.2,2.2,2.2,2.35,1.9,2.15,2.2,2,1.8,2.4,2.15,2.3,2,2.1,2.2,2.15,2.2,2.15,2.25,2.4,2.3,2.35,2.15,2.15,2.3,2.3,2.4,2.3,2.15,2.15,1.9,2.1,2.25
3,3.35,2.75,3.1,2.05,3.9,2.75,2.85,2.5,3.6,3.5,2.9,2.5,2.05,-1,2.9,-1,2.65,2.4,2.8,2.9,2.25,2.55,-1,-1,2.45,-1,2.5,-1,2.4,3.1,2.3,3,2.5,2.5,2.45,2.6,-1,-1,2.15,2.6,2.55,2.65,2.65,2.6,2.6,2.9,2.2,2.45
5,4.15,3.75,-1,-1,4.6,4.3,3.6,-1,4.5,4,3.55,2.9,-1,,3.5,,3.35,2.9,4.4,3.7,2.65,-1,,,2.4,,2.75,,3.1,3.45,3.1,3.35,3.2,3,-1,3.9,,,-1,2.85,2.6,2.9,2.8,-1,-1,4.55,-1,2.7
7,5.5,4.4,,,5.2,5.15,5.25,,5.3,4.8,3.9,4.7,,,5.5,,3.8,4.55,5.3,5.6,4.1,,,,-1,,4.4,,3.1,4.2,4.1,4.4,3.65,3.4,,4.8,,,,-1,-1,3.5,3.55,,,5.15,,3.4
9,5.25,5,,,5.8,5.8,5.85,,5.6,5.6,5.3,5.5,,,6.1,,-1,5.7,5.4,6,4.7,,,,,,5.15,,3.9,4.85,4.8,5.25,4.8,4.6,,5.3,,,,,,4,4.2,,,5.85,,3.4
11,5.9,5.75,,,6.2,5.9,5.55,,6.5,6.45,5.3,6.15,,,6.45,,,6.1,5.6,6.25,5.6,,,,,,5.6,,3.9,5.25,5.45,5.6,5.2,4.9,,5.8,,,,,,4.85,4.5,,,6.25,,4.35
13,6.4,6.25,,,7,6.1,6.1,,7,6.9,5.5,6,,,6.5,,,6,6.25,6.4,6.15,,,,,,5.95,,-1,5.05,5.7,5.3,5.15,5.35,,6.1,,,,,,5.15,5.45,,,6.4,,5
15,6.3,6,,,6.85,6.65,6.65,,6.5,6.7,5.8,6.75,,,6.7,,,6.35,6.4,7,6.45,,,,,,6.25,,,5.35,5.5,5.85,5.6,5.2,,6.25,,,,,,5.2,5.3,,,6.25,,5.5
