id,322a1,322a2,322a3,322a4,322a5,322a6,322a7,322a8,322a9,322a10,322a11,322a12,322a13,322a14,322a15,322a16,322a17,322a18,322a19,322a20,322a21,322a22,322a23,322a24,322a25,322a26,322a27,322a28,322a29,322a30,322a31,322a32,322a33,322a34
momid,m8,322a1,m6,m19,a1,a1,a1,m13,a2,a4,a2,a2,a2,a6,a6,a6,a6,a2,a2,a2,a2,a2,a7,a7,a7,a7,a7,a9,a9,a10,a10,a7,a1,a5
dob,39544,39560,39564,39582,39596,39598,39598,39598,39622,39636,39640,39646,39646,39646,39650,39650,39650,39654,39654,39658,39658,39658,39658,39666,39666,39666,39666,39668,39668,39670,39672,39674,39676,39680
vial,322a1,322a2,322a3,322a1,322a3,322a4,322a5,322a6,322a2,322a3,322a1,322a1,322a7,322a9,322a8,322a10,322a11,322a1,322a12,322a1,322a3,322a5,322a8,322a2,322a4,322a6,322a12,322a8,322a9,322a2,322a8,322a11,322a3,322a5
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,,0
9,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-2,0,0,,-2,0,0,0,0,,0,0,0,,0,0,0,0,,0
11,0,0,4,0,3,0,0,0,3,0,,-1,2,0,,4,0,,,0,0,0,-1,,3,0,0,,0,0,2,0,,0
13,0,2,4,0,3,0,0,0,0,0,,,4,3,,4,5,,,0,0,0,,,2,0,0,,0,0,3,1,,0
15,3,5,0,3,3,2,0,0,2,3,,,0,1,,6,4,,,0,0,0,,,3,2,3,,0,4,1,0,,2
17,2,5,6,0,1,3,3,4,4,4,,,4,4,,0,4,,,2,0,2,,,4,0,0,,2,2,2,3,,3
19,2,0,6,0,3,0,2,1,4,3,,,3,0,,5,0,,,3,0,0,,,0,1,3,,0,0,3,0,,4
21,2,5,3,2,5,0,2,2,0,4,,,4,5,,4,4,,,3,-1,4,,,1,0,0,,2,4,4,0,,
23,0,6,0,3,3,3,2,3,5,-1,,,0,0,,5,0,,,1,,6,,,4,0,0,,0,3,0,-2,,
25,2,4,4,3,5,2,5,3,3,,,,0,-1,,6,-2,,,3,,-1,,,-1,-1,0,,0,0,5,,,
27,4,0,3,6,0,4,0,5,4,,,,3,,,5,,,,-1,,,,,,,2,,0,0,3,,,
29,3,5,0,0,3,0,3,0,0,,,,4,,,2,,,,,,,,,,,4,,0,1,,,,
31,2,7,2,6,0,4,2,4,5,,,,5,,,2,,,,,,,,,,,2,,-1,,,,,
33,0,4,-1,6,4,4,1,4,4,,,,0,,,5,,,,,,,,,,,2,,,,,,,
35,3,2,,5,0,0,1,0,4,,,,8,,,0,,,,,,,,,,,,,,,,,,
37,-1,2,,0,5,4,5,4,6,,,,0,,,6,,,,,,,,,,,,,,,,,,
39,,4,,3,-1,3,4,5,0,,,,-1,,,5,,,,,,,,,,,,,,,,,,
41,,4,,4,,0,0,3,0,,,,,,,0,,,,,,,,,,,,,,,,,,
43,,0,,4,,0,2,0,0,,,,,,,3,,,,,,,,,,,,,,,,,,
45,,4,,0,,4,4,4,-1,,,,,,,0,,,,,,,,,,,,,,,,,,
47,,4,,3,,4,2,4,,,,,,,,8,,,,,,,,,,,,,,,,,,
49,,3,,0,,4,0,1,,,,,,,,0,,,,,,,,,,,,,,,,,,
51,,5,,3,,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,5,,0,,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,4,,1,,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,0,,0,,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,3,,0,,5,-1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,2,,-1,,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,3,,,,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,-1,,,,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,3,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
