id,322a1,322a2,322a3,322a4,322a5,322a6,322a7,322a8,322a9,322a10,322a11,322a12,322a13,322a14,322a15,322a16,322a17,322a18,322a19,322a20,322a21,322a22,322a23,322a24,322a25,322a26,322a27,322a28,322a29,322a30,322a31,322a32,322a33,322a34
momid,m8,322a1,m6,m19,a1,a1,a1,m13,a2,a4,a2,a2,a2,a6,a6,a6,a6,a2,a2,a2,a2,a2,a7,a7,a7,a7,a7,a9,a9,a10,a10,a7,a1,a5
dob,39544,39560,39564,39582,39596,39598,39598,39598,39622,39636,39640,39646,39646,39646,39650,39650,39650,39654,39654,39658,39658,39658,39658,39666,39666,39666,39666,39668,39668,39670,39672,39674,39676,39680
vial,322a1,322a2,322a3,322a1,322a3,322a4,322a5,322a6,322a2,322a3,322a1,322a1,322a7,322a9,322a8,322a10,322a11,322a1,322a12,322a1,322a3,322a5,322a8,322a2,322a4,322a6,322a12,322a8,322a9,322a2,322a8,322a11,322a3,322a5
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,2.8,2.15,2.3,2.2,2.35,1.8,1.8,2.2,1.8,2.4,2.3,2.25,2.25,1.8,2.4,2.35,2.4,2.3,2.3,1.75,1.75,1.75,2.25,2.35,2.35,2.35,2.4,2.05,2.05,2.35,2.2,2.35,2.25,2.1
3,3.15,3.05,2.85,2.4,3.55,2.4,2.65,2.45,2.75,2.55,2.55,3.4,3.2,3,2.65,3.85,3.6,-2,3.05,2.7,2.55,2.1,2.45,2.55,2.8,2.7,2.6,2.4,2.6,2.7,3.4,2.85,-1,2.85
5,4,4.4,3.9,2.6,4.15,2.55,3.9,3.15,3.55,3.25,2.85,3.9,3.5,3.4,3.95,4.8,4.45,,3.65,2.95,2.85,2.25,2.65,-1,3.4,3.2,3.4,-1,2.8,3.05,4.15,3.45,,3.05
7,4.1,4.8,4.85,3.35,5.75,3.9,4.1,3.6,5.2,3.75,-1,4.35,4.6,4.25,-2,5.3,4.85,,-2,3.25,3.35,2.9,2.9,,4,3.55,3.8,,3.05,4.05,4.75,3.95,,4
9,4.7,5.4,5.55,4.3,5.75,4.25,4.45,3.7,6,4.85,,-1,5.1,5.1,,6.05,5.8,,,4,3.8,3.15,-1,,5.2,4.4,4.2,,3.45,4.7,5.2,5.1,,4.35
11,4.9,5.75,6.15,4.8,5.85,5,4.7,4,5.8,5.9,,,5.6,5.55,,6.3,5.9,,,4.65,4.45,3.6,,,5.2,5.1,5.15,,4.3,5,5.8,5.1,,4.85
13,5.3,5.9,6.5,5.25,6.2,5.15,5.2,5,5.9,5.6,,,5.7,5.6,,6.7,6.15,,,5.05,4.7,4.45,,,5.45,5.1,5.65,,4.7,5.75,6.25,5.5,,5.3
15,5.4,6.2,6.55,5.35,6.35,5.5,5.75,5.6,6.3,5.95,,,5.7,6.1,,6.3,6.25,,,5.2,4.9,4.95,,,5.5,5.3,5.3,,4.85,6.1,6.2,5.7,,5.65
17,5.5,6.3,7,5.65,6.6,5.65,5.7,5.6,6.7,6.3,,,6,6.15,,6.65,6.5,,,5.6,4.95,5.35,,,5.9,5.3,5.7,,5.15,6.45,6.4,6.1,,5.9
19,5.9,6.6,7.15,5.65,6.75,5.65,5.5,5.4,6.8,6.4,,,6.05,6.1,,7.2,6.75,,,5.7,-1,5.3,,,5.8,5.6,5.6,,5.3,6.1,6.8,6.2,,5.8
21,6.1,6.95,7.5,6,6.7,5.9,5.95,5.9,6.75,-1,,,6.2,6.3,,7.3,6.7,,,5.8,,5.45,,,5.9,5.75,5.7,,5.3,6.25,6.8,-2,,
23,6.1,7.3,7.15,6.25,7,6.1,6.05,6.05,7,,,,6.2,-1,,na,-2,,,5.8,,-1,,,-1,-1,5.9,,5.3,6.35,7.1,,,
25,6.05,7.05,7.5,6.5,7.2,6.4,6,6.5,7,,,,6.4,,,7.35,,,,-1,,,,,,,6.15,,5.35,6.5,7.2,,,
27,6.3,7,7.65,6.55,7,6.4,6.15,6.5,7.4,,,,6.75,,,7.85,,,,,,,,,,,6.65,,5.7,6.5,7.3,,,
29,6.2,7.3,7.6,6.7,7.1,6.45,6.15,6.7,7.35,,,,7.25,,,7.8,,,,,,,,,,,6.75,,-1,6.7,,,,
31,6.5,7.1,-1,6.75,7.3,6.8,6.4,6.9,7.45,,,,7.2,,,7.95,,,,,,,,,,,6.6,,,,,,,
33,6.2,7.4,,6.7,7.45,6.7,6.1,6.9,7.5,,,,7.2,,,8.1,,,,,,,,,,,6.8,,,,,,,
35,-1,7.5,,6.7,7.8,6.85,6.6,6.9,7.9,,,,7.2,,,7.9,,,,,,,,,,,,,,,,,,
37,,7.3,,6.4,-1,6.85,6.6,6.7,7.5,,,,-1,,,8.3,,,,,,,,,,,,,,,,,,
39,,7.4,,6.9,,7.2,6.9,7.25,7.5,,,,,,,8.15,,,,,,,,,,,,,,,,,,
41,,7.6,,6.7,,7.3,6.9,7.5,7.6,,,,,,,8,,,,,,,,,,,,,,,,,,
43,,7.55,,6.7,,7.35,6.8,7.5,-1,,,,,,,8.55,,,,,,,,,,,,,,,,,,
45,,7.35,,7,,7.3,7.1,7.7,,,,,,,,8.8,,,,,,,,,,,,,,,,,,
47,,7.9,,6.8,,7.65,6.8,7.6,,,,,,,,8.8,,,,,,,,,,,,,,,,,,
49,,7.75,,7.1,,7.3,6.9,7.3,,,,,,,,8.7,,,,,,,,,,,,,,,,,,
51,,7.9,,6.25,,7.4,7.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,7.75,,6.95,,7.6,7.3,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,8,,7,,7.7,7.6,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,7.6,,7.1,,7.8,-1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,8.1,,-1,,7.8,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,7.8,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,-1,,,,7.8,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,8.2,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
